ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","160.96","162.40","159.90","160.16","160.35","160.18","161.07","170.18","122.62","1,80,79,396","2,91,19,76,062.73","1,17,633"
"12-Aug-2025","EQ","158.52","161.65","158.50","158.52","160.13","160.16","160.62","170.18","122.62","2,00,56,598","3,22,15,39,927.51","1,33,490"
"11-Aug-2025","EQ","157.95","160.00","157.15","157.95","158.50","158.52","158.16","170.18","122.62","1,43,25,736","2,26,57,29,580.40","1,16,920"
"08-Aug-2025","EQ","159.50","159.95","157.01","159.67","158.25","157.95","158.22","170.18","122.62","1,19,51,173","1,89,08,59,315.71","1,04,268"
"07-Aug-2025","EQ","157.15","160.00","156.26","158.66","159.83","159.67","157.92","170.18","122.62","2,31,59,540","3,65,74,21,986.21","1,90,119"
"06-Aug-2025","EQ","159.62","159.80","157.80","159.62","158.70","158.66","158.59","170.18","122.62","1,34,38,851","2,13,12,11,060.17","2,19,272"
"05-Aug-2025","EQ","159.56","160.14","158.28","159.56","159.45","159.62","159.39","170.18","122.62","1,44,41,034","2,30,17,32,501.24","1,65,331"
"04-Aug-2025","EQ","153.50","159.92","153.50","153.01","159.25","159.56","158.06","170.18","122.62","3,00,64,719","4,75,19,62,110.35","2,00,990"
"01-Aug-2025","EQ","157.93","157.93","152.51","157.94","153.00","153.01","154.24","170.18","122.62","2,39,27,359","3,69,05,81,798.45","1,83,972"
"31-Jul-2025","EQ","161.00","162.13","156.56","161.36","157.30","157.94","160.15","170.18","122.62","2,62,13,891","4,19,81,75,446.12","1,55,822"
"30-Jul-2025","EQ","161.69","162.79","161.05","161.69","161.30","161.36","161.74","170.18","122.62","1,60,83,106","2,60,12,44,577.73","90,693"
"29-Jul-2025","EQ","158.20","162.45","158.20","159.68","162.22","161.69","160.78","170.18","122.62","1,52,62,937","2,45,39,35,250.07","95,240"
"28-Jul-2025","EQ","161.23","162.29","159.09","161.43","159.34","159.68","160.51","170.18","122.62","1,92,96,285","3,09,72,28,521.77","2,20,177"
"25-Jul-2025","EQ","163.50","163.59","161.05","163.48","161.51","161.43","161.79","170.18","122.62","1,24,43,495","2,01,31,77,001.53","1,40,857"
"24-Jul-2025","EQ","163.00","164.75","162.81","162.77","163.60","163.48","163.70","170.18","122.62","1,43,77,270","2,35,34,90,655.47","1,17,000"
"23-Jul-2025","EQ","163.25","164.14","161.88","163.04","162.51","162.77","163.02","170.18","122.62","1,42,87,149","2,32,90,66,721.33","1,22,780"
"22-Jul-2025","EQ","163.30","164.41","162.73","163.02","162.97","163.04","163.59","170.18","122.62","1,36,15,524","2,22,72,99,724.19","1,35,609"
"21-Jul-2025","EQ","162.50","165.60","162.49","162.37","163.18","163.02","163.66","170.18","122.62","2,98,12,899","4,87,91,17,483.09","1,74,007"
"18-Jul-2025","EQ","160.10","162.75","160.10","159.90","162.50","162.37","161.77","170.18","122.62","3,07,28,478","4,97,08,71,355.15","1,73,316"
"17-Jul-2025","EQ","157.50","160.70","157.12","157.33","159.97","159.90","159.06","170.18","122.62","2,17,33,241","3,45,68,71,121.62","1,38,067"
"16-Jul-2025","EQ","159.00","159.27","157.00","159.00","157.30","157.33","157.49","170.18","122.62","1,45,91,157","2,29,79,16,076.70","1,26,421"
"15-Jul-2025","EQ","160.26","160.85","157.95","160.44","159.30","159.00","159.12","170.18","122.62","1,79,93,051","2,86,29,95,009.50","1,10,529"
"14-Jul-2025","EQ","159.84","161.12","159.30","159.84","160.25","160.44","160.23","170.18","122.62","1,51,52,964","2,42,79,12,916.42","1,46,442"
"11-Jul-2025","EQ","160.64","161.62","159.32","160.66","159.99","159.84","160.12","175.47","122.62","2,06,89,511","3,31,27,58,884.80","1,46,555"
"10-Jul-2025","EQ","160.00","161.55","159.28","159.00","160.63","160.66","160.44","175.47","122.62","1,75,66,887","2,81,84,00,050.43","1,34,347"
"09-Jul-2025","EQ","161.95","161.95","157.51","161.97","159.20","159.00","159.15","175.47","122.62","2,98,39,077","4,74,90,12,087.28","2,16,941"
"08-Jul-2025","EQ","162.45","162.90","161.60","162.40","161.90","161.97","162.03","175.47","122.62","1,13,98,248","1,84,68,07,797.96","81,709"
"07-Jul-2025","EQ","163.00","163.35","160.05","163.01","162.52","162.40","162.47","175.47","122.62","1,74,69,909","2,83,82,87,843.46","1,23,250"
"04-Jul-2025","EQ","165.91","166.49","162.00","165.91","163.10","163.01","163.37","178.19","122.62","2,29,38,753","3,74,75,36,836.05","1,67,118"
"03-Jul-2025","EQ","166.00","168.78","165.21","165.88","165.55","165.91","166.97","178.19","122.62","6,05,71,824","10,11,36,75,423.24","2,47,576"
"02-Jul-2025","EQ","160.06","166.15","159.83","160.06","165.95","165.88","164.17","178.19","122.62","6,33,15,210","10,39,45,30,770.33","2,58,609"
"01-Jul-2025","EQ","160.01","160.44","157.73","159.76","159.80","160.06","159.30","178.19","122.62","1,78,23,415","2,83,91,98,867.00","1,38,779"
"30-Jun-2025","EQ","160.99","162.20","159.50","161.45","159.80","159.76","160.62","178.19","122.62","1,58,42,285","2,54,45,27,360.88","1,43,198"
"27-Jun-2025","EQ","161.00","163.30","160.70","160.54","161.29","161.45","162.18","179.00","122.62","3,19,89,509","5,18,80,45,925.09","1,79,054"
"26-Jun-2025","EQ","156.87","161.10","156.45","156.39","160.40","160.54","158.90","179.00","122.62","4,06,50,557","6,45,91,90,605.70","2,00,746"
"25-Jun-2025","EQ","155.90","156.90","155.51","154.79","156.33","156.39","156.25","179.00","122.62","1,82,40,433","2,84,99,80,442.59","1,15,858"
"24-Jun-2025","EQ","153.80","156.97","153.64","152.43","155.03","154.79","155.29","179.00","122.62","2,54,03,324","3,94,49,49,688.49","1,68,818"
"23-Jun-2025","EQ","150.50","153.30","150.48","151.97","152.35","152.43","151.85","179.00","122.62","1,70,96,676","2,59,61,69,014.17","1,07,530"
"20-Jun-2025","EQ","150.75","153.17","150.63","151.00","151.70","151.97","152.01","184.60","122.62","2,99,44,714","4,55,19,25,313.29","1,18,765"
"19-Jun-2025","EQ","152.00","152.45","150.50","152.11","150.51","151.00","151.16","184.60","122.62","2,01,45,922","3,04,53,43,206.89","1,62,901"
"18-Jun-2025","EQ","152.20","153.20","150.80","152.60","152.00","152.11","151.99","184.60","122.62","1,48,60,746","2,25,87,49,524.45","91,669"
"17-Jun-2025","EQ","153.81","154.89","152.35","154.17","152.58","152.60","153.42","184.60","122.62","1,67,40,382","2,56,82,77,833.38","1,12,427"
"16-Jun-2025","EQ","152.01","154.50","150.84","152.13","154.10","154.17","153.22","184.60","122.62","1,61,88,193","2,48,03,18,213.73","1,19,308"
"13-Jun-2025","EQ","149.80","152.50","149.80","152.89","152.34","152.13","151.71","184.60","122.62","2,42,77,592","3,68,32,71,732.64","1,31,667"
"12-Jun-2025","EQ","156.00","156.26","151.85","156.41","152.60","152.89","153.46","184.60","122.62","2,78,46,151","4,27,33,15,865.00","1,65,106"
"11-Jun-2025","EQ","156.45","157.53","155.31","155.68","156.09","156.41","156.54","184.60","122.62","1,76,05,668","2,75,59,81,215.78","1,07,872"
"10-Jun-2025","EQ","158.00","159.30","155.50","157.32","155.65","155.68","156.87","184.60","122.62","2,27,64,080","3,57,09,61,629.98","1,32,605"
