ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","501.90","502.50","492.00","500.25","492.00","494.05","496.75","552.75","293.00","3,99,090","19,82,48,136.80","16,677"
"11-Aug-2025","EQ","487.00","502.95","478.00","472.85","499.00","500.25","492.50","552.75","293.00","14,01,106","69,00,44,429.75","58,685"
"08-Aug-2025","EQ","507.60","509.80","466.25","508.00","475.75","472.85","490.27","552.75","293.00","15,48,879","75,93,66,178.40","55,366"
"07-Aug-2025","EQ","511.75","511.75","494.15","512.40","507.05","508.00","501.83","552.75","293.00","10,26,314","51,50,31,746.40","42,429"
"06-Aug-2025","EQ","506.95","523.80","502.00","505.05","515.00","512.40","513.25","552.75","293.00","20,57,903","1,05,62,14,939.60","70,840"
"05-Aug-2025","EQ","512.05","517.85","502.20","512.10","505.60","505.05","509.50","552.75","293.00","6,48,728","33,05,26,903.10","28,054"
"04-Aug-2025","EQ","511.85","518.85","502.50","504.95","510.65","512.10","511.12","552.75","293.00","7,86,660","40,20,77,145.30","35,390"
"01-Aug-2025","EQ","510.10","518.70","498.70","510.10","505.20","504.95","507.53","552.75","293.00","6,78,968","34,45,96,024.90","35,344"
"31-Jul-2025","EQ","508.00","524.20","500.10","516.20","509.55","510.10","515.75","552.75","293.00","15,86,663","81,83,27,871.30","60,995"
"30-Jul-2025","EQ","490.20","519.00","487.00","489.75","514.00","516.20","510.22","552.75","293.00","17,77,181","90,67,48,761.10","65,138"
"29-Jul-2025","EQ","465.00","497.75","462.05","467.05","489.20","489.75","479.65","552.75","293.00","9,32,002","44,70,38,805.05","38,299"
"28-Jul-2025","EQ","460.00","471.90","453.10","468.55","468.00","467.05","463.13","552.75","293.00","9,39,942","43,53,13,142.15","49,153"
"25-Jul-2025","EQ","476.10","480.10","467.15","480.10","468.00","468.55","472.40","552.75","293.00","5,11,615","24,16,85,755.40","18,955"
"24-Jul-2025","EQ","484.50","485.70","476.05","483.45","480.05","480.10","480.45","552.75","293.00","3,47,854","16,71,24,995.50","12,971"
"23-Jul-2025","EQ","491.00","492.85","481.05","489.60","483.80","483.45","485.48","552.75","293.00","3,79,696","18,43,35,957.35","18,575"
"22-Jul-2025","EQ","495.00","500.90","487.15","494.70","491.50","489.60","493.13","552.75","293.00","2,63,084","12,97,34,563.25","10,873"
"21-Jul-2025","EQ","494.00","498.00","489.00","496.85","495.95","494.70","493.63","552.75","293.00","2,42,857","11,98,80,374.20","16,168"
"18-Jul-2025","EQ","502.00","502.30","491.25","499.10","495.00","496.85","496.13","552.75","293.00","3,89,452","19,32,18,667.05","11,834"
"17-Jul-2025","EQ","495.55","505.50","495.00","495.55","498.50","499.10","501.21","552.75","293.00","3,81,030","19,09,77,293.25","12,125"
"16-Jul-2025","EQ","496.70","499.95","493.00","496.70","495.85","495.55","496.30","552.75","293.00","2,85,241","14,15,65,206.35","10,711"
"15-Jul-2025","EQ","495.00","500.40","493.20","494.30","498.00","496.70","496.82","552.75","293.00","3,60,930","17,93,16,415.00","20,326"
"14-Jul-2025","EQ","489.95","496.00","484.20","487.95","496.00","494.30","492.07","552.75","293.00","5,16,375","25,40,90,371.05","27,531"
"11-Jul-2025","EQ","499.95","502.35","485.10","500.15","486.50","487.95","491.78","552.75","293.00","4,47,436","22,00,40,449.90","14,487"
"10-Jul-2025","EQ","498.00","507.00","496.70","495.55","499.95","500.15","501.69","552.75","293.00","8,18,573","41,06,66,526.75","23,360"
"09-Jul-2025","EQ","479.95","496.75","476.95","479.95","495.90","495.55","490.52","552.75","293.00","4,48,943","22,02,14,787.95","17,341"
"08-Jul-2025","EQ","487.90","491.70","476.80","487.55","480.60","479.95","481.74","552.75","293.00","7,77,665","37,46,33,848.40","26,826"
"07-Jul-2025","EQ","493.05","495.00","486.15","494.55","487.85","487.55","488.19","552.75","293.00","4,34,707","21,22,17,555.50","15,734"
"04-Jul-2025","EQ","491.95","498.50","490.10","493.70","494.25","494.55","494.63","552.75","293.00","2,82,029","13,94,99,398.65","11,571"
"03-Jul-2025","EQ","501.15","507.10","492.00","499.25","494.10","493.70","498.40","552.75","293.00","6,05,803","30,19,30,687.65","22,417"
"02-Jul-2025","EQ","497.10","502.45","494.50","499.55","500.65","499.25","498.17","552.75","293.00","3,84,495","19,15,42,811.50","14,087"
"01-Jul-2025","EQ","501.90","507.95","498.00","499.50","499.80","499.55","502.54","552.75","293.00","4,91,186","24,68,42,294.60","21,586"
"30-Jun-2025","EQ","507.85","511.90","497.05","505.25","501.90","499.50","503.41","552.75","293.00","8,99,176","45,26,56,767.45","29,340"
"27-Jun-2025","EQ","550.00","552.75","499.25","540.15","507.40","505.25","518.14","552.75","293.00","34,15,277","1,76,96,01,938.15","83,110"
"26-Jun-2025","EQ","520.50","546.05","517.25","520.25","543.35","540.15","535.44","546.05","293.00","22,95,364","1,22,90,28,654.95","60,149"
"25-Jun-2025","EQ","514.85","523.00","510.80","512.75","520.05","520.25","516.33","533.00","293.00","5,34,866","27,61,67,470.05","16,646"
"24-Jun-2025","EQ","520.80","526.80","511.00","517.80","513.60","512.75","517.32","533.00","293.00","4,48,498","23,20,17,044.45","17,474"
"23-Jun-2025","EQ","511.50","526.50","505.10","515.10","516.50","517.80","516.36","533.00","293.00","4,97,138","25,67,01,268.30","22,848"
