ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,410.00","1,418.70","1,357.00","1,398.20","1,366.90","1,366.80","1,380.99","1,822.00","785.15","1,51,289","20,89,28,431.90","17,261"
"11-Aug-2025","EQ","1,385.00","1,403.10","1,373.10","1,380.30","1,400.50","1,398.20","1,390.20","1,822.00","785.15","66,258","9,21,11,696.60","8,688"
"08-Aug-2025","EQ","1,395.90","1,417.80","1,371.10","1,395.90","1,382.00","1,380.30","1,394.45","1,822.00","785.15","88,311","12,31,45,023.20","12,283"
"07-Aug-2025","EQ","1,372.00","1,407.40","1,365.00","1,380.90","1,395.90","1,395.90","1,381.49","1,822.00","785.15","1,31,216","18,12,73,969.60","12,857"
"06-Aug-2025","EQ","1,431.50","1,446.10","1,375.00","1,426.10","1,378.00","1,380.90","1,397.31","1,822.00","785.15","2,00,874","28,06,84,015.70","17,917"
"05-Aug-2025","EQ","1,434.80","1,455.10","1,417.00","1,434.80","1,431.30","1,426.10","1,433.69","1,822.00","785.15","63,861","9,15,56,652.10","7,635"
"04-Aug-2025","EQ","1,419.00","1,455.20","1,408.00","1,419.00","1,425.00","1,434.80","1,428.30","1,822.00","785.15","1,11,588","15,93,80,774.00","13,387"
"01-Aug-2025","EQ","1,456.30","1,456.30","1,412.60","1,456.30","1,422.00","1,419.00","1,431.41","1,822.00","785.15","73,317","10,49,46,778.50","9,292"
"31-Jul-2025","EQ","1,425.00","1,478.20","1,425.00","1,446.70","1,451.00","1,456.30","1,460.68","1,822.00","785.15","1,14,708","16,75,51,495.60","15,035"
"30-Jul-2025","EQ","1,471.00","1,472.50","1,435.00","1,462.50","1,447.00","1,446.70","1,454.80","1,822.00","785.15","64,994","9,45,53,134.80","9,588"
"29-Jul-2025","EQ","1,406.00","1,470.90","1,401.00","1,411.40","1,460.00","1,462.50","1,438.41","1,822.00","785.15","1,55,705","22,39,67,466.00","19,995"
"28-Jul-2025","EQ","1,441.70","1,450.40","1,394.00","1,441.50","1,413.80","1,411.40","1,416.40","1,822.00","785.15","2,67,014","37,81,98,477.50","25,609"
"25-Jul-2025","EQ","1,474.40","1,474.40","1,436.00","1,469.60","1,439.90","1,441.50","1,451.02","1,822.00","785.15","1,36,330","19,78,17,378.80","15,181"
"24-Jul-2025","EQ","1,480.90","1,491.00","1,462.30","1,481.20","1,470.00","1,469.60","1,474.30","1,822.00","785.15","1,31,639","19,40,75,491.00","13,269"
"23-Jul-2025","EQ","1,516.90","1,523.20","1,472.60","1,517.00","1,481.00","1,481.20","1,491.85","1,822.00","785.15","1,40,957","21,02,87,102.10","16,649"
"22-Jul-2025","EQ","1,543.00","1,554.20","1,511.50","1,544.60","1,514.90","1,517.00","1,528.83","1,822.00","785.15","1,07,647","16,45,73,889.70","13,278"
"21-Jul-2025","EQ","1,527.40","1,550.00","1,516.10","1,527.40","1,545.00","1,544.60","1,537.44","1,822.00","785.15","1,14,064","17,53,66,165.40","13,988"
"18-Jul-2025","EQ","1,539.30","1,564.90","1,518.00","1,537.70","1,525.00","1,527.40","1,538.34","1,822.00","785.15","1,13,008","17,38,44,606.40","10,427"
"17-Jul-2025","EQ","1,552.00","1,567.70","1,530.80","1,557.70","1,535.00","1,537.70","1,543.38","1,822.00","785.15","1,79,632","27,72,41,233.10","16,129"
"16-Jul-2025","EQ","1,550.00","1,576.30","1,547.30","1,572.20","1,552.00","1,557.70","1,559.66","1,822.00","785.15","1,02,062","15,91,82,044.10","10,773"
"15-Jul-2025","EQ","1,544.00","1,579.80","1,533.90","1,544.00","1,570.00","1,572.20","1,557.80","1,822.00","785.15","1,89,827","29,57,12,196.00","21,171"
