ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,819.30","1,872.80","1,815.70","1,810.40","1,849.80","1,839.40","1,837.30","2,328.90","1,200.05","1,03,018","18,92,74,971.20","8,984"
"12-Aug-2025","EQ","1,815.90","1,826.20","1,793.80","1,815.90","1,812.00","1,810.40","1,810.35","2,328.90","1,200.05","82,126","14,86,76,786.10","3,861"
"11-Aug-2025","EQ","1,856.80","1,861.60","1,783.80","1,856.80","1,815.00","1,815.90","1,812.22","2,328.90","1,200.05","1,61,286","29,22,86,472.90","9,252"
"08-Aug-2025","EQ","1,815.00","1,897.00","1,815.00","1,834.00","1,865.00","1,856.80","1,868.55","2,328.90","1,200.05","1,98,987","37,18,18,110.30","14,290"
"07-Aug-2025","EQ","1,819.30","1,884.20","1,788.50","1,825.50","1,820.30","1,834.00","1,831.26","2,328.90","1,200.05","1,93,003","35,34,37,713.70","12,761"
"06-Aug-2025","EQ","1,825.50","1,854.00","1,781.80","1,861.50","1,818.00","1,825.50","1,816.13","2,328.90","1,200.05","2,86,620","52,05,40,370.00","26,794"
"05-Aug-2025","EQ","1,904.00","1,929.00","1,816.70","1,904.00","1,856.00","1,861.50","1,872.00","2,328.90","1,200.05","3,56,227","66,68,56,411.70","23,247"
"04-Aug-2025","EQ","1,895.00","1,929.60","1,874.60","1,888.60","1,899.00","1,904.00","1,905.44","2,328.90","1,200.05","88,388","16,84,18,329.20","8,637"
"01-Aug-2025","EQ","1,898.00","1,925.00","1,873.00","1,906.00","1,880.00","1,888.60","1,898.31","2,328.90","1,200.05","1,18,411","22,47,80,908.10","8,566"
"31-Jul-2025","EQ","1,870.40","1,933.20","1,855.90","1,901.50","1,899.90","1,906.00","1,911.32","2,328.90","1,200.05","3,74,512","71,58,13,859.90","19,623"
"30-Jul-2025","EQ","1,868.00","1,919.90","1,855.10","1,870.70","1,899.00","1,901.50","1,898.20","2,328.90","1,200.05","4,20,421","79,80,41,592.20","20,268"
"29-Jul-2025","EQ","1,856.00","1,887.80","1,842.10","1,872.00","1,867.00","1,870.70","1,865.47","2,328.90","1,200.05","82,683","15,42,42,655.40","11,074"
"28-Jul-2025","EQ","1,869.80","1,915.00","1,848.00","1,866.20","1,868.30","1,872.00","1,880.80","2,328.90","1,200.05","2,12,769","40,01,76,813.70","17,196"
"25-Jul-2025","EQ","1,909.00","1,920.00","1,835.80","1,937.40","1,876.00","1,866.20","1,870.22","2,328.90","1,200.05","3,21,445","60,11,73,013.70","21,560"
"24-Jul-2025","EQ","1,960.00","1,969.00","1,915.30","1,952.80","1,940.00","1,937.40","1,938.68","2,328.90","1,200.05","1,15,653","22,42,14,623.70","12,937"
"23-Jul-2025","EQ","1,996.10","2,006.80","1,936.90","1,995.80","1,955.00","1,952.80","1,956.41","2,328.90","1,200.05","1,00,607","19,68,28,591.50","11,079"
"22-Jul-2025","EQ","2,010.00","2,010.10","1,964.60","1,998.70","1,994.00","1,995.80","1,989.88","2,328.90","1,200.05","1,52,902","30,42,55,881.40","11,637"
"21-Jul-2025","EQ","1,951.00","2,008.50","1,941.00","1,938.00","2,000.30","1,998.70","1,985.90","2,328.90","1,200.05","4,64,843","92,31,30,982.80","23,987"
