ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,977.20","2,027.50","1,972.10","1,977.40","1,997.90","1,992.30","1,996.70","2,650.00","1,523.10","38,622","7,71,16,523.30","6,844"
"12-Aug-2025","EQ","1,963.00","1,988.00","1,952.10","1,962.70","1,980.00","1,977.40","1,973.48","2,650.00","1,523.10","23,845","4,70,57,544.60","3,924"
"11-Aug-2025","EQ","1,975.00","1,984.00","1,945.00","1,974.40","1,968.60","1,962.70","1,961.70","2,650.00","1,523.10","26,532","5,20,47,784.00","5,330"
"08-Aug-2025","EQ","1,960.00","1,995.00","1,950.00","1,961.60","1,979.00","1,974.40","1,974.65","2,650.00","1,523.10","62,172","12,27,67,834.90","12,006"
"07-Aug-2025","EQ","1,927.00","1,968.50","1,900.00","1,930.00","1,960.00","1,961.60","1,949.96","2,650.00","1,523.10","61,843","12,05,91,404.90","9,139"
"06-Aug-2025","EQ","1,922.00","1,942.70","1,906.00","1,912.90","1,928.00","1,930.00","1,928.20","2,650.00","1,523.10","37,672","7,26,39,328.80","5,481"
"05-Aug-2025","EQ","1,905.00","1,925.00","1,898.80","1,904.40","1,919.00","1,912.90","1,913.15","2,650.00","1,523.10","26,031","4,98,01,289.10","5,387"
"04-Aug-2025","EQ","1,910.40","1,925.00","1,890.00","1,913.50","1,910.00","1,904.40","1,907.41","2,650.00","1,523.10","19,699","3,75,74,100.50","4,645"
"01-Aug-2025","EQ","1,897.00","1,925.00","1,877.90","1,890.60","1,904.10","1,913.50","1,904.84","2,650.00","1,523.10","42,894","8,17,06,170.70","6,907"
"31-Jul-2025","EQ","1,890.00","1,923.60","1,866.00","1,917.50","1,892.00","1,890.60","1,899.07","2,650.00","1,523.10","29,702","5,64,06,258.90","6,098"
"30-Jul-2025","EQ","1,850.50","1,943.50","1,840.10","1,850.00","1,916.00","1,917.50","1,904.38","2,650.00","1,523.10","68,471","13,03,94,791.50","11,648"
"29-Jul-2025","EQ","1,780.00","1,863.60","1,767.10","1,800.60","1,852.00","1,850.00","1,802.54","2,650.00","1,523.10","49,021","8,83,62,291.10","10,679"
"28-Jul-2025","EQ","1,839.50","1,869.00","1,750.10","1,833.60","1,751.20","1,800.60","1,813.50","2,650.00","1,523.10","84,873","15,39,17,548.60","10,544"
"25-Jul-2025","EQ","1,874.10","1,890.00","1,830.00","1,874.10","1,848.00","1,833.60","1,842.26","2,650.00","1,523.10","34,162","6,29,35,122.20","10,925"
"24-Jul-2025","EQ","1,900.00","1,905.00","1,861.60","1,881.00","1,872.10","1,874.10","1,880.36","2,650.00","1,523.10","15,073","2,83,42,649.40","3,671"
"23-Jul-2025","EQ","1,895.00","1,895.00","1,863.80","1,879.20","1,890.00","1,881.00","1,877.32","2,650.00","1,523.10","27,653","5,19,13,536.90","4,930"
"22-Jul-2025","EQ","1,900.40","1,916.90","1,871.70","1,900.40","1,880.00","1,879.20","1,889.15","2,650.00","1,523.10","15,716","2,96,89,905.10","3,174"
"21-Jul-2025","EQ","1,879.90","1,907.00","1,862.00","1,890.70","1,900.00","1,900.40","1,886.97","2,650.00","1,523.10","35,284","6,65,79,907.80","8,605"
"18-Jul-2025","EQ","1,927.00","1,927.00","1,883.00","1,909.50","1,883.10","1,890.70","1,898.58","2,650.00","1,523.10","33,849","6,42,64,983.50","7,118"
"17-Jul-2025","EQ","1,910.00","1,945.70","1,900.00","1,913.10","1,907.00","1,909.50","1,922.92","2,650.00","1,523.10","54,308","10,44,29,957.10","7,586"
"16-Jul-2025","EQ","1,925.00","1,929.90","1,905.40","1,912.80","1,910.00","1,913.10","1,915.23","2,650.00","1,523.10","26,736","5,12,05,532.60","3,948"
"15-Jul-2025","EQ","1,916.80","1,947.10","1,902.10","1,914.50","1,917.20","1,912.80","1,923.61","2,650.00","1,523.10","22,712","4,36,89,116.40","3,986"
"14-Jul-2025","EQ","1,929.00","1,930.70","1,886.70","1,923.60","1,921.30","1,914.50","1,896.09","2,650.00","1,523.10","56,360","10,68,63,890.30","4,063"
"11-Jul-2025","EQ","1,940.00","1,953.00","1,911.10","1,927.70","1,925.60","1,923.60","1,930.02","2,650.00","1,523.10","21,488","4,14,72,280.40","4,393"
"10-Jul-2025","EQ","1,936.00","1,938.90","1,917.20","1,925.40","1,933.00","1,927.70","1,927.82","2,650.00","1,523.10","14,530","2,80,11,217.40","2,327"
"09-Jul-2025","EQ","1,920.00","1,936.00","1,890.10","1,901.80","1,936.00","1,925.40","1,911.86","2,650.00","1,523.10","25,978","4,96,66,273.00","4,488"
"08-Jul-2025","EQ","1,977.90","1,980.00","1,897.00","1,960.70","1,900.00","1,901.80","1,919.49","2,650.00","1,523.10","59,726","11,46,43,678.10","11,852"
"07-Jul-2025","EQ","1,906.00","1,981.90","1,902.80","1,899.30","1,952.80","1,960.70","1,953.37","2,650.00","1,523.10","95,774","18,70,81,635.10","15,253"
"04-Jul-2025","EQ","1,874.00","1,906.00","1,860.00","1,861.30","1,901.00","1,899.30","1,887.87","2,650.00","1,523.10","38,880","7,34,00,300.90","6,109"
"03-Jul-2025","EQ","1,881.90","1,900.80","1,858.20","1,880.50","1,861.50","1,861.30","1,873.16","2,650.00","1,523.10","30,948","5,79,70,623.50","4,850"
"02-Jul-2025","EQ","1,882.00","1,904.90","1,867.30","1,882.60","1,880.00","1,880.50","1,881.46","2,650.00","1,523.10","48,320","9,09,12,331.20","5,015"
"01-Jul-2025","EQ","1,879.90","1,906.70","1,867.20","1,862.20","1,877.00","1,882.60","1,886.77","2,650.00","1,523.10","56,393","10,64,00,578.30","6,868"
"30-Jun-2025","EQ","1,881.90","1,881.90","1,851.00","1,861.60","1,863.00","1,862.20","1,861.26","2,650.00","1,523.10","36,361","6,76,77,316.60","7,191"
"27-Jun-2025","EQ","1,880.00","1,892.00","1,854.00","1,883.90","1,863.20","1,861.60","1,870.09","2,650.00","1,523.10","44,402","8,30,35,639.50","6,044"
"26-Jun-2025","EQ","1,895.00","1,909.70","1,876.10","1,887.00","1,888.80","1,883.90","1,889.00","2,650.00","1,523.10","20,031","3,78,38,522.80","3,782"
"25-Jun-2025","EQ","1,890.00","1,914.90","1,860.00","1,867.30","1,885.00","1,887.00","1,889.14","2,650.00","1,523.10","51,569","9,74,21,178.70","7,962"
"24-Jun-2025","EQ","1,875.00","1,897.90","1,863.00","1,871.10","1,869.90","1,867.30","1,869.78","2,650.00","1,523.10","17,769","3,32,24,104.50","3,870"
"23-Jun-2025","EQ","1,871.50","1,883.00","1,858.00","1,881.20","1,873.00","1,871.10","1,872.07","2,650.00","1,523.10","30,300","5,67,23,611.80","5,068"
"20-Jun-2025","EQ","1,885.00","1,900.00","1,858.00","1,882.50","1,880.00","1,881.20","1,878.00","2,650.00","1,356.30","18,534","3,48,06,831.70","3,702"
"19-Jun-2025","EQ","1,915.00","1,915.00","1,870.00","1,912.50","1,882.90","1,882.50","1,886.43","2,650.00","1,356.30","18,621","3,51,27,122.60","3,733"
"18-Jun-2025","EQ","1,883.00","1,950.00","1,864.80","1,883.60","1,915.80","1,912.50","1,919.72","2,650.00","1,356.30","40,897","7,85,10,627.70","6,209"
"17-Jun-2025","EQ","1,880.80","1,910.00","1,878.00","1,895.50","1,894.50","1,883.60","1,889.92","2,650.00","1,356.30","20,565","3,88,66,305.20","4,045"
"16-Jun-2025","EQ","1,852.20","1,909.00","1,851.00","1,852.20","1,888.90","1,895.50","1,882.62","2,650.00","1,356.30","24,894","4,68,65,821.20","5,289"
"13-Jun-2025","EQ","1,840.00","1,885.00","1,823.70","1,880.80","1,871.70","1,852.20","1,859.09","2,650.00","1,327.60","35,829","6,66,09,410.90","6,998"
