ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","3,330.00","3,335.00","3,201.10","3,297.90","3,290.00","3,300.90","3,259.88","5,719.00","2,950.05","2,96,605","96,68,96,929.00","41,716"
"12-Aug-2025","EQ","3,290.00","3,320.00","3,273.60","3,273.60","3,295.00","3,297.90","3,297.27","5,719.00","2,950.05","65,177","21,49,05,896.90","14,895"
"11-Aug-2025","EQ","3,250.00","3,306.50","3,225.70","3,272.70","3,287.40","3,273.60","3,272.00","5,719.00","2,950.05","58,335","19,08,72,236.70","13,270"
"08-Aug-2025","EQ","3,325.00","3,326.00","3,232.10","3,328.20","3,250.40","3,272.70","3,272.87","5,719.00","2,950.05","1,92,611","63,03,90,988.50","26,814"
"07-Aug-2025","EQ","3,441.50","3,447.00","3,281.80","3,454.20","3,333.00","3,328.20","3,353.90","5,719.00","2,950.05","1,65,510","55,51,03,364.90","24,631"
"06-Aug-2025","EQ","3,558.00","3,588.00","3,441.50","3,557.00","3,441.50","3,454.20","3,490.66","5,719.00","2,950.05","97,584","34,06,32,136.00","13,566"
"05-Aug-2025","EQ","3,547.00","3,576.50","3,455.00","3,539.00","3,558.00","3,557.00","3,522.08","5,719.00","2,950.05","2,01,968","71,13,46,959.00","28,743"
"04-Aug-2025","EQ","3,790.00","3,825.50","3,520.00","3,778.70","3,526.50","3,539.00","3,599.15","5,719.00","2,950.05","2,34,575","84,42,71,395.30","34,742"
"01-Aug-2025","EQ","3,940.40","3,950.00","3,760.00","3,940.40","3,767.00","3,778.70","3,861.47","5,719.00","2,950.05","1,79,535","69,32,68,635.40","24,744"
"31-Jul-2025","EQ","3,790.00","3,975.00","3,737.00","3,837.10","3,940.00","3,940.40","3,898.06","5,719.00","2,950.05","1,70,040","66,28,25,814.10","23,560"
"30-Jul-2025","EQ","3,795.00","3,850.00","3,786.70","3,778.60","3,831.20","3,837.10","3,824.90","5,719.00","2,950.05","53,325","20,39,62,544.70","9,368"
"29-Jul-2025","EQ","3,713.00","3,794.00","3,691.30","3,722.70","3,794.00","3,778.60","3,766.64","5,719.00","2,950.05","66,075","24,88,80,560.30","13,335"
"28-Jul-2025","EQ","3,751.50","3,779.20","3,691.20","3,739.00","3,716.90","3,722.70","3,727.95","5,719.00","2,950.05","47,705","17,78,41,678.50","11,677"
"25-Jul-2025","EQ","3,850.00","3,850.00","3,720.80","3,850.40","3,726.70","3,739.00","3,765.40","5,719.00","2,950.05","83,759","31,53,86,064.00","17,525"
"24-Jul-2025","EQ","3,889.00","3,930.00","3,831.20","3,869.20","3,837.00","3,850.40","3,877.45","5,719.00","2,950.05","68,375","26,51,20,736.40","13,535"
"23-Jul-2025","EQ","3,940.00","3,957.70","3,840.00","3,944.50","3,869.00","3,869.20","3,881.71","5,719.00","2,950.05","89,370","34,69,08,384.30","14,582"
"22-Jul-2025","EQ","3,904.00","4,003.10","3,874.20","3,903.10","3,930.30","3,944.50","3,946.10","5,719.00","2,950.05","1,85,055","73,02,45,013.90","26,293"
"21-Jul-2025","EQ","3,890.10","3,938.10","3,838.30","3,888.40","3,902.00","3,903.10","3,892.02","5,719.00","2,950.05","1,38,588","53,93,87,370.00","21,799"
"18-Jul-2025","EQ","3,906.90","3,960.00","3,860.00","3,885.90","3,890.10","3,888.40","3,900.71","5,719.00","2,950.05","4,16,865","1,62,60,71,323.20","44,828"
"17-Jul-2025","EQ","3,701.00","4,091.80","3,701.00","3,645.80","3,895.00","3,885.90","3,926.14","5,719.00","2,950.05","39,73,518","15,60,05,74,902.80","2,76,167"
"16-Jul-2025","EQ","3,495.00","3,747.00","3,485.10","3,479.40","3,646.00","3,645.80","3,664.08","5,719.00","2,950.05","7,86,930","2,88,33,70,874.30","83,756"
"15-Jul-2025","EQ","3,459.80","3,481.00","3,435.50","3,444.20","3,480.00","3,479.40","3,472.50","5,719.00","2,950.05","47,978","16,66,03,416.50","9,176"
"14-Jul-2025","EQ","3,430.40","3,474.80","3,420.00","3,465.00","3,440.00","3,444.20","3,446.93","5,719.00","2,950.05","63,493","21,88,56,070.10","10,274"
"11-Jul-2025","EQ","3,407.50","3,486.00","3,407.50","3,434.40","3,444.00","3,465.00","3,460.30","5,839.95","2,950.05","89,615","31,00,95,076.70","14,187"
"10-Jul-2025","EQ","3,432.00","3,455.40","3,412.00","3,426.40","3,432.00","3,434.40","3,432.33","5,839.95","2,950.05","29,318","10,06,29,140.30","7,618"
"09-Jul-2025","EQ","3,432.70","3,459.50","3,412.20","3,453.50","3,440.00","3,426.40","3,432.11","5,839.95","2,950.05","31,809","10,91,72,071.70","5,584"
"08-Jul-2025","EQ","3,426.00","3,475.00","3,384.10","3,446.20","3,435.00","3,453.50","3,436.47","5,839.95","2,950.05","58,442","20,08,34,099.40","10,057"
"07-Jul-2025","EQ","3,455.00","3,506.30","3,421.00","3,458.50","3,438.70","3,446.20","3,452.01","5,839.95","2,950.05","60,768","20,97,71,637.30","13,776"
"04-Jul-2025","EQ","3,485.00","3,498.00","3,430.00","3,483.90","3,450.20","3,458.50","3,463.58","5,839.95","2,950.05","32,372","11,21,23,011.00","6,107"
"03-Jul-2025","EQ","3,429.70","3,583.70","3,420.90","3,412.20","3,482.00","3,483.90","3,510.17","5,839.95","2,950.05","2,90,173","1,01,85,56,779.60","29,359"
"02-Jul-2025","EQ","3,387.60","3,494.00","3,349.60","3,356.70","3,414.70","3,412.20","3,416.26","5,839.95","2,950.05","1,83,962","62,84,62,484.40","28,342"
"01-Jul-2025","EQ","3,428.60","3,461.20","3,340.00","3,419.30","3,360.30","3,356.70","3,373.01","5,839.95","2,950.05","81,117","27,36,08,273.60","14,842"
"30-Jun-2025","EQ","3,360.00","3,452.00","3,360.00","3,347.80","3,415.00","3,419.30","3,427.66","5,839.95","2,950.05","1,50,672","51,64,52,969.80","17,831"
"27-Jun-2025","EQ","3,464.00","3,464.00","3,331.00","3,463.00","3,355.00","3,347.80","3,409.80","5,839.95","2,950.05","2,75,946","94,09,19,458.30","35,066"
"26-Jun-2025","EQ","3,452.00","3,510.00","3,445.00","3,444.50","3,461.50","3,463.00","3,469.20","5,839.95","2,950.05","86,352","29,95,72,497.50","17,787"
"25-Jun-2025","EQ","3,464.90","3,485.90","3,407.00","3,459.30","3,436.00","3,444.50","3,435.05","5,839.95","2,950.05","62,258","21,38,59,060.50","13,332"
"24-Jun-2025","EQ","3,480.00","3,489.90","3,407.00","3,477.70","3,462.00","3,459.30","3,447.19","5,839.95","2,950.05","1,51,751","52,31,14,398.10","25,725"
"23-Jun-2025","EQ","3,400.00","3,505.00","3,390.20","3,423.10","3,465.00","3,477.70","3,472.07","5,839.95","2,950.05","59,409","20,62,71,920.60","10,501"
"20-Jun-2025","EQ","3,535.80","3,547.70","3,354.00","3,535.80","3,372.20","3,423.10","3,428.77","5,839.95","2,950.05","5,00,255","1,71,52,60,131.70","57,685"
"19-Jun-2025","EQ","3,527.40","3,620.00","3,509.50","3,508.80","3,510.60","3,535.80","3,565.77","5,839.95","2,950.05","1,40,975","50,26,84,582.00","23,075"
