ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","3,021.80","3,071.90","3,021.80","3,021.70","3,052.00","3,057.20","3,054.97","4,810.80","2,407.10","1,87,828","57,38,09,593.00","17,804"
"12-Aug-2025","EQ","2,985.00","3,050.00","2,980.00","3,000.60","3,020.10","3,021.70","3,019.62","4,810.80","2,407.10","4,69,315","1,41,71,51,949.80","35,331"
"11-Aug-2025","EQ","2,893.90","3,015.40","2,878.50","2,885.70","2,998.00","3,000.60","2,970.51","4,810.80","2,407.10","3,15,016","93,57,58,231.40","28,049"
"08-Aug-2025","EQ","2,965.00","2,977.20","2,880.00","2,942.90","2,884.60","2,885.70","2,904.92","4,810.80","2,407.10","1,84,536","53,60,62,916.20","16,136"
"07-Aug-2025","EQ","2,980.00","3,003.20","2,915.80","2,960.20","2,955.00","2,942.90","2,951.61","4,810.80","2,407.10","3,44,155","1,01,58,11,716.50","33,478"
"06-Aug-2025","EQ","2,901.90","2,990.50","2,851.00","2,902.00","2,971.00","2,960.20","2,925.96","4,810.80","2,407.10","15,70,696","4,59,57,91,002.40","46,225"
"05-Aug-2025","EQ","2,915.00","2,919.20","2,842.30","2,903.80","2,889.90","2,902.00","2,891.17","4,810.80","2,407.10","1,53,143","44,27,62,602.80","19,457"
"04-Aug-2025","EQ","2,820.00","2,956.00","2,775.00","2,808.40","2,899.40","2,903.80","2,906.61","4,810.80","2,407.10","5,58,622","1,62,36,95,563.60","59,983"
"01-Aug-2025","EQ","2,846.90","2,847.70","2,772.00","2,840.70","2,783.90","2,808.40","2,815.08","4,810.80","2,407.10","2,14,054","60,25,78,486.00","23,383"
"31-Jul-2025","EQ","2,855.40","2,860.00","2,798.50","2,855.40","2,837.00","2,840.70","2,832.16","4,810.80","2,407.10","2,89,474","81,98,36,208.00","31,060"
"30-Jul-2025","EQ","2,850.00","2,940.00","2,834.80","2,868.50","2,861.00","2,855.40","2,874.43","4,810.80","2,407.10","7,25,196","2,08,45,25,350.70","27,157"
"29-Jul-2025","EQ","2,823.50","2,880.70","2,793.80","2,821.60","2,873.20","2,868.50","2,839.90","4,810.80","2,407.10","1,49,463","42,44,59,362.40","18,106"
