ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,919.50","2,919.50","2,844.60","2,891.30","2,850.00","2,851.90","2,875.73","3,958.95","2,202.00","54,928","15,79,58,331.90","13,994"
"12-Aug-2025","EQ","2,851.50","2,911.90","2,835.00","2,851.40","2,888.00","2,891.30","2,881.06","3,958.95","2,202.00","59,257","17,07,22,872.90","10,164"
"11-Aug-2025","EQ","2,869.10","2,871.90","2,836.00","2,869.10","2,841.50","2,851.40","2,854.45","3,958.95","2,202.00","39,871","11,38,09,810.40","11,886"
"08-Aug-2025","EQ","2,910.00","2,947.90","2,854.10","2,898.00","2,871.00","2,869.10","2,884.57","4,294.00","2,202.00","46,986","13,55,34,525.50","13,549"
"07-Aug-2025","EQ","2,860.10","2,915.60","2,847.90","2,919.90","2,899.90","2,898.00","2,880.01","4,294.00","2,202.00","1,26,812","36,52,19,706.50","23,745"
"06-Aug-2025","EQ","2,980.00","3,008.40","2,890.70","2,998.40","2,919.90","2,919.90","2,920.20","4,294.00","2,202.00","1,79,050","52,28,62,111.50","27,964"
"05-Aug-2025","EQ","3,100.00","3,100.00","2,990.00","3,091.50","2,991.20","2,998.40","3,024.07","4,294.00","2,202.00","1,12,107","33,90,19,794.70","12,195"
"04-Aug-2025","EQ","3,083.50","3,123.90","3,000.00","3,155.10","3,094.90","3,091.50","3,070.43","4,294.00","2,202.00","1,63,118","50,08,43,076.80","31,655"
"01-Aug-2025","EQ","3,297.00","3,297.00","3,141.10","3,318.90","3,170.00","3,155.10","3,229.77","4,438.00","2,202.00","77,186","24,92,93,014.50","16,497"
"31-Jul-2025","EQ","3,360.50","3,383.30","3,302.00","3,391.00","3,306.90","3,318.90","3,327.34","4,438.00","2,202.00","1,18,910","39,56,54,149.70","24,516"
"30-Jul-2025","EQ","3,386.40","3,417.40","3,359.10","3,359.50","3,392.00","3,391.00","3,390.12","4,438.00","2,202.00","35,146","11,91,48,997.50","10,314"
"29-Jul-2025","EQ","3,449.00","3,449.00","3,335.50","3,447.80","3,358.00","3,359.50","3,358.52","4,438.00","2,202.00","53,490","17,96,47,167.30","13,243"
"28-Jul-2025","EQ","3,370.00","3,467.10","3,370.00","3,389.10","3,439.00","3,447.80","3,442.50","4,438.00","2,202.00","1,41,220","48,61,50,082.90","38,480"
"25-Jul-2025","EQ","3,498.00","3,498.00","3,363.90","3,514.20","3,365.00","3,389.10","3,401.87","4,438.00","2,202.00","93,856","31,92,85,733.40","17,964"
"24-Jul-2025","EQ","3,560.70","3,560.70","3,466.10","3,533.70","3,516.00","3,514.20","3,509.57","4,438.00","2,202.00","2,18,368","76,63,76,782.10","28,496"
