ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","587.80","591.05","577.15","585.60","587.00","586.15","583.68","950.00","551.30","2,28,301","13,32,53,674.60","9,883"
"12-Aug-2025","EQ","587.45","597.50","582.25","583.95","584.20","585.60","591.60","950.00","551.30","90,817","5,37,27,201.65","9,418"
"11-Aug-2025","EQ","589.10","602.05","580.65","587.95","587.50","583.95","589.49","950.00","551.30","2,13,555","12,58,89,521.25","23,730"
"08-Aug-2025","EQ","587.75","601.50","582.05","584.20","586.10","587.95","593.45","950.00","551.30","2,17,358","12,89,90,254.15","25,252"
"07-Aug-2025","EQ","588.00","613.10","576.25","591.20","587.80","584.20","589.51","950.00","551.30","2,46,327","14,52,11,603.40","25,793"
"06-Aug-2025","EQ","594.90","615.50","585.00","592.50","590.00","591.20","597.20","950.00","551.30","5,39,213","32,20,16,949.05","58,955"
"05-Aug-2025","EQ","570.50","601.00","565.60","575.25","592.00","592.50","582.80","950.00","551.30","2,57,078","14,98,23,958.05","31,608"
"04-Aug-2025","EQ","580.55","583.45","570.35","582.25","576.35","575.25","574.98","950.00","551.30","1,48,881","8,56,04,055.45","20,362"
"01-Aug-2025","EQ","582.00","589.75","564.25","588.65","580.40","582.25","581.46","950.00","551.30","2,97,030","17,27,11,868.95","32,710"
"31-Jul-2025","EQ","582.00","598.55","558.00","602.00","587.00","588.65","586.05","950.00","551.30","4,91,951","28,83,08,076.50","44,250"
"30-Jul-2025","EQ","609.55","614.55","585.00","609.55","605.05","602.00","600.52","950.00","551.30","4,25,656","25,56,14,339.30","28,223"
"29-Jul-2025","EQ","599.00","617.05","592.95","599.75","609.80","609.55","607.81","950.00","551.30","1,24,613","7,57,40,642.45","10,106"
"28-Jul-2025","EQ","608.00","612.60","595.05","608.65","604.00","599.75","604.42","950.00","551.30","1,26,023","7,61,70,905.80","10,748"
"25-Jul-2025","EQ","628.45","628.85","606.55","625.85","613.00","608.65","615.82","950.00","530.00","2,13,056","13,12,04,429.35","14,968"
"24-Jul-2025","EQ","624.15","627.85","618.10","623.20","625.80","625.85","622.73","950.00","530.00","1,06,482","6,63,09,268.30","6,672"
"23-Jul-2025","EQ","635.05","636.55","619.00","631.50","623.00","623.20","624.90","950.00","530.00","1,64,401","10,27,34,947.85","9,632"
"22-Jul-2025","EQ","634.75","647.30","628.10","634.60","633.45","631.50","638.62","950.00","530.00","1,87,471","11,97,23,114.25","11,211"
"21-Jul-2025","EQ","635.00","638.45","629.20","636.25","635.70","634.60","634.38","950.00","530.00","99,659","6,32,21,813.50","7,608"
"18-Jul-2025","EQ","637.10","648.80","630.00","637.10","634.50","636.25","638.72","950.00","530.00","2,18,222","13,93,82,982.35","9,457"
"17-Jul-2025","EQ","635.50","642.00","633.70","634.05","637.00","637.10","638.67","950.00","530.00","2,03,787","13,01,51,771.15","8,285"
"16-Jul-2025","EQ","651.70","654.30","631.15","652.10","633.50","634.05","645.21","950.00","530.00","4,11,893","26,57,58,377.35","26,275"
"15-Jul-2025","EQ","653.00","663.30","644.80","652.75","650.00","652.10","652.24","950.00","530.00","2,41,691","15,76,40,216.85","13,621"
"14-Jul-2025","EQ","653.65","659.55","645.05","650.70","655.00","652.75","653.74","950.00","530.00","57,639","3,76,80,895.50","7,619"
"11-Jul-2025","EQ","639.00","660.00","632.65","639.75","653.40","650.70","649.24","950.00","454.70","2,72,545","17,69,46,469.10","15,241"
"10-Jul-2025","EQ","650.40","654.00","637.70","646.75","639.00","639.75","644.05","950.00","454.70","4,08,395","26,30,25,549.40","11,325"
"09-Jul-2025","EQ","653.70","659.90","645.00","650.30","647.00","646.75","650.41","950.00","454.70","1,28,529","8,35,97,132.80","10,753"
"08-Jul-2025","EQ","682.00","682.00","642.20","675.70","650.00","650.30","651.96","950.00","454.70","2,39,761","15,63,15,437.25","16,185"
"07-Jul-2025","EQ","674.00","678.00","665.25","667.85","675.00","675.70","671.53","950.00","454.70","1,20,554","8,09,55,901.50","7,682"
"04-Jul-2025","EQ","667.00","671.60","656.80","662.80","666.65","667.85","667.17","950.00","412.00","71,659","4,78,09,026.55","5,979"
"03-Jul-2025","EQ","673.00","673.50","657.60","665.30","664.95","662.80","662.02","950.00","412.00","97,365","6,44,57,167.50","6,221"
"02-Jul-2025","EQ","675.00","675.00","663.00","669.50","666.50","665.30","666.31","950.00","412.00","65,334","4,35,32,998.45","5,808"
"01-Jul-2025","EQ","671.90","677.50","666.05","672.95","671.00","669.50","670.62","950.00","412.00","67,154","4,50,34,619.85","5,682"
"30-Jun-2025","EQ","674.10","677.25","664.75","673.95","673.00","672.95","672.11","950.00","412.00","77,547","5,21,20,188.55","7,015"
"27-Jun-2025","EQ","676.70","678.25","670.65","671.10","673.00","673.95","674.53","950.00","404.10","54,521","3,67,75,935.30","5,198"
"26-Jun-2025","EQ","682.90","682.90","663.05","677.00","671.05","671.10","670.34","950.00","404.10","1,40,948","9,44,83,188.45","12,323"
"25-Jun-2025","EQ","665.75","680.55","663.15","662.35","675.30","677.00","672.25","950.00","404.10","92,775","6,23,67,810.45","8,718"
"24-Jun-2025","EQ","668.00","672.45","656.10","658.85","667.55","662.35","664.04","950.00","404.10","1,19,448","7,93,18,464.35","12,542"
"23-Jun-2025","EQ","658.80","667.75","639.00","658.85","659.00","658.85","657.79","950.00","404.10","91,620","6,02,66,498.15","12,041"
"20-Jun-2025","EQ","654.90","660.00","642.65","651.65","657.60","658.85","653.02","950.00","404.10","77,670","5,07,20,291.90","7,154"
"19-Jun-2025","EQ","668.95","670.40","647.85","667.25","653.00","651.65","656.87","950.00","404.10","80,849","5,31,07,256.05","8,362"
"18-Jun-2025","EQ","676.00","680.40","664.45","676.20","668.90","667.25","670.34","950.00","404.10","77,899","5,22,18,739.10","9,802"
"17-Jun-2025","EQ","675.00","696.45","672.30","670.30","674.50","676.20","682.04","950.00","404.10","1,62,765","11,10,12,422.90","18,134"
"16-Jun-2025","EQ","674.00","677.05","656.65","673.95","670.00","670.30","665.46","950.00","404.10","87,165","5,80,05,048.20","7,021"
"13-Jun-2025","EQ","664.95","681.00","655.65","675.25","672.85","673.95","671.41","950.00","404.10","1,19,353","8,01,34,215.30","9,914"
"12-Jun-2025","EQ","690.85","694.30","670.00","687.55","673.45","675.25","683.92","950.00","404.10","1,59,321","10,89,62,254.15","12,507"
"11-Jun-2025","EQ","690.00","694.35","681.35","688.35","688.00","687.55","688.16","950.00","404.10","1,25,048","8,60,53,115.40","11,635"
"10-Jun-2025","EQ","701.00","705.00","685.85","694.70","689.50","688.35","694.62","950.00","404.10","2,46,312","17,10,93,053.10","14,510"
"09-Jun-2025","EQ","694.00","707.65","688.50","685.00","700.00","694.70","697.12","950.00","404.10","3,24,146","22,59,69,682.35","15,633"
"06-Jun-2025","EQ","712.00","712.05","680.65","704.35","686.50","685.00","689.21","950.00","346.45","3,14,159","21,65,21,301.40","20,661"
"05-Jun-2025","EQ","672.40","718.00","667.85","671.95","705.90","704.35","699.08","950.00","346.45","5,94,994","41,59,49,653.05","32,452"
"04-Jun-2025","EQ","648.50","676.80","642.20","641.25","669.40","671.95","663.49","950.00","346.45","4,99,722","33,15,61,545.05","24,069"
"03-Jun-2025","EQ","653.85","661.85","634.65","645.00","643.50","641.25","648.61","950.00","346.45","1,91,021","12,38,97,379.20","11,285"
"02-Jun-2025","EQ","641.00","652.50","641.00","650.20","646.50","645.00","646.18","950.00","346.45","72,762","4,70,17,512.55","7,172"
"30-May-2025","EQ","649.65","660.45","644.00","647.55","646.55","650.20","649.99","950.00","346.45","2,30,456","14,97,95,231.70","13,885"
"29-May-2025","EQ","668.90","669.45","645.00","663.95","650.00","647.55","656.96","950.00","346.45","1,50,311","9,87,48,745.85","11,917"
"28-May-2025","EQ","663.80","668.85","660.15","667.95","664.00","663.95","664.50","950.00","346.45","64,739","4,30,19,052.15","4,545"
"27-May-2025","EQ","677.90","679.65","660.00","677.95","662.50","667.95","667.94","950.00","346.45","97,399","6,50,56,873.90","6,063"
"26-May-2025","EQ","666.00","682.30","661.10","665.05","674.00","677.95","673.86","950.00","346.45","1,62,745","10,96,66,669.95","12,521"
"23-May-2025","EQ","680.20","684.45","663.00","676.80","663.95","665.05","670.01","950.00","346.45","1,35,427","9,07,37,270.90","10,567"
"22-May-2025","EQ","658.00","680.05","648.75","652.80","676.50","676.80","672.25","950.00","346.45","3,19,612","21,48,60,680.00","20,587"
"21-May-2025","EQ","652.00","663.00","643.95","640.15","653.00","652.80","654.82","950.00","346.45","2,68,889","17,60,73,126.65","22,934"
"20-May-2025","EQ","636.00","655.85","630.05","635.80","639.00","640.15","643.94","950.00","346.45","3,15,602","20,32,29,061.35","17,894"
"19-May-2025","EQ","637.05","647.00","631.85","637.80","635.90","635.80","639.10","950.00","346.45","1,14,626","7,32,57,604.10","9,342"
"16-May-2025","EQ","647.05","647.90","635.25","641.45","637.05","637.80","639.27","950.00","346.45","1,21,596","7,77,33,270.85","12,282"
"15-May-2025","EQ","651.80","654.90","634.05","648.45","641.00","641.45","646.61","950.00","346.45","1,35,820","8,78,22,023.15","8,021"
"14-May-2025","EQ","640.00","650.95","635.20","635.20","646.10","648.45","646.36","950.00","346.45","1,18,217","7,64,10,381.80","11,578"
"13-May-2025","EQ","630.00","641.75","627.25","629.15","636.70","635.20","636.16","950.00","346.45","98,828","6,28,70,025.70","9,536"
"12-May-2025","EQ","631.75","636.55","618.60","605.65","632.00","629.15","630.01","950.00","346.45","1,67,255","10,53,71,666.30","16,423"
"09-May-2025","EQ","593.20","610.00","585.00","613.45","608.00","605.65","600.94","950.00","346.45","1,66,609","10,01,22,791.70","14,163"
"08-May-2025","EQ","638.75","638.75","610.00","629.30","613.00","613.45","625.65","950.00","346.45","1,14,899","7,18,86,871.10","13,060"
"07-May-2025","EQ","612.50","636.85","609.40","623.55","626.00","629.30","621.30","950.00","346.45","1,92,238","11,94,38,307.65","21,605"
"06-May-2025","EQ","651.00","651.00","620.10","645.50","623.00","623.55","631.14","950.00","346.45","1,60,811","10,14,95,054.70","21,747"
"05-May-2025","EQ","636.25","648.75","629.55","628.40","641.00","645.50","641.47","950.00","346.45","1,72,970","11,09,54,499.85","19,541"
"02-May-2025","EQ","635.00","640.15","618.90","629.55","628.30","628.40","631.37","950.00","346.45","1,29,712","8,18,96,153.20","19,614"
"30-Apr-2025","EQ","642.70","642.70","625.05","642.75","630.50","629.55","633.09","950.00","346.45","1,53,488","9,71,72,217.55","21,048"
