ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","285.50","289.00","285.40","285.25","287.85","286.65","287.14","394.95","201.27","1,06,630","3,06,17,582.30","4,264"
"12-Aug-2025","EQ","282.10","288.00","282.10","285.10","285.10","285.25","285.02","394.95","201.27","3,10,340","8,84,53,622.20","7,992"
"11-Aug-2025","EQ","289.45","291.90","283.35","289.05","283.50","285.10","286.60","394.95","201.27","1,88,409","5,39,97,285.65","7,035"
"08-Aug-2025","EQ","288.65","291.00","282.75","286.25","288.90","289.05","288.08","394.95","201.27","2,00,491","5,77,57,446.20","8,775"
"07-Aug-2025","EQ","287.00","289.80","280.10","286.05","286.75","286.25","284.66","394.95","201.27","2,72,766","7,76,44,880.60","11,431"
"06-Aug-2025","EQ","289.00","292.00","278.45","288.20","291.90","286.05","283.55","394.95","201.27","7,35,639","20,85,90,814.20","25,707"
"05-Aug-2025","EQ","284.75","289.70","281.70","283.40","286.55","288.20","286.89","394.95","201.27","4,17,898","11,98,90,097.90","9,974"
"04-Aug-2025","EQ","289.80","292.40","282.10","291.20","283.10","283.40","286.48","394.95","201.27","2,59,704","7,44,00,026.15","7,973"
"01-Aug-2025","EQ","299.00","302.90","290.05","299.00","290.70","291.20","294.27","394.95","201.27","1,84,708","5,43,54,901.75","5,504"
"31-Jul-2025","EQ","296.00","302.95","290.50","299.95","297.75","299.00","298.11","394.95","201.27","3,76,380","11,22,01,197.95","10,366"
"30-Jul-2025","EQ","294.10","305.25","292.35","292.10","299.50","299.95","301.01","394.95","201.27","7,54,201","22,70,20,496.75","14,890"
"29-Jul-2025","EQ","292.45","298.10","288.10","292.55","292.30","292.10","291.20","394.95","201.27","3,20,093","9,32,10,237.40","9,374"
"28-Jul-2025","EQ","296.30","298.10","288.05","294.90","290.10","292.55","292.41","394.95","201.27","2,79,738","8,17,98,344.80","7,494"
"25-Jul-2025","EQ","305.30","305.30","293.40","306.10","295.95","294.90","296.66","394.95","201.27","4,25,261","12,61,55,839.15","9,709"
"24-Jul-2025","EQ","301.60","307.65","297.75","302.15","306.00","306.10","303.45","394.95","201.27","4,44,659","13,49,30,130.65","8,061"
"23-Jul-2025","EQ","301.80","306.00","299.00","300.50","301.90","302.15","301.82","394.95","201.27","4,33,227","13,07,58,150.25","8,465"
"22-Jul-2025","EQ","311.45","315.80","299.10","309.05","299.20","300.50","306.24","394.95","201.27","4,96,319","15,19,91,720.50","10,337"
