ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","498.45","518.70","493.05","493.65","506.00","504.50","508.97","524.00","199.53","34,81,493","1,77,19,64,501.80","39,865"
"12-Aug-2025","EQ","513.00","513.00","481.25","472.30","495.00","493.65","498.97","524.00","199.53","84,21,182","4,20,18,90,008.25","95,856"
"11-Aug-2025","EQ","469.80","478.00","464.90","469.80","477.90","472.30","472.64","524.00","199.53","9,80,173","46,32,71,442.10","12,303"
"08-Aug-2025","EQ","479.60","481.55","465.00","482.20","466.10","469.80","472.64","524.00","199.53","6,38,935","30,19,86,453.90","11,288"
"07-Aug-2025","EQ","486.00","495.00","472.60","486.60","481.50","482.20","483.94","524.00","199.53","11,63,087","56,28,63,766.70","15,855"
"06-Aug-2025","EQ","508.45","509.80","482.30","508.45","487.00","486.60","494.35","524.00","199.53","10,39,593","51,39,27,737.85","16,286"
"05-Aug-2025","EQ","514.00","520.00","505.50","513.45","507.05","508.45","513.21","524.00","199.53","10,55,719","54,18,04,140.60","14,068"
"04-Aug-2025","EQ","505.50","517.90","497.00","505.35","512.30","513.45","511.23","524.00","199.53","19,69,429","1,00,68,30,933.80","20,325"
"01-Aug-2025","EQ","493.40","514.00","488.55","492.20","505.25","505.35","505.16","524.00","199.53","23,03,668","1,16,37,14,056.85","24,959"
"31-Jul-2025","EQ","489.95","499.80","483.00","498.30","492.50","492.20","490.75","524.00","199.53","24,74,633","1,21,44,19,708.55","25,994"
"30-Jul-2025","EQ","499.00","517.25","481.00","510.05","496.15","498.30","498.35","524.00","199.53","60,18,427","2,99,92,94,134.45","58,011"
"29-Jul-2025","EQ","508.45","524.00","496.00","509.55","509.20","510.05","513.15","524.00","199.53","39,25,220","2,01,42,33,326.50","39,402"
"28-Jul-2025","EQ","494.70","520.00","483.15","497.40","508.20","509.55","508.09","520.00","199.53","56,82,820","2,88,74,08,450.85","61,266"
"25-Jul-2025","EQ","494.90","506.50","483.45","493.35","495.35","497.40","497.73","506.50","199.53","60,15,274","2,99,39,66,979.50","63,456"
"24-Jul-2025","EQ","480.80","505.35","470.10","473.25","495.00","493.35","488.78","505.35","199.53","1,50,06,394","7,33,47,83,435.60","1,49,304"
"23-Jul-2025","EQ","477.20","483.80","444.15","470.35","468.30","473.25","465.16","488.00","199.53","1,39,08,167","6,46,94,86,572.60","1,70,223"
"22-Jul-2025","EQ","425.00","488.00","424.80","418.80","473.45","470.35","450.93","488.00","199.53","2,21,72,098","9,99,80,69,363.80","2,34,481"
"21-Jul-2025","EQ","400.00","443.90","397.05","396.75","419.00","418.80","425.58","457.00","199.53","2,72,00,930","11,57,61,31,856.25","3,19,279"
"18-Jul-2025","EQ","393.80","398.90","388.15","393.80","396.00","396.75","393.77","457.00","199.53","15,50,447","61,05,26,185.10","21,720"
"17-Jul-2025","EQ","397.00","411.50","391.45","393.55","393.40","393.80","402.25","457.00","199.53","72,76,889","2,92,71,27,197.65","1,02,851"
"16-Jul-2025","EQ","356.40","397.00","356.40","352.60","392.90","393.55","384.02","457.00","199.53","1,56,75,495","6,01,96,66,793.55","2,12,017"
"15-Jul-2025","EQ","342.70","353.50","340.95","341.35","352.50","352.60","348.40","457.00","199.53","8,21,012","28,60,36,899.95","15,396"
"14-Jul-2025","EQ","339.00","350.40","337.25","338.30","342.30","341.35","344.10","457.00","199.53","10,21,170","35,13,89,177.90","21,323"
"11-Jul-2025","EQ","345.00","346.60","337.00","342.35","337.80","338.30","340.11","457.00","199.53","4,79,999","16,32,54,624.60","10,016"
"10-Jul-2025","EQ","345.00","346.65","341.00","344.35","342.50","342.35","343.41","457.00","199.53","3,00,387","10,31,55,860.00","8,936"
"09-Jul-2025","EQ","349.10","350.60","341.30","349.15","343.30","344.35","346.70","457.00","199.53","8,26,205","28,64,46,688.60","12,419"
"08-Jul-2025","EQ","348.50","351.60","341.25","339.45","348.55","349.15","346.55","457.00","199.53","16,76,470","58,09,88,015.15","28,380"
"07-Jul-2025","EQ","340.95","347.55","337.00","341.05","338.90","339.45","341.14","457.00","199.53","4,22,357","14,40,83,217.70","11,179"
"04-Jul-2025","EQ","341.15","344.90","340.00","342.35","341.00","341.05","341.27","457.00","199.53","3,66,872","12,52,01,435.15","7,971"
"03-Jul-2025","EQ","344.90","346.50","338.05","343.40","342.00","342.35","342.67","457.00","199.53","7,54,639","25,85,90,624.25","13,953"
"02-Jul-2025","EQ","346.75","347.00","341.15","345.20","344.50","343.40","343.23","457.00","199.53","3,32,146","11,40,02,042.05","8,517"
"01-Jul-2025","EQ","347.90","351.30","343.00","346.95","345.50","345.20","346.48","457.00","199.53","4,00,020","13,86,00,374.00","9,432"
"30-Jun-2025","EQ","350.80","352.55","344.65","349.70","347.55","346.95","347.91","457.00","199.53","5,83,586","20,30,36,364.30","13,879"
"27-Jun-2025","EQ","355.95","356.00","348.80","353.90","350.00","349.70","352.12","457.00","199.53","5,61,670","19,77,73,617.40","12,797"
"26-Jun-2025","EQ","357.00","360.85","351.85","354.85","354.20","353.90","355.43","457.00","199.53","5,15,636","18,32,74,297.05","9,444"
"25-Jun-2025","EQ","353.00","359.55","350.55","350.85","355.20","354.85","354.27","457.00","199.53","6,41,431","22,72,41,367.90","12,618"
"24-Jun-2025","EQ","363.00","363.30","347.30","357.00","352.70","350.85","355.46","457.00","199.53","11,94,093","42,44,49,949.60","27,606"
"23-Jun-2025","EQ","358.00","364.40","353.40","361.05","357.50","357.00","359.22","457.00","199.53","10,34,617","37,16,51,679.25","21,581"
"20-Jun-2025","EQ","367.95","372.40","360.00","367.80","360.90","361.05","364.30","457.00","199.53","14,78,101","53,84,72,308.15","34,870"
