ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,360.00","1,376.00","1,350.00","1,358.10","1,353.00","1,362.10","1,362.43","2,037.00","1,207.25","2,11,541","28,82,09,469.10","18,055"
"12-Aug-2025","EQ","1,346.30","1,360.60","1,345.20","1,345.00","1,360.00","1,358.10","1,355.61","2,037.00","1,207.25","2,07,267","28,09,72,791.20","14,229"
"11-Aug-2025","EQ","1,335.00","1,354.00","1,327.10","1,335.80","1,348.00","1,345.00","1,344.10","2,037.00","1,207.25","3,04,004","40,86,11,390.10","19,418"
"08-Aug-2025","EQ","1,357.50","1,368.90","1,330.10","1,357.50","1,330.60","1,335.80","1,344.15","2,037.00","1,207.25","4,28,142","57,54,88,972.30","30,994"
"07-Aug-2025","EQ","1,309.90","1,360.00","1,309.10","1,319.90","1,359.00","1,357.50","1,345.23","2,037.00","1,207.25","5,75,035","77,35,51,777.50","35,905"
"06-Aug-2025","EQ","1,290.00","1,338.00","1,272.00","1,313.60","1,323.90","1,319.90","1,318.31","2,037.00","1,207.25","9,44,308","1,24,48,87,907.80","52,167"
"05-Aug-2025","EQ","1,313.00","1,325.30","1,280.10","1,312.10","1,317.90","1,313.60","1,304.49","2,037.00","1,207.25","6,87,764","89,71,79,726.70","49,908"
"04-Aug-2025","EQ","1,291.40","1,316.60","1,277.00","1,288.20","1,310.00","1,312.10","1,298.28","2,037.00","1,207.25","2,44,606","31,75,67,683.10","21,400"
"01-Aug-2025","EQ","1,307.00","1,314.70","1,285.00","1,310.00","1,292.80","1,288.20","1,298.07","2,037.00","1,207.25","2,28,446","29,65,39,198.70","18,868"
"31-Jul-2025","EQ","1,320.00","1,326.70","1,301.90","1,336.50","1,309.00","1,310.00","1,314.82","2,037.00","1,207.25","3,56,942","46,93,16,100.20","19,193"
"30-Jul-2025","EQ","1,326.00","1,364.30","1,316.80","1,324.90","1,337.20","1,336.50","1,348.96","2,037.00","1,207.25","4,39,272","59,25,62,295.30","26,124"
"29-Jul-2025","EQ","1,328.10","1,344.00","1,318.50","1,338.40","1,326.10","1,324.90","1,326.61","2,037.00","1,207.25","2,65,829","35,26,51,834.50","18,921"
"28-Jul-2025","EQ","1,324.90","1,344.30","1,316.00","1,325.50","1,338.50","1,338.40","1,332.78","2,037.00","1,207.25","2,16,922","28,91,09,746.30","20,341"
"25-Jul-2025","EQ","1,354.80","1,354.80","1,321.20","1,356.40","1,328.80","1,325.50","1,332.33","2,037.00","1,207.25","2,00,310","26,68,78,157.30","19,905"
"24-Jul-2025","EQ","1,360.70","1,369.30","1,345.00","1,357.00","1,351.80","1,356.40","1,359.69","2,037.00","1,207.25","2,53,564","34,47,67,624.20","17,601"
"23-Jul-2025","EQ","1,343.60","1,360.40","1,340.50","1,342.80","1,358.20","1,357.00","1,351.36","2,037.00","1,207.25","6,57,001","88,78,45,536.80","31,761"
"22-Jul-2025","EQ","1,368.00","1,372.70","1,339.10","1,367.60","1,344.70","1,342.80","1,349.64","2,037.00","1,207.25","3,49,201","47,12,95,413.50","28,060"
"21-Jul-2025","EQ","1,367.00","1,375.00","1,357.40","1,368.60","1,366.00","1,367.60","1,367.17","2,037.00","1,207.25","2,68,362","36,68,95,721.90","27,985"
"18-Jul-2025","EQ","1,386.90","1,386.90","1,361.60","1,385.80","1,367.00","1,368.60","1,371.23","2,037.00","1,207.25","3,21,547","44,09,14,906.70","26,690"
"17-Jul-2025","EQ","1,394.10","1,404.90","1,384.00","1,394.10","1,384.40","1,385.80","1,391.52","2,037.00","1,207.25","2,81,247","39,13,59,875.70","23,228"
"16-Jul-2025","EQ","1,395.00","1,408.00","1,386.20","1,391.60","1,394.10","1,394.10","1,396.44","2,037.00","1,207.25","2,92,996","40,91,52,722.40","26,001"
"15-Jul-2025","EQ","1,402.90","1,411.00","1,385.70","1,403.50","1,397.90","1,391.60","1,393.26","2,037.00","1,207.25","2,51,325","35,01,60,488.50","21,150"
"14-Jul-2025","EQ","1,402.10","1,421.10","1,393.50","1,408.10","1,401.00","1,403.50","1,407.13","2,037.00","1,207.25","3,17,645","44,69,68,255.30","20,823"
"11-Jul-2025","EQ","1,427.00","1,438.50","1,399.00","1,426.70","1,399.00","1,408.10","1,412.96","2,037.00","1,207.25","2,90,383","41,03,00,913.90","19,767"
"10-Jul-2025","EQ","1,427.00","1,449.60","1,420.10","1,427.00","1,428.00","1,426.70","1,434.07","2,037.00","1,207.25","3,22,583","46,26,05,911.70","25,282"
"09-Jul-2025","EQ","1,430.00","1,432.30","1,407.20","1,424.10","1,428.00","1,427.00","1,422.90","2,037.00","1,207.25","4,85,973","69,14,90,811.70","24,952"
"08-Jul-2025","EQ","1,436.00","1,455.00","1,420.10","1,440.80","1,427.00","1,424.10","1,430.52","2,037.00","1,207.25","2,96,906","42,47,31,010.20","20,346"
"07-Jul-2025","EQ","1,436.10","1,448.70","1,430.00","1,439.80","1,441.10","1,440.80","1,440.57","2,037.00","1,207.25","1,60,058","23,05,73,971.60","12,643"
"04-Jul-2025","EQ","1,445.00","1,453.50","1,428.10","1,442.40","1,442.30","1,439.80","1,442.19","2,037.00","1,207.25","1,75,116","25,25,51,373.10","12,867"
"03-Jul-2025","EQ","1,473.00","1,478.90","1,440.00","1,469.40","1,443.00","1,442.40","1,453.87","2,037.00","1,207.25","2,20,214","32,01,61,864.00","17,156"
"02-Jul-2025","EQ","1,456.70","1,472.70","1,446.00","1,456.70","1,470.00","1,469.40","1,460.86","2,037.00","1,207.25","1,89,187","27,63,76,660.90","10,916"
"01-Jul-2025","EQ","1,467.60","1,478.00","1,443.70","1,467.60","1,458.60","1,456.70","1,454.54","2,037.00","1,207.25","3,96,855","57,72,43,099.30","25,012"
"30-Jun-2025","EQ","1,473.20","1,480.50","1,438.00","1,473.20","1,466.50","1,467.60","1,460.34","2,037.00","1,207.25","7,69,672","1,12,39,84,386.70","56,693"
"27-Jun-2025","EQ","1,468.10","1,492.00","1,459.10","1,460.70","1,482.00","1,473.20","1,477.43","2,037.00","1,207.25","10,38,044","1,53,36,40,065.20","50,127"
"26-Jun-2025","EQ","1,464.40","1,483.90","1,456.80","1,461.90","1,462.00","1,460.70","1,468.91","2,037.00","1,207.25","3,89,029","57,14,47,600.80","27,456"
"25-Jun-2025","EQ","1,455.00","1,482.00","1,449.60","1,451.10","1,463.90","1,461.90","1,467.00","2,037.00","1,207.25","6,49,892","95,33,93,585.80","32,332"
"24-Jun-2025","EQ","1,426.00","1,454.00","1,419.40","1,416.70","1,454.00","1,451.10","1,444.73","2,037.00","1,207.25","5,90,558","85,31,97,958.40","37,934"
"23-Jun-2025","EQ","1,380.80","1,419.00","1,377.70","1,390.10","1,415.00","1,416.70","1,406.33","2,037.00","1,207.25","2,42,297","34,07,48,609.60","20,700"
"20-Jun-2025","EQ","1,366.00","1,394.00","1,360.60","1,366.80","1,384.10","1,390.10","1,386.77","2,037.00","1,207.25","5,76,579","79,95,81,397.90","24,090"
"19-Jun-2025","EQ","1,388.00","1,395.50","1,358.20","1,387.40","1,368.10","1,366.80","1,374.95","2,037.00","1,207.25","2,15,247","29,59,53,290.70","16,070"
"18-Jun-2025","EQ","1,409.90","1,414.30","1,383.10","1,406.80","1,391.00","1,387.40","1,396.42","2,037.00","1,207.25","2,83,090","39,53,12,234.50","17,881"
"17-Jun-2025","EQ","1,419.00","1,440.00","1,402.80","1,421.00","1,409.80","1,406.80","1,421.51","2,037.00","1,207.25","4,30,219","61,15,61,828.00","29,173"
"16-Jun-2025","EQ","1,420.00","1,424.70","1,392.30","1,414.00","1,422.00","1,421.00","1,413.31","2,037.00","1,207.25","3,14,047","44,38,45,339.80","17,450"
"13-Jun-2025","EQ","1,400.00","1,419.70","1,389.90","1,398.90","1,413.00","1,414.00","1,409.19","2,037.00","1,207.25","7,79,438","1,09,83,79,465.20","31,625"
"12-Jun-2025","EQ","1,432.40","1,445.00","1,393.30","1,432.40","1,400.00","1,398.90","1,413.25","2,037.00","1,207.25","4,27,130","60,36,41,239.60","33,331"
"11-Jun-2025","EQ","1,466.00","1,468.70","1,422.50","1,451.60","1,434.00","1,432.40","1,447.98","2,037.00","1,207.25","10,51,804","1,52,29,93,514.80","44,417"
"10-Jun-2025","EQ","1,415.00","1,455.00","1,410.40","1,407.20","1,455.00","1,451.60","1,439.22","2,037.00","1,207.25","8,70,071","1,25,22,24,737.10","43,610"
"09-Jun-2025","EQ","1,420.00","1,423.00","1,401.50","1,408.00","1,407.90","1,407.20","1,407.49","2,037.00","1,207.25","8,83,603","1,24,36,66,019.00","39,174"
"06-Jun-2025","EQ","1,416.90","1,424.60","1,401.40","1,410.50","1,409.80","1,408.00","1,409.97","2,037.00","1,207.25","2,57,246","36,27,08,470.40","16,917"
"05-Jun-2025","EQ","1,428.90","1,434.40","1,407.50","1,419.10","1,412.00","1,410.50","1,415.72","2,037.00","1,207.25","2,85,426","40,40,84,170.10","19,191"
"04-Jun-2025","EQ","1,415.00","1,453.80","1,405.00","1,403.30","1,424.00","1,419.10","1,427.05","2,037.00","1,207.25","11,48,156","1,63,84,71,259.00","87,123"
"03-Jun-2025","EQ","1,423.50","1,423.50","1,398.70","1,396.50","1,404.00","1,403.30","1,411.42","2,037.00","1,207.25","7,23,802","1,02,15,91,305.90","44,701"
"02-Jun-2025","EQ","1,370.10","1,399.70","1,365.30","1,374.00","1,394.80","1,396.50","1,387.57","2,037.00","1,207.25","3,92,420","54,45,10,364.30","44,240"
"30-May-2025","EQ","1,407.00","1,410.00","1,361.00","1,400.40","1,375.00","1,374.00","1,374.65","2,037.00","1,207.25","13,70,742","1,88,42,96,631.30","44,388"
"29-May-2025","EQ","1,399.90","1,409.80","1,380.00","1,396.20","1,399.00","1,400.40","1,394.47","2,037.00","1,207.25","3,73,352","52,06,27,199.30","28,513"
"28-May-2025","EQ","1,425.40","1,425.90","1,393.10","1,425.40","1,394.90","1,396.20","1,406.15","2,037.00","1,207.25","3,24,782","45,66,92,817.40","23,948"
"27-May-2025","EQ","1,426.00","1,429.90","1,414.00","1,426.10","1,422.00","1,425.40","1,423.10","2,037.00","1,207.25","2,93,467","41,76,33,618.70","22,727"
"26-May-2025","EQ","1,418.00","1,439.00","1,408.10","1,401.90","1,422.00","1,426.10","1,425.49","2,037.00","1,207.25","5,20,002","74,12,58,154.60","36,164"
"23-May-2025","EQ","1,402.00","1,415.50","1,387.30","1,394.60","1,414.90","1,401.90","1,400.57","2,037.00","1,207.25","8,34,234","1,16,84,02,798.50","34,858"
"22-May-2025","EQ","1,398.80","1,405.90","1,380.00","1,398.70","1,396.00","1,394.60","1,395.53","2,037.00","1,207.25","4,96,523","69,29,14,610.00","26,429"
"21-May-2025","EQ","1,395.00","1,418.20","1,389.10","1,390.40","1,399.30","1,398.70","1,404.89","2,037.00","1,207.25","9,60,328","1,34,91,52,589.40","44,583"
"20-May-2025","EQ","1,440.00","1,471.70","1,382.10","1,424.30","1,395.00","1,390.40","1,427.09","2,037.00","1,207.25","10,43,014","1,48,84,75,613.50","65,805"
"19-May-2025","EQ","1,449.90","1,469.80","1,421.30","1,442.80","1,425.00","1,424.30","1,443.48","2,037.00","1,207.25","5,68,203","82,01,91,523.30","33,864"
"16-May-2025","EQ","1,443.00","1,460.00","1,432.50","1,432.70","1,440.00","1,442.80","1,443.51","2,037.00","1,207.25","5,13,476","74,12,06,766.10","33,717"
"15-May-2025","EQ","1,469.90","1,472.50","1,405.50","1,449.90","1,435.00","1,432.70","1,430.76","2,037.00","1,207.25","12,34,033","1,76,56,10,621.40","62,781"
"14-May-2025","EQ","1,430.00","1,469.00","1,420.20","1,426.80","1,448.00","1,449.90","1,446.73","2,037.00","1,207.25","7,06,479","1,02,20,85,159.20","38,236"
"13-May-2025","EQ","1,465.00","1,468.90","1,423.00","1,465.20","1,428.30","1,426.80","1,435.16","2,037.00","1,207.25","6,99,179","1,00,34,34,856.20","64,325"
"12-May-2025","EQ","1,430.00","1,472.00","1,413.10","1,371.70","1,464.90","1,465.20","1,453.97","2,037.00","1,207.25","6,78,744","98,68,70,405.60","65,962"
"09-May-2025","EQ","1,390.00","1,412.30","1,367.40","1,420.00","1,383.10","1,371.70","1,378.64","2,037.00","1,207.25","7,11,136","98,04,02,751.50","60,484"
"08-May-2025","EQ","1,493.60","1,510.20","1,411.10","1,501.90","1,417.90","1,420.00","1,447.39","2,037.00","1,207.25","5,28,111","76,43,83,381.70","47,587"
"07-May-2025","EQ","1,409.30","1,504.80","1,409.30","1,462.30","1,497.00","1,501.90","1,490.33","2,037.00","1,207.25","5,11,125","76,17,42,417.10","52,881"
"06-May-2025","EQ","1,485.20","1,509.90","1,451.00","1,477.90","1,455.00","1,462.30","1,479.11","2,037.00","1,207.25","2,85,336","42,20,44,369.00","35,900"
"05-May-2025","EQ","1,490.40","1,492.60","1,455.40","1,490.40","1,479.00","1,477.90","1,474.16","2,037.00","1,207.25","6,82,821","1,00,65,89,434.50","54,404"
"02-May-2025","EQ","1,540.00","1,555.00","1,481.70","1,539.10","1,486.00","1,490.40","1,510.18","2,037.00","1,207.25","3,29,302","49,73,06,288.80","28,486"
"30-Apr-2025","EQ","1,546.20","1,578.70","1,525.00","1,554.60","1,531.60","1,539.10","1,542.57","2,037.00","1,207.25","5,75,987","88,84,98,795.80","38,586"
"29-Apr-2025","EQ","1,567.00","1,586.00","1,546.10","1,557.00","1,550.00","1,554.60","1,565.70","2,037.00","1,207.25","3,01,597","47,22,10,961.80","21,250"
"28-Apr-2025","EQ","1,538.50","1,586.20","1,538.40","1,538.60","1,557.00","1,557.00","1,563.21","2,037.00","1,207.25","2,31,208","36,14,26,542.60","25,027"
"25-Apr-2025","EQ","1,600.60","1,609.00","1,521.90","1,600.70","1,538.30","1,538.60","1,548.96","2,037.00","1,207.25","2,94,520","45,62,00,953.40","35,510"
"24-Apr-2025","EQ","1,609.90","1,616.70","1,596.00","1,609.60","1,596.00","1,600.70","1,602.91","2,037.00","1,207.25","2,73,185","43,78,91,574.60","22,313"
"23-Apr-2025","EQ","1,594.80","1,614.80","1,571.90","1,589.50","1,601.50","1,609.60","1,601.10","2,037.00","1,207.25","2,78,065","44,52,08,534.70","25,847"
"22-Apr-2025","EQ","1,599.60","1,622.00","1,586.10","1,592.50","1,588.00","1,589.50","1,602.09","2,037.00","1,207.25","3,34,510","53,59,15,492.40","30,190"
"21-Apr-2025","EQ","1,600.00","1,622.20","1,588.00","1,591.00","1,593.00","1,592.50","1,602.87","2,037.00","1,207.25","3,28,035","52,57,98,488.80","23,092"
"17-Apr-2025","EQ","1,591.50","1,609.90","1,580.20","1,605.20","1,591.10","1,591.00","1,590.80","2,037.00","1,207.25","2,43,465","38,73,03,992.20","21,117"
"16-Apr-2025","EQ","1,625.00","1,640.00","1,587.00","1,623.60","1,596.00","1,605.20","1,612.04","2,037.00","1,207.25","3,51,590","56,67,78,319.10","24,233"
"15-Apr-2025","EQ","1,599.90","1,628.00","1,570.80","1,562.15","1,622.00","1,623.60","1,610.32","2,037.00","1,207.25","4,87,077","78,43,49,597.40","33,815"
"11-Apr-2025","EQ","1,551.60","1,568.55","1,530.50","1,530.90","1,560.00","1,562.15","1,554.68","2,037.00","1,207.25","7,08,281","1,10,11,51,541.05","44,586"
"09-Apr-2025","EQ","1,504.55","1,535.35","1,484.45","1,509.75","1,526.15","1,530.90","1,516.48","2,037.00","1,207.25","3,83,342","58,13,31,610.95","36,356"
"08-Apr-2025","EQ","1,534.60","1,535.00","1,482.00","1,496.70","1,508.80","1,509.75","1,505.68","2,037.00","1,207.25","2,55,617","38,48,78,211.80","26,715"
"07-Apr-2025","EQ","1,383.35","1,511.70","1,383.35","1,537.05","1,511.70","1,496.70","1,476.23","2,037.00","1,207.25","2,94,552","43,48,25,840.95","26,269"
"04-Apr-2025","EQ","1,552.00","1,567.75","1,504.75","1,552.00","1,540.00","1,537.05","1,531.33","2,037.00","1,207.25","5,55,099","85,00,41,650.10","30,427"
"03-Apr-2025","EQ","1,499.60","1,561.30","1,499.35","1,509.70","1,556.85","1,552.00","1,538.53","2,037.00","1,207.25","5,71,040","87,85,62,551.65","32,093"
"02-Apr-2025","EQ","1,516.00","1,519.90","1,492.00","1,500.30","1,505.30","1,509.70","1,505.43","2,037.00","1,207.25","4,03,452","60,73,67,179.10","45,860"
"01-Apr-2025","EQ","1,482.45","1,508.00","1,473.00","1,486.85","1,499.00","1,500.30","1,497.12","2,037.00","1,207.25","2,52,185","37,75,52,172.20","17,217"
"28-Mar-2025","EQ","1,501.95","1,534.50","1,483.05","1,501.95","1,487.00","1,486.85","1,509.19","2,037.00","1,207.25","4,61,042","69,57,98,455.50","37,690"
"27-Mar-2025","EQ","1,495.40","1,508.15","1,471.45","1,499.90","1,501.80","1,501.95","1,492.75","2,037.00","1,207.25","5,11,336","76,32,98,585.30","36,609"
"26-Mar-2025","EQ","1,493.95","1,518.90","1,489.05","1,492.10","1,496.90","1,499.90","1,504.18","2,037.00","1,207.25","4,72,531","71,07,72,565.60","32,126"
"25-Mar-2025","EQ","1,539.00","1,542.90","1,478.40","1,530.10","1,495.00","1,492.10","1,496.12","2,037.00","1,207.25","6,96,251","1,04,16,75,167.55","25,156"
"24-Mar-2025","EQ","1,509.00","1,547.00","1,509.00","1,498.55","1,530.00","1,530.10","1,534.38","2,037.00","1,207.25","6,44,359","98,86,91,168.25","50,935"
"21-Mar-2025","EQ","1,464.00","1,504.30","1,455.05","1,468.60","1,499.00","1,498.55","1,491.31","2,037.00","1,165.00","10,24,148","1,52,73,19,009.35","56,583"
"20-Mar-2025","EQ","1,440.50","1,473.20","1,428.05","1,440.50","1,464.00","1,468.60","1,452.64","2,037.00","1,165.00","6,85,073","99,51,64,110.90","43,023"
"19-Mar-2025","EQ","1,391.00","1,449.90","1,381.95","1,375.95","1,440.00","1,440.50","1,424.60","2,037.00","1,165.00","7,14,540","1,01,79,31,093.65","48,688"
"18-Mar-2025","EQ","1,322.25","1,381.95","1,307.95","1,310.80","1,380.00","1,375.95","1,359.47","2,037.00","1,165.00","8,36,945","1,13,77,99,275.35","66,388"
"17-Mar-2025","EQ","1,292.55","1,337.95","1,282.50","1,291.20","1,314.30","1,310.80","1,309.76","2,037.00","1,165.00","4,87,213","63,81,33,712.35","43,979"
"13-Mar-2025","EQ","1,319.85","1,329.40","1,282.45","1,315.90","1,285.00","1,291.20","1,306.95","2,037.00","1,104.10","2,28,014","29,80,02,528.00","28,961"
"12-Mar-2025","EQ","1,341.00","1,353.55","1,302.00","1,334.35","1,316.05","1,315.90","1,317.15","2,037.00","1,104.10","2,39,088","31,49,15,880.05","20,948"
"11-Mar-2025","EQ","1,322.25","1,353.95","1,303.85","1,349.85","1,333.00","1,334.35","1,334.57","2,037.00","1,104.10","4,39,957","58,71,54,774.15","36,335"
"10-Mar-2025","EQ","1,332.00","1,391.95","1,332.00","1,332.00","1,343.10","1,349.85","1,369.53","2,037.00","1,104.10","8,33,274","1,14,11,94,138.80","43,695"
"07-Mar-2025","EQ","1,326.00","1,363.45","1,320.15","1,326.85","1,329.45","1,332.00","1,339.97","2,037.00","1,104.10","6,20,985","83,20,99,260.95","48,574"
"06-Mar-2025","EQ","1,311.00","1,330.80","1,301.35","1,311.25","1,326.90","1,326.85","1,318.31","2,037.00","1,104.10","3,49,457","46,06,93,158.65","28,860"
"05-Mar-2025","EQ","1,268.00","1,314.20","1,268.00","1,276.70","1,306.85","1,311.25","1,298.02","2,037.00","1,104.10","3,85,085","49,98,46,763.05","36,598"
"04-Mar-2025","EQ","1,248.50","1,283.20","1,225.00","1,267.25","1,272.00","1,276.70","1,263.74","2,037.00","1,104.10","3,95,698","50,00,60,003.20","36,892"
"03-Mar-2025","EQ","1,270.30","1,289.90","1,232.05","1,262.95","1,263.05","1,267.25","1,255.79","2,037.00","1,104.10","4,44,579","55,82,96,386.10","36,832"
"28-Feb-2025","EQ","1,301.05","1,301.05","1,238.00","1,312.70","1,275.10","1,262.95","1,259.05","2,037.00","1,064.50","23,61,453","2,97,31,84,090.65","1,11,650"
"27-Feb-2025","EQ","1,322.50","1,335.60","1,295.55","1,322.50","1,310.85","1,312.70","1,309.89","2,037.00","1,064.50","3,77,025","49,38,59,676.55","38,439"
"25-Feb-2025","EQ","1,300.10","1,343.55","1,286.15","1,303.30","1,320.20","1,322.50","1,328.73","2,037.00","1,064.50","9,52,901","1,26,61,49,842.30","80,796"
"24-Feb-2025","EQ","1,265.00","1,309.00","1,254.50","1,289.30","1,305.85","1,303.30","1,289.65","2,037.00","1,064.50","4,51,488","58,22,62,832.65","33,990"
"21-Feb-2025","EQ","1,259.00","1,294.00","1,252.10","1,259.95","1,278.00","1,289.30","1,276.37","2,037.00","1,064.50","4,79,150","61,15,71,176.25","40,059"
"20-Feb-2025","EQ","1,257.95","1,273.95","1,235.10","1,258.70","1,264.00","1,259.95","1,254.39","2,037.00","1,064.50","7,49,886","94,06,51,433.75","47,460"
"19-Feb-2025","EQ","1,236.25","1,263.40","1,215.00","1,235.15","1,256.80","1,258.70","1,249.69","2,037.00","1,064.50","5,52,892","69,09,43,452.65","57,713"
"18-Feb-2025","EQ","1,239.40","1,240.00","1,208.00","1,239.35","1,234.00","1,235.15","1,231.93","2,037.00","1,064.50","14,12,340","1,73,98,97,071.15","39,574"
"17-Feb-2025","EQ","1,237.65","1,244.10","1,207.25","1,237.70","1,238.00","1,239.35","1,229.34","2,037.00","1,064.50","3,74,969","46,09,62,844.35","39,089"
"14-Feb-2025","EQ","1,270.35","1,282.50","1,216.75","1,255.70","1,233.90","1,237.70","1,235.12","2,037.00","1,056.95","4,20,303","51,91,23,727.65","56,615"
"13-Feb-2025","EQ","1,270.85","1,279.00","1,250.60","1,268.80","1,252.40","1,255.70","1,265.13","2,037.00","1,056.95","3,61,459","45,72,93,869.50","60,622"
