ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","801.95","803.95","778.40","798.90","787.00","787.70","789.25","825.00","394.55","13,47,752","1,06,37,10,816.70","36,484"
"11-Aug-2025","EQ","759.80","804.80","751.55","756.65","798.50","798.90","786.64","825.00","394.55","31,23,154","2,45,67,89,051.00","71,666"
"08-Aug-2025","EQ","790.85","790.85","754.10","784.50","757.40","756.65","764.57","825.00","394.55","25,83,438","1,97,52,21,509.40","62,601"
"07-Aug-2025","EQ","794.65","825.00","775.20","794.65","782.60","784.50","803.75","825.00","394.55","1,25,53,492","10,08,98,39,664.05","2,30,836"
"06-Aug-2025","EQ","760.00","808.80","748.30","705.75","803.00","794.65","785.33","808.80","394.55","2,73,83,522","21,50,49,72,074.90","4,02,582"
"05-Aug-2025","EQ","731.90","747.00","688.55","728.55","716.00","705.75","722.11","806.90","394.55","25,20,867","1,82,03,39,388.30","70,475"
"04-Aug-2025","EQ","708.05","732.20","696.10","705.85","727.55","728.55","721.84","806.90","394.55","11,55,088","83,37,94,007.10","31,492"
"01-Aug-2025","EQ","731.95","735.30","702.35","731.35","708.00","705.85","715.85","806.90","394.55","9,61,915","68,85,88,424.95","25,494"
"31-Jul-2025","EQ","708.80","741.80","700.80","719.35","734.00","731.35","730.41","806.90","394.55","21,62,807","1,57,97,25,785.70","59,476"
"30-Jul-2025","EQ","691.05","722.40","685.00","687.40","720.00","719.35","709.13","806.90","394.55","20,94,024","1,48,49,29,972.45","47,515"
"29-Jul-2025","EQ","671.10","695.00","663.35","672.70","688.00","687.40","685.38","806.90","394.55","12,21,305","83,70,53,743.20","32,141"
"28-Jul-2025","EQ","690.00","697.15","666.35","693.35","674.15","672.70","680.02","806.90","394.55","12,27,183","83,45,09,724.50","37,220"
"25-Jul-2025","EQ","696.10","707.55","687.50","697.90","692.00","693.35","698.22","806.90","394.55","12,94,991","90,41,84,394.95","37,067"
"24-Jul-2025","EQ","720.90","728.95","687.15","718.75","697.00","697.90","705.75","806.90","394.55","16,45,359","1,16,12,15,570.55","49,969"
"23-Jul-2025","EQ","739.70","739.95","715.90","735.90","720.00","718.75","723.01","806.90","394.55","12,07,887","87,33,10,008.80","33,618"
"22-Jul-2025","EQ","731.95","738.30","696.00","727.70","736.50","735.90","720.02","806.90","394.55","35,63,629","2,56,58,97,003.05","83,279"
