ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","519.70","524.00","515.20","515.70","516.00","517.00","520.30","885.00","460.30","2,76,014","14,36,11,259.35","14,956"
"12-Aug-2025","EQ","521.80","523.60","513.35","520.95","520.50","515.70","517.18","885.00","460.30","20,25,447","1,04,75,16,611.15","49,570"
"11-Aug-2025","EQ","529.00","531.05","515.80","528.05","520.70","520.95","521.02","885.00","460.30","5,51,653","28,74,21,164.75","34,914"
"08-Aug-2025","EQ","520.70","534.35","517.50","519.60","528.80","528.05","527.96","885.00","460.30","8,57,686","45,28,21,823.55","42,398"
"07-Aug-2025","EQ","529.35","530.00","512.00","529.35","521.40","519.60","518.27","885.00","460.30","11,34,372","58,79,08,653.05","40,395"
"06-Aug-2025","EQ","535.00","542.00","515.40","532.85","532.50","529.35","529.98","885.00","460.30","19,49,083","1,03,29,76,408.00","80,900"
"05-Aug-2025","EQ","540.00","560.00","529.00","590.35","538.50","532.85","545.46","885.00","460.30","52,92,004","2,88,65,50,581.50","1,50,599"
"04-Aug-2025","EQ","588.90","596.90","583.85","587.85","594.50","590.35","590.14","885.00","460.30","5,99,803","35,39,67,521.95","36,177"
"01-Aug-2025","EQ","598.95","606.00","584.35","599.30","588.60","587.85","594.70","885.00","460.30","4,42,063","26,28,93,375.20","22,277"
"31-Jul-2025","EQ","601.90","604.30","593.10","609.70","600.40","599.30","599.99","885.00","460.30","3,15,045","18,90,25,349.90","29,261"
"30-Jul-2025","EQ","608.60","615.60","605.05","606.20","608.30","609.70","609.89","885.00","460.30","2,53,448","15,45,74,928.65","18,423"
"29-Jul-2025","EQ","607.70","611.30","597.40","613.00","608.50","606.20","604.49","885.00","460.30","4,81,960","29,13,40,055.75","28,148"
"28-Jul-2025","EQ","614.90","619.50","607.05","616.00","612.00","613.00","613.85","885.00","460.30","5,61,772","34,48,42,703.05","26,451"
"25-Jul-2025","EQ","623.00","623.55","607.00","624.35","617.25","616.00","613.63","885.00","460.30","5,80,670","35,63,14,923.55","27,453"
"24-Jul-2025","EQ","629.00","635.30","622.10","629.00","624.60","624.35","627.77","885.00","460.30","4,18,772","26,28,92,658.40","18,680"
"23-Jul-2025","EQ","661.00","661.90","625.50","660.40","628.05","629.00","638.04","885.00","460.30","12,99,141","82,89,07,113.90","51,932"
"22-Jul-2025","EQ","667.00","672.80","655.20","665.65","660.00","660.40","663.89","885.00","460.30","4,79,788","31,85,24,364.05","22,878"
"21-Jul-2025","EQ","671.10","671.95","660.05","667.75","665.80","665.65","665.44","885.00","460.30","4,31,304","28,70,08,398.65","25,326"
"18-Jul-2025","EQ","651.95","675.20","650.45","651.15","668.00","667.75","667.09","885.00","460.30","23,77,757","1,58,61,89,198.00","65,171"
"17-Jul-2025","EQ","651.00","659.90","648.05","651.90","650.00","651.15","653.46","885.00","460.30","3,43,321","22,43,47,379.20","15,919"
"16-Jul-2025","EQ","660.00","670.00","650.00","660.80","650.35","651.90","657.55","885.00","460.30","8,52,401","56,04,94,204.55","30,986"
"15-Jul-2025","EQ","650.00","666.20","650.00","649.00","660.00","660.80","660.42","885.00","460.30","10,26,049","67,76,26,649.90","55,058"
"14-Jul-2025","EQ","642.00","652.40","639.00","643.80","652.00","649.00","645.86","885.00","460.30","5,41,862","34,99,66,339.80","26,364"
"11-Jul-2025","EQ","648.00","654.00","637.25","647.35","642.00","643.80","643.75","885.00","460.30","14,29,829","92,04,47,200.15","47,000"
"10-Jul-2025","EQ","647.30","651.45","642.40","643.25","646.00","647.35","646.38","885.00","460.30","5,75,408","37,19,29,497.15","30,148"
"09-Jul-2025","EQ","641.00","653.00","639.05","640.05","643.00","643.25","647.53","885.00","460.30","8,44,381","54,67,62,278.35","39,099"
"08-Jul-2025","EQ","637.20","657.15","635.50","637.15","639.10","640.05","643.74","885.00","460.30","10,96,462","70,58,32,459.90","43,187"
"07-Jul-2025","EQ","648.00","659.50","632.10","645.65","637.00","637.15","648.58","885.00","460.30","17,09,765","1,10,89,14,107.35","45,593"
"04-Jul-2025","EQ","642.00","649.90","628.55","637.05","645.60","645.65","641.51","885.00","460.30","21,88,053","1,40,36,49,273.60","51,835"
"03-Jul-2025","EQ","622.85","640.00","616.50","619.25","639.45","637.05","631.86","885.00","460.30","17,06,467","1,07,82,46,934.55","41,625"
"02-Jul-2025","EQ","609.00","626.40","602.45","606.00","619.00","619.25","617.82","885.00","460.30","22,37,137","1,38,21,51,799.30","56,809"
"01-Jul-2025","EQ","614.80","616.05","603.25","612.45","608.50","606.00","608.83","885.00","460.30","6,74,863","41,08,79,463.55","20,901"
"30-Jun-2025","EQ","611.95","614.30","605.50","606.70","612.30","612.45","610.79","885.00","460.30","6,32,801","38,65,10,293.95","20,718"
"27-Jun-2025","EQ","610.05","639.00","604.50","608.30","607.95","606.70","625.41","885.00","460.30","50,34,127","3,14,83,84,089.60","1,13,593"
"26-Jun-2025","EQ","612.95","618.80","606.35","611.95","609.80","608.30","610.31","885.00","460.30","7,07,242","43,16,38,904.65","22,996"
"25-Jun-2025","EQ","609.95","615.00","605.00","606.80","612.00","611.95","610.59","885.00","460.30","5,72,553","34,95,96,889.95","17,798"
