ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","340.15","343.20","332.70","340.15","333.55","334.85","335.54","536.00","313.10","2,72,647","9,14,84,667.50","10,263"
"12-Aug-2025","EQ","333.00","343.20","333.00","335.10","341.00","340.15","338.78","536.00","313.10","1,96,050","6,64,16,931.15","8,194"
"11-Aug-2025","EQ","338.40","339.75","331.60","337.00","335.00","335.10","335.04","536.00","313.10","1,41,582","4,74,36,235.05","8,685"
"08-Aug-2025","EQ","331.25","340.50","329.30","330.60","335.65","337.00","336.84","536.00","313.10","2,46,275","8,29,55,075.65","7,776"
"07-Aug-2025","EQ","334.95","336.30","329.45","336.55","331.30","330.60","331.16","536.00","313.10","4,21,839","13,96,95,732.55","15,398"
"06-Aug-2025","EQ","340.00","341.00","334.05","340.40","334.45","336.55","336.68","536.00","313.10","2,01,863","6,79,62,828.55","6,285"
"05-Aug-2025","EQ","346.00","346.30","338.15","345.15","339.55","340.40","340.42","536.00","313.10","4,01,644","13,67,26,708.20","9,749"
"04-Aug-2025","EQ","342.00","346.90","336.50","340.80","346.30","345.15","341.39","536.00","313.10","2,32,019","7,92,08,034.05","7,601"
"01-Aug-2025","EQ","344.00","346.75","339.40","343.85","340.50","340.80","341.23","536.00","313.10","1,92,694","6,57,53,389.30","6,505"
"31-Jul-2025","EQ","339.05","346.00","336.00","343.55","342.50","343.85","342.02","536.00","313.10","3,65,707","12,50,78,877.25","11,565"
"30-Jul-2025","EQ","360.00","360.00","338.35","367.50","345.45","343.55","346.27","536.00","313.10","21,32,657","73,84,80,631.30","49,581"
"29-Jul-2025","EQ","360.00","369.00","360.00","361.20","368.05","367.50","364.60","536.00","313.10","1,80,892","6,59,53,286.80","8,363"
"28-Jul-2025","EQ","366.90","367.70","358.80","366.60","360.20","361.20","361.84","536.00","313.10","2,72,042","9,84,35,468.85","10,201"
