ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"16-Jun-2025","EQ","72.40","72.45","66.94","71.60","71.82","71.81","69.88","111.40","50.10","2,58,65,331","1,80,75,72,833.43","85,838"
"13-Jun-2025","EQ","74.55","74.75","69.00","76.90","72.05","71.60","73.00","111.40","50.10","2,11,43,722","1,54,35,72,648.00","66,847"
"12-Jun-2025","EQ","75.85","79.69","75.52","75.85","76.60","76.90","77.62","111.40","50.10","5,00,50,397","3,88,47,80,139.62","1,35,710"
"11-Jun-2025","EQ","72.00","81.12","71.49","71.49","75.10","75.85","78.72","111.40","50.10","14,11,51,495","11,11,12,53,140.93","3,66,928"
"10-Jun-2025","EQ","71.86","72.75","71.25","71.84","71.40","71.49","71.77","111.40","50.10","43,08,041","30,91,97,415.71","21,902"
"09-Jun-2025","EQ","71.40","72.37","71.08","71.12","72.00","71.84","71.69","111.40","50.10","32,67,175","23,42,14,599.37","17,711"
"06-Jun-2025","EQ","71.90","72.42","70.83","72.33","71.15","71.12","71.50","111.40","50.10","35,50,113","25,38,29,925.67","19,289"
"05-Jun-2025","EQ","72.80","74.75","71.85","72.41","72.20","72.33","73.30","111.40","50.10","76,33,396","55,95,35,044.87","32,735"
"04-Jun-2025","EQ","72.79","73.80","70.80","72.48","72.45","72.41","72.32","111.40","50.10","95,67,996","69,19,69,261.72","41,323"
"03-Jun-2025","EQ","73.88","74.19","72.00","73.51","72.16","72.48","72.93","111.40","50.10","60,24,238","43,93,19,783.16","22,801"
"02-Jun-2025","EQ","72.01","76.40","71.76","72.91","72.98","73.51","74.19","111.40","50.10","1,60,61,184","1,19,15,38,972.25","62,267"
"30-May-2025","EQ","74.75","75.25","72.22","74.20","72.69","72.91","73.89","111.40","50.10","80,19,197","59,25,42,956.80","31,127"
"29-May-2025","EQ","75.08","75.26","73.01","74.36","74.21","74.20","73.96","111.40","50.10","1,09,64,204","81,09,00,533.29","40,466"
"28-May-2025","EQ","75.10","76.48","74.01","75.01","74.29","74.36","75.00","111.40","50.10","1,25,79,941","94,34,51,705.61","38,776"
"27-May-2025","EQ","74.50","76.90","74.28","74.87","74.66","75.01","75.53","111.40","50.10","2,48,49,963","1,87,70,26,912.13","72,418"
"26-May-2025","EQ","76.19","78.50","74.00","76.72","74.55","74.87","75.81","111.40","50.10","3,20,73,876","2,43,13,73,844.85","94,698"
"23-May-2025","EQ","75.75","80.50","73.35","76.68","76.20","76.72","77.53","111.40","50.10","11,91,45,009","9,23,70,39,020.69","3,16,245"
"22-May-2025","EQ","69.09","79.49","68.80","69.09","74.50","76.68","76.42","111.40","50.10","27,26,89,572","20,83,98,09,301.74","6,73,960"
"21-May-2025","EQ","58.22","69.87","57.96","58.23","69.87","69.09","65.76","111.40","50.10","10,59,05,634","6,96,46,45,912.95","2,73,347"
"20-May-2025","EQ","60.38","60.59","58.01","60.27","58.35","58.23","58.97","111.40","50.10","27,88,754","16,44,52,350.59","23,583"
"19-May-2025","EQ","61.01","61.69","59.88","60.62","60.57","60.27","60.93","111.40","50.10","36,71,049","22,36,94,721.43","22,639"
"16-May-2025","EQ","59.40","61.30","59.02","59.31","60.70","60.62","60.33","111.40","50.10","54,20,147","32,69,71,028.35","25,763"
"15-May-2025","EQ","59.10","59.65","58.86","58.65","59.40","59.31","59.20","111.40","50.10","21,56,540","12,76,75,338.25","12,927"
"14-May-2025","EQ","57.90","59.95","57.32","57.50","58.78","58.65","58.67","111.40","50.10","40,07,493","23,51,11,106.91","23,908"
"13-May-2025","EQ","57.56","57.80","56.80","57.30","57.58","57.50","57.38","111.40","50.10","17,95,137","10,30,01,743.50","14,147"
"12-May-2025","EQ","56.00","57.50","55.76","53.92","57.35","57.30","56.87","111.40","50.10","23,88,713","13,58,47,303.74","18,619"
"09-May-2025","EQ","54.00","54.90","52.00","54.91","54.30","53.92","53.18","111.40","50.10","25,97,959","13,81,65,015.86","21,989"
"08-May-2025","EQ","55.61","56.84","54.50","55.61","54.80","54.91","55.83","111.40","50.10","15,56,758","8,69,13,676.10","13,485"
"07-May-2025","EQ","54.88","55.89","54.55","56.00","55.85","55.61","55.29","111.40","50.10","22,06,583","12,20,06,002.62","17,952"
"06-May-2025","EQ","57.50","57.77","55.50","57.80","55.85","56.00","56.41","111.40","50.10","18,20,554","10,27,01,282.25","13,295"
"05-May-2025","EQ","55.68","58.41","55.29","55.68","57.91","57.80","57.33","111.40","50.10","51,18,876","29,34,71,385.94","27,482"
"02-May-2025","EQ","56.50","57.42","55.25","56.82","55.90","55.68","56.18","111.40","50.10","25,67,039","14,42,14,421.23","20,223"
"30-Apr-2025","EQ","58.40","58.72","56.50","58.37","56.64","56.82","57.32","111.40","50.10","21,26,880","12,19,07,867.46","18,938"
"29-Apr-2025","EQ","58.00","59.70","58.00","58.31","58.40","58.37","58.68","111.40","50.10","16,99,611","9,97,36,530.29","12,775"
"28-Apr-2025","EQ","58.30","58.84","57.75","58.83","58.45","58.31","58.34","111.40","50.10","21,51,736","12,55,24,970.50","16,391"
"25-Apr-2025","EQ","60.81","61.20","58.30","61.14","58.60","58.83","59.29","111.40","50.10","32,57,002","19,31,17,675.46","26,471"
"24-Apr-2025","EQ","61.17","62.10","60.25","61.18","61.09","61.14","61.34","111.40","50.10","40,13,419","24,61,75,341.63","20,834"
"23-Apr-2025","EQ","61.95","62.10","59.89","61.30","61.20","61.18","61.07","111.40","50.10","26,44,389","16,14,89,869.09","17,459"
"22-Apr-2025","EQ","61.02","62.09","60.50","60.70","61.28","61.30","61.38","111.40","50.10","33,18,980","20,37,06,349.52","18,461"
"21-Apr-2025","EQ","60.00","60.97","59.00","59.58","60.67","60.70","60.22","111.40","50.10","31,43,939","18,93,34,225.96","21,497"
"17-Apr-2025","EQ","59.90","60.14","59.15","60.24","59.85","59.58","59.68","111.40","50.10","21,47,044","12,81,26,551.24","15,642"
"16-Apr-2025","EQ","58.72","60.55","58.37","58.46","60.20","60.24","59.97","111.40","50.10","39,29,252","23,56,38,086.81","23,487"
"15-Apr-2025","EQ","57.25","58.90","57.10","56.63","58.70","58.46","58.28","111.40","50.10","26,62,550","15,51,68,162.93","20,808"
"11-Apr-2025","EQ","57.90","57.92","55.71","55.10","56.65","56.63","56.42","111.40","50.10","28,31,709","15,97,58,552.16","21,429"
"09-Apr-2025","EQ","56.26","56.65","54.72","56.27","55.24","55.10","55.34","111.40","50.10","18,41,486","10,19,07,555.38","17,211"
"08-Apr-2025","EQ","57.05","57.05","55.40","54.47","56.40","56.27","56.03","111.40","50.10","38,46,449","21,55,05,779.07","27,380"
"07-Apr-2025","EQ","50.20","56.20","50.10","57.84","55.45","54.47","53.35","111.40","50.10","53,88,062","28,74,43,983.84","43,814"
"04-Apr-2025","EQ","59.98","60.17","57.18","59.94","58.20","57.84","58.43","111.40","54.00","37,74,074","22,05,24,566.74","33,126"
"03-Apr-2025","EQ","58.29","60.24","58.22","58.95","59.98","59.94","59.63","111.40","54.00","33,39,493","19,91,23,216.38","18,506"
"02-Apr-2025","EQ","59.60","59.90","58.16","59.63","59.00","58.95","58.96","111.40","54.00","36,83,839","21,71,89,154.15","22,746"
"01-Apr-2025","EQ","55.99","61.49","55.91","56.29","59.90","59.63","60.12","111.40","54.00","2,97,38,115","1,78,79,66,994.94","1,13,345"
"28-Mar-2025","EQ","59.00","60.00","54.60","58.42","56.20","56.29","57.88","111.40","54.00","54,48,960","31,54,03,897.73","27,622"
"27-Mar-2025","EQ","55.65","59.44","55.65","57.57","58.50","58.42","58.07","111.40","54.00","83,84,357","48,68,44,855.34","45,356"
"26-Mar-2025","EQ","59.59","60.17","57.15","59.59","57.40","57.57","58.47","111.40","54.00","46,92,519","27,43,48,308.05","31,566"
"25-Mar-2025","EQ","62.10","62.30","59.14","61.72","59.40","59.59","60.37","111.40","54.00","38,45,734","23,21,80,537.05","22,912"
"24-Mar-2025","EQ","62.16","63.05","61.50","61.56","61.60","61.72","62.08","111.40","54.00","42,22,887","26,21,59,184.64","20,655"
"21-Mar-2025","EQ","61.00","62.45","60.55","61.10","61.50","61.56","61.73","111.40","54.00","50,16,025","30,96,52,458.98","26,058"
"20-Mar-2025","EQ","61.96","62.70","60.51","61.24","60.80","61.10","61.66","111.40","54.00","37,96,690","23,40,92,619.22","17,431"
"19-Mar-2025","EQ","60.50","61.79","60.44","60.25","61.24","61.24","61.30","111.40","54.00","36,69,980","22,49,80,130.98","22,578"
