ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","28.45","28.60","28.01","28.33","28.08","28.04","28.19","53.05","26.81","51,74,013","14,58,62,112.47","14,798"
"12-Aug-2025","EQ","28.15","28.44","27.95","28.05","28.42","28.33","28.18","53.05","26.81","80,55,448","22,69,79,810.63","19,781"
"11-Aug-2025","EQ","28.15","28.32","27.85","28.00","28.13","28.05","28.02","53.05","26.81","76,36,981","21,39,61,263.77","19,421"
"08-Aug-2025","EQ","28.15","28.55","27.87","28.14","28.04","28.00","28.16","54.25","26.81","74,28,476","20,91,72,466.64","21,611"
"07-Aug-2025","EQ","28.30","28.40","27.80","28.36","28.21","28.14","28.13","54.25","26.81","72,52,298","20,39,74,233.26","21,053"
"06-Aug-2025","EQ","29.00","29.11","28.28","28.94","28.34","28.36","28.59","54.25","26.81","74,44,083","21,28,62,268.86","21,083"
"05-Aug-2025","EQ","29.01","29.35","28.81","28.99","29.00","28.94","29.06","54.25","26.81","41,76,880","12,13,59,360.71","13,244"
"04-Aug-2025","EQ","29.20","29.55","28.91","29.14","29.00","28.99","29.11","54.25","26.81","94,62,300","27,54,33,422.60","20,124"
"01-Aug-2025","EQ","29.50","29.89","29.00","29.79","29.30","29.14","29.45","60.68","26.81","52,80,228","15,55,23,177.30","18,228"
"31-Jul-2025","EQ","29.92","30.09","29.43","30.15","29.80","29.79","29.79","60.68","26.81","52,57,271","15,65,91,683.99","15,841"
"30-Jul-2025","EQ","30.30","30.63","30.07","30.21","30.08","30.15","30.23","60.68","26.81","33,50,582","10,12,99,557.21","10,579"
"29-Jul-2025","EQ","30.00","30.30","29.72","30.14","30.24","30.21","30.04","60.68","26.81","52,11,365","15,65,50,503.50","15,179"
"28-Jul-2025","EQ","30.35","30.46","29.90","30.36","30.27","30.14","30.15","60.68","26.81","57,61,793","17,37,46,390.88","17,959"
"25-Jul-2025","EQ","30.90","30.94","30.29","30.90","30.42","30.36","30.52","60.68","26.81","66,09,424","20,17,33,556.52","16,650"
"24-Jul-2025","EQ","31.00","31.20","30.80","30.96","30.96","30.90","30.98","60.68","26.81","52,15,659","16,15,64,701.23","12,867"
"23-Jul-2025","EQ","31.67","31.71","30.85","31.64","31.00","30.96","31.08","60.68","26.81","83,67,309","26,00,14,950.17","18,243"
"22-Jul-2025","EQ","31.98","32.05","31.45","31.74","31.53","31.64","31.76","60.68","26.81","68,09,883","21,62,65,116.58","16,140"
"21-Jul-2025","EQ","32.29","32.40","31.65","32.13","31.79","31.74","31.90","60.68","26.81","1,29,64,075","41,35,09,697.75","27,939"
"18-Jul-2025","EQ","32.48","32.52","31.95","32.37","32.17","32.13","32.16","60.68","26.81","58,13,348","18,69,47,872.55","12,359"
"17-Jul-2025","EQ","32.75","32.85","32.31","32.56","32.38","32.37","32.51","60.68","26.81","58,70,519","19,08,36,846.12","12,960"
"16-Jul-2025","EQ","32.14","33.19","32.14","31.97","32.57","32.56","32.65","60.68","26.81","1,58,39,640","51,71,81,511.48","24,457"
