ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","136.00","136.94","134.81","135.54","135.93","135.69","135.76","158.65","100.81","63,76,913","86,57,36,422.80","32,625"
"12-Aug-2025","EQ","135.45","137.00","134.96","134.78","135.45","135.54","135.86","158.65","100.81","85,79,446","1,16,55,74,200.86","40,616"
"11-Aug-2025","EQ","131.00","134.96","130.98","130.98","134.80","134.78","133.57","158.65","100.81","1,02,31,895","1,36,67,07,790.88","39,781"
"08-Aug-2025","EQ","132.00","132.55","130.50","132.45","130.91","130.98","131.33","158.65","100.81","62,49,295","82,07,30,963.26","33,180"
"07-Aug-2025","EQ","130.00","132.80","129.64","131.02","132.71","132.45","131.19","158.65","100.81","1,21,84,697","1,59,85,28,048.46","56,621"
"06-Aug-2025","EQ","128.15","131.63","127.81","127.98","131.05","131.02","130.18","158.65","100.81","1,19,85,730","1,56,03,48,826.42","53,525"
"05-Aug-2025","EQ","128.90","129.87","127.18","129.04","128.15","127.98","128.28","158.65","100.81","1,44,49,850","1,85,36,81,389.26","64,080"
"04-Aug-2025","EQ","128.62","129.43","127.14","128.10","129.23","129.04","128.47","158.65","100.81","1,20,83,279","1,55,23,79,103.14","43,544"
"01-Aug-2025","EQ","130.96","131.45","127.80","130.96","128.46","128.10","129.36","158.65","100.81","97,84,214","1,26,56,79,480.58","49,519"
"31-Jul-2025","EQ","129.00","132.60","128.00","130.76","131.10","130.96","130.61","158.65","100.81","1,31,35,375","1,71,56,67,910.24","49,064"
"30-Jul-2025","EQ","132.82","133.89","130.55","132.73","130.72","130.76","131.81","158.65","100.81","1,05,61,917","1,39,21,76,482.02","54,351"
"29-Jul-2025","EQ","132.34","133.69","130.93","133.44","133.04","132.73","132.35","158.65","100.81","1,57,36,006","2,08,27,23,746.10","63,182"
"28-Jul-2025","EQ","136.00","137.05","133.10","136.22","133.50","133.44","135.06","158.65","100.81","1,35,46,810","1,82,96,78,453.52","57,762"
"25-Jul-2025","EQ","139.80","141.85","135.95","144.97","136.25","136.22","138.21","158.65","100.81","1,58,40,295","2,18,93,62,637.54","75,238"
"24-Jul-2025","EQ","144.75","145.45","142.63","143.38","145.45","144.97","144.03","158.65","100.81","1,22,70,864","1,76,73,11,489.46","44,655"
"23-Jul-2025","EQ","143.65","144.10","141.60","142.93","143.71","143.38","142.84","158.65","100.81","1,02,70,092","1,46,69,41,928.50","40,158"
"22-Jul-2025","EQ","144.45","145.45","142.60","142.64","142.85","142.93","143.66","158.65","100.81","1,28,75,505","1,84,97,50,815.07","54,377"
"21-Jul-2025","EQ","145.50","145.73","141.00","146.46","142.99","142.64","142.63","158.65","100.81","2,16,70,211","3,09,08,47,158.48","84,503"
"18-Jul-2025","EQ","146.80","148.60","145.32","146.31","146.50","146.46","146.55","158.65","100.81","1,23,37,028","1,80,79,63,271.29","48,436"
"17-Jul-2025","EQ","148.70","148.89","144.85","148.34","146.34","146.31","145.97","158.65","100.81","1,55,81,196","2,27,43,70,297.97","67,758"
"16-Jul-2025","EQ","146.95","149.60","146.12","146.23","148.06","148.34","148.00","158.65","100.81","1,39,96,500","2,07,14,93,485.58","55,100"
"15-Jul-2025","EQ","147.01","147.98","145.72","147.01","146.50","146.23","146.82","158.65","100.81","90,51,503","1,32,89,32,840.78","53,505"
"14-Jul-2025","EQ","143.82","147.43","143.82","143.74","146.99","147.01","146.39","158.65","100.81","1,69,65,783","2,48,35,81,320.96","96,042"
"11-Jul-2025","EQ","143.86","145.86","142.90","143.86","143.70","143.74","144.21","158.65","100.81","92,03,997","1,32,72,64,162.22","45,207"
"10-Jul-2025","EQ","145.00","145.59","143.28","144.59","143.97","143.86","144.41","158.65","100.81","78,44,092","1,13,27,76,288.85","36,267"
"09-Jul-2025","EQ","147.85","147.85","141.54","150.25","144.70","144.59","144.03","158.65","100.81","3,03,48,078","4,37,08,92,246.14","1,35,817"
"08-Jul-2025","EQ","151.65","153.43","148.91","152.17","150.44","150.25","150.65","158.65","100.81","92,62,309","1,39,53,67,808.67","54,526"
"07-Jul-2025","EQ","152.53","154.59","151.45","153.09","152.05","152.17","152.63","158.65","100.81","73,50,311","1,12,18,74,023.60","41,273"
"04-Jul-2025","EQ","151.97","153.70","151.36","151.59","152.82","153.09","152.72","158.65","100.81","90,90,399","1,38,82,83,711.27","60,146"
"03-Jul-2025","EQ","153.40","154.40","150.36","153.39","151.54","151.59","151.84","158.65","100.81","71,83,438","1,09,07,34,419.88","45,686"
"02-Jul-2025","EQ","154.64","155.90","152.05","154.64","153.50","153.39","154.01","158.65","100.81","82,56,586","1,27,16,31,450.58","48,705"
"01-Jul-2025","EQ","153.41","155.40","150.65","153.60","154.75","154.64","153.07","158.65","100.81","1,60,61,426","2,45,85,11,774.98","78,264"
"30-Jun-2025","EQ","149.94","155.00","149.51","149.06","153.40","153.60","153.69","158.65","100.81","2,14,23,582","3,29,26,51,664.22","1,01,298"
"27-Jun-2025","EQ","148.50","151.90","147.64","148.12","149.90","149.06","150.18","158.65","100.81","1,49,26,048","2,24,15,27,266.82","67,304"
"26-Jun-2025","EQ","145.80","148.50","144.26","144.30","148.00","148.12","146.54","158.65","100.81","1,01,13,786","1,48,20,99,370.07","58,113"
"25-Jun-2025","EQ","146.50","147.30","143.92","147.09","144.59","144.30","145.10","158.65","100.81","1,00,13,520","1,45,29,62,605.15","58,613"
"24-Jun-2025","EQ","145.00","148.78","144.94","142.84","146.50","147.09","147.19","158.65","100.81","1,34,83,665","1,98,46,04,602.81","77,247"
"23-Jun-2025","EQ","141.50","144.36","141.50","143.48","143.24","142.84","143.09","158.65","100.81","57,31,153","82,00,79,723.40","37,873"
"20-Jun-2025","EQ","139.55","145.30","139.55","139.68","142.99","143.48","143.12","158.65","100.81","1,40,71,542","2,01,39,02,302.40","70,668"
"19-Jun-2025","EQ","143.20","143.89","138.32","144.12","139.30","139.68","140.39","158.65","100.81","1,11,49,993","1,56,53,94,386.65","55,489"
"18-Jun-2025","EQ","144.96","145.95","143.33","144.96","144.02","144.12","144.57","158.65","100.81","68,55,826","99,11,44,951.21","45,965"
"17-Jun-2025","EQ","147.11","148.42","144.50","146.97","144.67","144.96","146.07","158.65","100.81","60,45,765","88,31,24,767.26","31,803"
"16-Jun-2025","EQ","146.24","147.21","143.32","146.24","147.11","146.97","145.99","158.65","100.81","79,16,581","1,15,57,67,471.25","43,818"
"13-Jun-2025","EQ","145.00","148.61","145.00","150.50","146.59","146.24","146.76","158.65","100.81","83,19,533","1,22,09,82,167.39","42,721"
