ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,088.90","1,094.80","1,065.70","1,084.10","1,072.00","1,069.40","1,075.40","1,255.00","767.60","3,17,529","34,14,70,116.30","20,537"
"11-Aug-2025","EQ","1,081.90","1,094.50","1,069.60","1,084.00","1,082.90","1,084.10","1,082.06","1,255.00","767.60","4,02,046","43,50,37,902.60","20,266"
"08-Aug-2025","EQ","1,107.90","1,111.10","1,080.10","1,107.10","1,081.90","1,084.00","1,096.21","1,255.00","767.60","6,51,089","71,37,27,672.80","23,858"
"07-Aug-2025","EQ","1,087.90","1,121.90","1,076.40","1,086.40","1,107.70","1,107.10","1,108.45","1,255.00","767.60","18,43,948","2,04,39,31,654.30","68,588"
"06-Aug-2025","EQ","1,103.00","1,123.40","1,069.00","1,103.10","1,083.80","1,086.40","1,098.47","1,255.00","767.60","28,73,180","3,15,61,01,342.20","1,43,220"
"05-Aug-2025","EQ","1,066.20","1,110.00","1,053.40","1,062.10","1,104.00","1,103.10","1,096.68","1,255.00","767.60","21,53,345","2,36,15,40,911.30","60,661"
"04-Aug-2025","EQ","1,040.10","1,066.20","1,040.10","1,043.90","1,062.00","1,062.10","1,051.92","1,255.00","767.60","2,43,695","25,63,47,879.90","21,714"
"01-Aug-2025","EQ","1,040.00","1,061.40","1,025.00","1,041.40","1,040.80","1,043.90","1,048.15","1,255.00","767.60","4,92,307","51,60,13,590.30","35,268"
"31-Jul-2025","EQ","1,056.00","1,059.20","1,036.10","1,069.80","1,040.40","1,041.40","1,048.79","1,255.00","767.60","4,13,690","43,38,73,448.40","28,049"
"30-Jul-2025","EQ","1,071.40","1,074.10","1,052.90","1,072.40","1,068.20","1,069.80","1,067.09","1,255.00","767.60","2,76,608","29,51,64,767.30","17,016"
"29-Jul-2025","EQ","1,065.00","1,075.90","1,042.30","1,065.10","1,075.00","1,072.40","1,059.94","1,255.00","767.60","4,51,658","47,87,30,468.80","40,124"
"28-Jul-2025","EQ","1,085.10","1,085.10","1,051.10","1,085.10","1,066.00","1,065.10","1,065.76","1,255.00","767.60","4,50,798","48,04,43,930.80","34,338"
