ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","348.90","352.50","337.35","350.20","346.65","347.65","345.60","451.00","278.55","5,06,303","17,49,76,483.10","18,271"
"12-Aug-2025","EQ","342.00","355.90","339.80","339.50","349.00","350.20","349.79","451.00","278.55","5,10,763","17,86,59,230.75","20,905"
"11-Aug-2025","EQ","337.95","343.45","333.60","340.30","340.05","339.50","338.34","451.00","278.55","6,62,069","22,40,07,683.15","35,023"
"08-Aug-2025","EQ","350.85","353.40","337.80","350.85","339.65","340.30","344.65","451.00","278.55","1,25,090","4,31,12,526.10","6,984"
"07-Aug-2025","EQ","357.85","358.70","345.55","357.65","350.20","350.85","350.14","451.00","278.55","2,55,125","8,93,29,810.90","10,078"
"06-Aug-2025","EQ","367.90","372.90","356.00","366.50","359.25","357.65","359.96","451.00","278.55","4,43,912","15,97,92,048.15","19,933"
"05-Aug-2025","EQ","367.00","376.80","364.40","367.35","368.95","366.50","369.33","451.00","278.55","2,23,179","8,24,26,799.00","9,351"
"04-Aug-2025","EQ","368.15","370.10","363.10","368.15","368.00","367.35","367.10","451.00","278.55","1,49,966","5,50,52,238.95","8,720"
"01-Aug-2025","EQ","377.65","379.80","365.00","377.65","366.00","368.15","370.34","451.00","278.55","2,12,452","7,86,79,615.15","6,885"
"31-Jul-2025","EQ","373.00","383.80","369.95","378.10","376.40","377.65","380.02","451.00","278.55","3,33,216","12,66,29,612.90","14,623"
"30-Jul-2025","EQ","381.50","388.70","376.70","378.50","377.40","378.10","382.65","451.00","278.55","3,69,788","14,14,99,036.00","13,014"
"29-Jul-2025","EQ","365.95","383.00","364.55","365.00","379.70","378.50","378.76","451.00","278.55","10,02,949","37,98,75,421.00","27,199"
"28-Jul-2025","EQ","367.60","369.20","358.00","367.70","367.40","365.00","364.43","451.00","278.55","1,99,562","7,27,26,949.25","8,639"
"25-Jul-2025","EQ","372.60","377.05","366.10","375.95","366.10","367.70","370.50","451.00","278.55","2,34,926","8,70,39,374.45","8,631"
"24-Jul-2025","EQ","379.20","382.90","375.25","381.10","376.80","375.95","377.91","451.00","278.55","1,27,436","4,81,59,166.45","6,256"
