ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","525.00","525.00","508.00","519.65","511.15","510.50","515.13","649.00","374.10","82,738","4,26,20,816.50","6,720"
"12-Aug-2025","EQ","520.20","521.95","515.90","522.35","520.65","519.65","519.53","649.00","374.10","87,399","4,54,06,508.45","4,540"
"11-Aug-2025","EQ","510.55","525.00","501.45","510.95","522.35","522.35","515.46","649.00","374.10","1,97,541","10,18,25,336.20","15,696"
"08-Aug-2025","EQ","558.50","568.95","505.80","554.05","509.90","510.95","533.04","649.00","374.10","4,52,036","24,09,54,258.35","24,890"
"07-Aug-2025","EQ","527.80","579.90","513.45","528.30","558.95","554.05","549.45","649.00","374.10","11,24,676","61,79,48,891.40","42,550"
"06-Aug-2025","EQ","540.00","542.00","525.25","540.55","526.35","528.30","534.13","649.00","374.10","1,76,590","9,43,21,167.70","10,664"
"05-Aug-2025","EQ","516.50","545.00","516.50","516.00","540.15","540.55","534.69","649.00","374.10","2,30,380","12,31,81,045.70","18,256"
"04-Aug-2025","EQ","526.10","527.60","514.05","523.40","518.95","516.00","519.55","649.00","374.10","1,10,113","5,72,09,133.50","7,555"
"01-Aug-2025","EQ","535.00","545.65","521.20","536.95","523.00","523.40","534.15","655.90","374.10","98,743","5,27,43,558.70","8,947"
"31-Jul-2025","EQ","536.00","548.10","529.25","536.25","536.00","536.95","541.19","655.90","374.10","1,05,688","5,71,97,701.80","8,505"
"30-Jul-2025","EQ","535.90","538.90","526.60","534.85","538.30","536.25","530.59","655.90","374.10","2,23,677","11,86,81,102.00","7,517"
"29-Jul-2025","EQ","524.00","537.90","522.05","524.90","536.95","534.85","531.55","655.90","374.10","71,550","3,80,32,437.40","5,498"
"28-Jul-2025","EQ","538.00","544.00","523.05","538.40","525.00","524.90","531.78","655.90","374.10","77,237","4,10,72,903.40","7,383"
"25-Jul-2025","EQ","551.00","553.25","535.00","548.00","538.20","538.40","542.07","655.90","374.10","70,250","3,80,80,676.90","5,720"
"24-Jul-2025","EQ","554.00","558.40","545.10","554.35","549.05","548.00","551.71","655.90","374.10","92,488","5,10,26,556.85","5,658"
"23-Jul-2025","EQ","549.00","556.05","544.10","550.85","554.00","554.35","550.54","655.90","374.10","80,708","4,44,32,642.15","6,027"
"22-Jul-2025","EQ","555.65","559.00","548.20","554.30","550.00","550.85","553.09","655.90","374.10","62,207","3,44,06,057.35","4,076"
"21-Jul-2025","EQ","564.85","564.85","550.25","559.25","553.00","554.30","554.18","655.90","374.10","78,945","4,37,49,366.45","6,388"
"18-Jul-2025","EQ","571.45","572.90","557.40","570.35","559.00","559.25","563.18","704.80","374.10","53,093","2,99,01,082.50","4,770"
"17-Jul-2025","EQ","569.75","574.05","565.70","567.30","567.60","570.35","570.59","704.80","374.10","93,797","5,35,20,071.65","5,099"
"16-Jul-2025","EQ","568.40","576.10","561.15","571.30","566.30","567.30","567.43","704.80","374.10","1,26,678","7,18,80,962.70","8,316"
"15-Jul-2025","EQ","558.00","578.00","557.40","551.45","572.95","571.30","569.42","704.80","374.10","6,25,649","35,62,55,063.75","27,091"
"14-Jul-2025","EQ","567.90","567.90","549.25","561.00","551.00","551.45","554.35","704.80","374.10","82,923","4,59,68,302.75","6,277"
"11-Jul-2025","EQ","567.50","569.95","557.20","565.95","565.00","561.00","561.74","704.80","374.10","1,05,066","5,90,19,618.10","7,799"
"10-Jul-2025","EQ","558.95","577.35","558.95","558.70","567.50","565.95","570.03","704.80","374.10","3,01,922","17,21,03,395.60","17,624"
"09-Jul-2025","EQ","555.00","561.95","546.00","557.30","561.15","558.70","551.65","704.80","374.10","4,99,845","27,57,37,786.20","18,462"
"08-Jul-2025","EQ","570.20","570.20","554.00","570.40","557.30","557.30","558.75","704.80","374.10","1,11,252","6,21,62,405.85","11,513"
"07-Jul-2025","EQ","568.50","573.00","553.65","568.60","572.20","570.40","565.84","704.80","374.10","1,24,913","7,06,80,894.10","7,962"
"04-Jul-2025","EQ","563.10","570.40","557.65","564.80","566.00","568.60","567.15","704.80","374.10","84,630","4,79,98,195.20","5,602"
"03-Jul-2025","EQ","568.80","576.90","563.20","567.00","564.50","564.80","569.46","704.80","374.10","1,01,687","5,79,06,407.90","6,489"
"02-Jul-2025","EQ","572.35","573.20","561.85","570.05","568.15","567.00","566.84","704.80","374.10","1,04,027","5,89,67,104.00","6,955"
"01-Jul-2025","EQ","569.75","578.80","567.95","567.65","570.10","570.05","572.09","704.80","374.10","2,17,456","12,44,05,452.30","11,462"
"30-Jun-2025","EQ","572.70","576.90","563.00","571.00","569.80","567.65","569.34","704.80","374.10","1,33,159","7,58,13,145.35","8,790"
"27-Jun-2025","EQ","582.00","588.90","567.85","580.85","568.15","571.00","576.46","704.80","374.10","2,03,893","11,75,36,300.85","10,008"
"26-Jun-2025","EQ","574.95","584.90","568.00","572.90","580.35","580.85","577.87","704.80","374.10","3,98,782","23,04,43,631.60","15,986"
"25-Jun-2025","EQ","549.45","577.00","546.85","545.00","572.00","572.90","568.53","704.80","374.10","3,92,092","22,29,15,406.50","16,662"
"24-Jun-2025","EQ","548.45","552.95","543.00","544.95","544.15","545.00","547.96","704.80","374.10","1,16,744","6,39,71,144.70","6,598"
"23-Jun-2025","EQ","562.00","562.95","542.60","563.90","542.90","544.95","549.32","704.80","374.10","1,34,709","7,39,98,142.20","8,395"
"20-Jun-2025","EQ","549.00","570.00","545.05","548.25","563.15","563.90","560.31","707.80","374.10","2,59,461","14,53,77,403.80","10,965"
"19-Jun-2025","EQ","560.00","565.70","538.70","556.50","548.25","548.25","552.09","707.80","374.10","1,71,542","9,47,07,157.35","10,349"
"18-Jun-2025","EQ","549.00","575.75","547.65","550.00","558.00","556.50","562.40","707.80","374.10","4,88,313","27,46,28,124.70","19,969"
