ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","435.80","445.30","435.10","433.25","438.50","438.75","440.61","526.95","363.00","59,25,324","2,61,07,53,296.45","55,078"
"12-Aug-2025","EQ","430.00","437.20","429.05","430.10","433.50","433.25","434.03","526.95","363.00","49,15,393","2,13,34,34,265.95","52,292"
"11-Aug-2025","EQ","432.00","434.75","426.65","431.45","429.80","430.10","430.11","526.95","363.00","51,48,588","2,21,44,62,151.65","58,480"
"08-Aug-2025","EQ","437.80","439.90","430.40","437.80","430.50","431.45","434.06","526.95","363.00","23,96,484","1,04,02,11,005.85","38,864"
"07-Aug-2025","EQ","437.50","439.65","430.00","440.55","438.00","437.80","435.45","526.95","363.00","41,03,120","1,78,67,20,376.40","67,434"
"06-Aug-2025","EQ","439.90","442.55","437.45","438.45","440.05","440.55","440.01","526.95","363.00","40,42,034","1,77,85,30,957.25","62,624"
"05-Aug-2025","EQ","432.40","439.10","430.70","431.45","438.00","438.45","436.44","526.95","363.00","57,03,172","2,48,91,11,055.80","62,789"
"04-Aug-2025","EQ","424.40","433.35","422.20","424.45","431.10","431.45","429.22","526.95","363.00","36,35,372","1,56,03,73,117.85","50,161"
"01-Aug-2025","EQ","425.10","431.00","422.35","425.65","424.05","424.45","426.48","526.95","363.00","42,91,007","1,83,00,21,623.75","64,283"
"31-Jul-2025","EQ","429.00","434.40","424.00","434.60","424.65","425.65","428.45","526.95","363.00","77,62,131","3,32,56,61,978.30","1,02,469"
"30-Jul-2025","EQ","440.50","440.70","433.60","439.50","434.40","434.60","435.98","526.95","363.00","29,45,839","1,28,43,16,743.70","44,424"
"29-Jul-2025","EQ","437.05","441.50","433.40","437.95","440.00","439.50","437.84","526.95","363.00","30,34,968","1,32,88,29,566.70","40,147"
"28-Jul-2025","EQ","443.50","443.70","434.75","443.55","437.50","437.95","438.30","526.95","363.00","38,37,524","1,68,19,93,801.25","56,613"
"25-Jul-2025","EQ","450.00","450.90","442.55","451.35","443.50","443.55","445.39","526.95","363.00","24,81,198","1,10,51,03,515.30","37,558"
"24-Jul-2025","EQ","455.00","457.35","448.15","455.65","451.75","451.35","452.35","526.95","363.00","48,46,149","2,19,21,52,842.75","39,142"
"23-Jul-2025","EQ","450.85","457.10","450.50","450.60","455.00","455.65","453.79","526.95","363.00","30,49,686","1,38,39,16,199.05","37,745"
"22-Jul-2025","EQ","453.80","456.70","450.10","453.85","450.80","450.60","453.23","526.95","363.00","28,71,620","1,30,15,18,198.40","33,673"
"21-Jul-2025","EQ","451.60","456.50","448.65","445.80","454.90","453.85","453.20","526.95","363.00","64,02,589","2,90,16,50,967.05","60,062"
"18-Jul-2025","EQ","444.35","448.80","443.55","444.35","445.40","445.80","445.99","526.95","363.00","34,19,720","1,52,51,77,248.90","38,834"
"17-Jul-2025","EQ","447.45","449.80","443.45","447.45","444.30","444.35","445.93","526.95","363.00","27,13,654","1,21,01,04,314.70","32,360"
"16-Jul-2025","EQ","450.00","450.45","444.60","450.00","447.20","447.45","447.02","526.95","363.00","35,54,230","1,58,87,94,418.05","54,814"
"15-Jul-2025","EQ","450.00","451.25","445.10","448.20","449.60","450.00","448.90","526.95","363.00","54,08,813","2,42,80,24,632.15","51,882"
"14-Jul-2025","EQ","440.60","450.45","439.30","442.75","448.05","448.20","447.33","526.95","363.00","56,11,380","2,51,01,18,780.85","70,271"
"11-Jul-2025","EQ","438.00","446.25","436.55","439.20","441.60","442.75","442.83","526.95","363.00","87,41,844","3,87,11,48,278.20","84,142"
"10-Jul-2025","EQ","438.60","442.75","433.20","440.75","439.00","439.20","437.93","526.95","363.00","1,32,76,890","5,81,43,66,625.55","1,47,932"
"09-Jul-2025","EQ","461.00","461.50","420.65","456.30","441.30","440.75","438.58","526.95","363.00","3,88,12,827","17,02,24,13,758.45","3,71,342"
"08-Jul-2025","EQ","453.90","458.20","452.20","454.20","455.50","456.30","455.03","526.95","363.00","41,16,967","1,87,33,48,246.05","49,044"
"07-Jul-2025","EQ","459.00","459.65","453.00","459.05","454.20","454.20","455.15","526.95","363.00","44,98,429","2,04,74,44,919.75","67,906"
"04-Jul-2025","EQ","461.00","463.65","455.10","458.30","459.00","459.05","459.23","526.95","363.00","44,56,947","2,04,67,43,544.50","55,125"
"03-Jul-2025","EQ","468.00","472.35","457.05","469.45","458.10","458.30","464.00","526.95","363.00","1,72,68,863","8,01,27,90,786.15","1,23,727"
"02-Jul-2025","EQ","467.15","475.00","462.85","465.90","470.00","469.45","469.26","526.95","363.00","1,18,81,474","5,57,54,41,361.70","98,954"
"01-Jul-2025","EQ","462.00","470.25","456.35","460.85","467.00","465.90","463.72","526.95","363.00","1,14,55,315","5,31,20,58,514.25","98,658"
"30-Jun-2025","EQ","466.05","467.90","456.90","463.75","461.50","460.85","461.52","526.95","363.00","64,66,543","2,98,44,42,783.85","73,412"
"27-Jun-2025","EQ","459.45","471.00","459.00","455.50","464.50","463.75","464.70","526.95","363.00","2,37,76,172","11,04,87,72,582.70","1,59,565"
"26-Jun-2025","EQ","443.00","457.00","441.15","441.95","455.00","455.50","450.08","526.95","363.00","1,04,12,097","4,68,62,46,223.45","91,426"
"25-Jun-2025","EQ","447.95","447.95","439.50","445.80","441.90","441.95","442.39","526.95","363.00","63,29,973","2,80,03,10,161.75","74,362"
"24-Jun-2025","EQ","449.00","451.85","444.50","449.85","445.65","445.80","447.84","526.95","363.00","63,50,436","2,84,40,06,377.80","65,654"
"23-Jun-2025","EQ","444.00","451.45","442.05","447.10","449.55","449.85","448.46","526.95","363.00","73,10,603","3,27,85,01,192.00","79,161"
"20-Jun-2025","EQ","438.45","449.50","437.70","439.50","447.00","447.10","445.79","526.95","363.00","1,14,93,281","5,12,35,61,320.80","89,427"
"19-Jun-2025","EQ","456.50","457.35","436.80","456.50","439.85","439.50","443.17","526.95","363.00","1,25,49,420","5,56,15,88,433.60","1,50,990"
"18-Jun-2025","EQ","464.00","467.75","453.35","458.95","456.00","456.50","458.57","526.95","363.00","1,58,52,801","7,26,95,79,595.90","1,37,886"
"17-Jun-2025","EQ","464.00","465.85","457.80","463.90","461.00","458.95","461.46","526.95","363.00","56,21,986","2,59,43,06,956.65","68,743"
"16-Jun-2025","EQ","464.00","467.00","456.70","458.10","463.50","463.90","462.16","526.95","363.00","82,58,945","3,81,69,65,869.90","72,725"
"13-Jun-2025","EQ","450.40","463.65","446.60","460.50","458.35","458.10","458.68","526.95","363.00","66,66,190","3,05,76,56,749.70","76,720"
"12-Jun-2025","EQ","470.50","471.85","458.00","469.30","458.60","460.50","465.05","526.95","363.00","75,59,224","3,51,53,98,409.35","82,381"
"11-Jun-2025","EQ","464.50","473.10","462.15","461.55","468.80","469.30","467.76","526.95","363.00","1,56,35,681","7,31,37,31,390.70","1,29,540"
"10-Jun-2025","EQ","459.90","467.70","459.10","457.90","461.40","461.55","463.79","526.95","363.00","80,36,246","3,72,71,39,182.10","90,450"
"09-Jun-2025","EQ","452.50","461.40","451.10","448.05","457.50","457.90","456.67","526.95","363.00","89,82,580","4,10,20,53,244.95","86,076"
"06-Jun-2025","EQ","440.80","449.50","438.60","439.15","446.40","448.05","444.39","526.95","363.00","1,04,75,617","4,65,52,55,728.45","98,160"
"05-Jun-2025","EQ","438.00","442.35","433.50","436.85","440.10","439.15","437.76","526.95","363.00","58,77,012","2,57,27,04,575.35","57,126"
"04-Jun-2025","EQ","434.00","438.35","430.40","434.00","436.50","436.85","434.95","526.95","363.00","47,47,404","2,06,48,85,787.30","47,373"
"03-Jun-2025","EQ","436.00","440.30","431.50","432.40","433.80","434.00","435.17","526.95","363.00","65,53,349","2,85,18,38,710.65","75,353"
"02-Jun-2025","EQ","433.80","434.95","425.90","435.55","432.40","432.40","430.67","526.95","363.00","90,08,143","3,87,95,78,792.25","82,556"
"30-May-2025","EQ","452.90","453.00","435.00","451.65","436.50","435.55","438.77","526.95","363.00","1,37,52,148","6,03,40,45,223.50","1,35,367"
"29-May-2025","EQ","450.00","457.50","445.00","446.85","451.95","451.65","450.05","526.95","363.00","85,39,002","3,84,29,50,762.10","87,483"
"28-May-2025","EQ","448.70","449.45","444.00","448.00","446.40","446.85","446.62","526.95","363.00","53,98,706","2,41,11,50,234.85","56,591"
"27-May-2025","EQ","446.00","452.35","443.90","445.55","447.95","448.00","447.82","526.95","363.00","70,17,265","3,14,24,52,701.55","67,992"
"26-May-2025","EQ","444.05","447.40","442.25","440.05","445.70","445.55","445.16","526.95","363.00","44,02,485","1,95,97,93,358.60","59,073"
"23-May-2025","EQ","435.40","442.60","433.15","435.10","439.50","440.05","439.02","526.95","363.00","47,07,367","2,06,66,41,994.25","50,629"
"22-May-2025","EQ","439.00","439.50","431.50","437.75","435.35","435.10","435.58","526.95","363.00","55,05,100","2,39,78,98,914.55","59,009"
"21-May-2025","EQ","436.30","439.15","431.70","435.35","436.70","437.75","436.01","526.95","363.00","53,10,912","2,31,56,31,970.45","52,632"
"20-May-2025","EQ","447.50","449.60","434.00","442.05","435.80","435.35","442.33","526.95","363.00","62,01,064","2,74,29,07,609.20","63,656"
"19-May-2025","EQ","442.00","446.90","440.65","441.20","442.25","442.05","443.76","526.95","363.00","47,07,043","2,08,88,00,787.25","53,411"
"16-May-2025","EQ","443.80","444.70","439.70","443.80","441.05","441.20","441.60","526.95","363.00","55,25,659","2,44,01,50,909.30","76,041"
"15-May-2025","EQ","444.70","448.40","440.35","442.70","443.50","443.80","444.07","526.95","363.00","71,08,289","3,15,65,91,547.45","69,754"
"14-May-2025","EQ","438.50","447.10","435.70","435.40","443.40","442.70","443.24","526.95","363.00","1,13,85,432","5,04,64,35,007.30","1,03,367"
"13-May-2025","EQ","436.00","440.30","432.55","436.05","435.00","435.40","436.32","526.95","363.00","78,06,161","3,40,59,60,604.95","88,178"
"12-May-2025","EQ","419.95","438.25","417.85","407.90","435.50","436.05","429.84","526.95","363.00","1,68,18,909","7,22,95,12,880.60","1,23,103"
"09-May-2025","EQ","401.00","408.75","398.60","407.10","408.00","407.90","405.08","526.95","363.00","71,20,988","2,88,45,68,832.05","95,250"
"08-May-2025","EQ","415.00","417.90","405.05","416.00","405.60","407.10","411.35","526.95","363.00","1,03,44,459","4,25,51,73,293.45","1,38,616"
"07-May-2025","EQ","402.75","418.00","402.00","410.95","416.45","416.00","413.35","526.95","363.00","88,06,194","3,64,00,00,628.30","78,322"
"06-May-2025","EQ","420.00","424.60","409.30","419.50","410.15","410.95","415.76","526.95","363.00","79,43,490","3,30,25,77,043.55","98,108"
"05-May-2025","EQ","415.65","420.45","415.00","415.10","419.60","419.50","418.78","526.95","363.00","74,50,806","3,12,02,53,536.80","92,311"
"02-May-2025","EQ","421.00","422.90","413.00","419.20","415.05","415.10","416.30","526.95","363.00","1,60,88,823","6,69,77,11,342.55","1,50,461"
"30-Apr-2025","EQ","418.30","423.25","413.65","416.30","417.20","419.20","418.63","526.95","363.00","1,35,07,492","5,65,46,98,112.65","1,34,812"
"29-Apr-2025","EQ","418.00","421.40","414.40","416.10","417.20","416.30","416.62","526.95","363.00","70,54,453","2,93,90,23,588.20","75,142"
"28-Apr-2025","EQ","414.00","417.65","408.95","413.30","416.45","416.10","415.08","526.95","363.00","68,64,935","2,84,95,26,017.65","79,311"
"25-Apr-2025","EQ","422.85","425.80","409.50","420.25","412.30","413.30","415.74","526.95","363.00","1,12,05,671","4,65,86,77,418.25","1,48,185"
"24-Apr-2025","EQ","418.20","431.00","416.50","418.20","422.40","420.25","425.20","526.95","363.00","1,35,80,010","5,77,41,71,426.30","1,22,514"
"23-Apr-2025","EQ","416.00","419.70","410.60","413.05","418.15","418.20","416.26","526.95","363.00","86,92,823","3,61,84,36,880.50","1,00,906"
"22-Apr-2025","EQ","414.00","418.30","412.30","411.95","413.00","413.05","415.41","526.95","363.00","73,29,286","3,04,46,68,147.25","70,457"
"21-Apr-2025","EQ","404.00","412.90","400.05","400.05","412.55","411.95","408.63","526.95","363.00","79,98,005","3,26,82,10,247.50","92,702"
"17-Apr-2025","EQ","398.25","403.75","393.15","398.70","399.80","400.05","398.96","526.95","360.25","82,12,290","3,27,63,78,424.25","84,164"
"16-Apr-2025","EQ","398.00","402.00","391.10","395.80","398.05","398.70","396.59","526.95","360.25","97,39,439","3,86,25,42,799.40","98,952"
"15-Apr-2025","EQ","389.95","397.70","384.05","380.15","396.85","395.80","392.08","526.95","360.25","1,05,17,215","4,12,35,91,529.30","1,16,259"
"11-Apr-2025","EQ","385.00","388.80","378.05","370.55","380.00","380.15","382.70","526.95","317.10","1,29,49,202","4,95,56,81,525.15","1,44,905"
"09-Apr-2025","EQ","376.00","377.45","368.60","376.10","370.45","370.55","371.63","526.95","317.10","1,39,82,904","5,19,64,68,987.95","1,42,942"
