ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","518.30","530.00","515.00","522.65","517.00","517.40","521.81","6,188.00","505.05","51,622","2,69,36,626.10","3,890"
"11-Aug-2025","EQ","528.85","528.85","515.20","528.85","521.20","522.65","520.14","6,188.00","505.05","45,284","2,35,53,976.20","4,338"
"08-Aug-2025","EQ","536.85","545.15","525.20","536.85","528.00","528.85","533.14","6,188.00","505.05","1,08,784","5,79,97,516.90","7,518"
"07-Aug-2025","EQ","534.00","558.00","528.90","537.80","536.00","536.85","542.16","6,188.00","505.05","1,73,133","9,38,65,105.25","14,909"
"06-Aug-2025","EQ","529.90","559.90","524.35","526.90","536.40","537.80","549.93","6,188.00","505.05","5,41,640","29,78,64,773.25","37,215"
"05-Aug-2025","EQ","534.00","534.00","523.80","528.85","530.00","526.90","528.90","6,188.00","505.05","59,580","3,15,11,773.75","6,434"
"04-Aug-2025","EQ","513.20","535.00","505.60","513.20","532.20","528.85","521.86","6,188.00","505.05","1,57,748","8,23,22,466.40","11,134"
"01-Aug-2025","EQ","515.70","523.05","510.00","515.70","511.60","513.20","517.51","6,188.00","505.05","37,697","1,95,08,545.10","3,401"
"31-Jul-2025","EQ","513.00","525.55","505.05","518.25","517.65","515.70","517.26","6,188.00","505.05","67,636","3,49,85,129.90","5,796"
"30-Jul-2025","EQ","523.55","526.80","513.50","523.55","521.30","518.25","518.77","6,188.00","511.15","52,571","2,72,72,361.85","5,815"
"29-Jul-2025","EQ","515.30","527.40","511.15","515.85","522.00","523.55","517.73","6,188.00","511.15","57,371","2,97,02,781.40","6,174"
"28-Jul-2025","EQ","525.95","528.00","511.60","521.80","517.90","515.85","518.63","6,188.00","511.60","74,132","3,84,47,001.85","8,340"
"25-Jul-2025","EQ","526.25","540.75","520.00","526.25","527.00","521.80","526.30","6,188.00","512.00","68,296","3,59,44,416.45","7,548"
"24-Jul-2025","EQ","551.00","553.25","521.50","549.80","525.00","526.25","538.13","6,188.00","512.00","1,94,493","10,46,62,813.75","9,751"
"23-Jul-2025","EQ","550.00","559.00","545.90","548.55","550.90","549.80","550.45","6,188.00","512.00","2,29,079","12,60,96,045.25","13,236"
"22-Jul-2025","EQ","530.30","549.95","526.45","530.30","549.70","548.55","544.27","6,188.00","512.00","1,85,935","10,11,98,596.90","12,020"
"21-Jul-2025","EQ","536.00","542.65","527.45","538.65","532.00","530.30","535.73","6,188.00","512.00","72,378","3,87,75,225.30","7,458"
"18-Jul-2025","EQ","547.00","547.00","532.75","541.65","537.10","538.65","539.79","6,188.00","512.00","1,05,574","5,69,87,815.95","8,318"
"17-Jul-2025","EQ","518.80","550.00","512.00","515.10","541.00","541.65","537.28","6,188.00","512.00","4,33,099","23,26,94,353.25","20,245"
"16-Jul-2025","EQ","519.00","522.15","513.00","518.70","514.90","515.10","517.96","6,188.00","512.50","55,042","2,85,09,423.40","3,398"
"15-Jul-2025","EQ","516.80","526.40","512.50","516.80","517.50","518.70","519.34","6,188.00","512.50","76,845","3,99,08,424.05","5,874"
"14-Jul-2025","EQ","513.00","523.00","513.00","516.90","517.00","516.80","517.91","6,188.00","513.00","49,918","2,58,53,093.90","4,602"
"11-Jul-2025","EQ","529.95","538.00","513.00","529.85","515.90","516.90","524.52","6,188.00","513.00","53,477","2,80,49,624.25","5,251"
"10-Jul-2025","EQ","531.00","533.40","526.35","528.65","529.95","529.85","529.57","6,188.00","523.45","52,749","2,79,34,090.55","3,022"
"09-Jul-2025","EQ","530.00","540.00","524.45","529.10","528.00","528.65","531.86","6,188.00","523.45","81,217","4,31,96,422.05","6,153"
"08-Jul-2025","EQ","543.50","543.50","523.45","534.65","530.10","529.10","531.13","6,188.00","523.45","58,204","3,09,13,605.50","6,591"
"07-Jul-2025","EQ","539.40","545.00","530.00","539.40","533.15","534.65","536.81","6,188.00","523.50","77,298","4,14,94,575.15","7,760"
"04-Jul-2025","EQ","547.95","549.15","536.60","544.70","539.00","539.40","540.97","6,188.00","523.50","67,838","3,66,98,472.30","6,002"
"03-Jul-2025","EQ","548.75","551.25","541.30","548.75","546.00","544.70","546.32","6,188.00","523.50","55,952","3,05,67,536.25","3,977"
"02-Jul-2025","EQ","555.00","555.00","540.80","551.30","548.00","548.75","547.46","6,188.00","523.50","56,204","3,07,69,523.40","6,688"
"01-Jul-2025","EQ","552.50","562.05","548.65","552.50","550.10","551.30","552.78","6,188.00","523.50","72,158","3,98,87,493.70","5,035"
"30-Jun-2025","EQ","555.00","567.00","545.00","553.50","553.50","552.50","553.19","6,188.00","523.50","1,00,872","5,58,01,007.50","7,175"
"27-Jun-2025","EQ","562.00","571.00","551.00","563.00","553.00","553.50","557.95","6,188.00","523.50","70,900","3,95,58,847.50","5,907"
"26-Jun-2025","EQ","568.00","577.50","560.50","572.50","561.00","563.00","566.96","6,188.00","523.50","57,113","3,23,80,596.50","4,602"
"25-Jun-2025","EQ","559.00","575.00","559.00","559.00","567.50","572.50","570.00","6,188.00","523.50","75,552","4,30,64,551.50","5,475"
"24-Jun-2025","EQ","572.50","572.50","557.00","563.00","557.50","559.00","564.26","6,188.00","523.50","58,157","3,28,15,697.50","5,616"
"23-Jun-2025","EQ","542.50","569.00","542.50","557.00","559.00","563.00","560.50","6,188.00","523.50","92,682","5,19,48,294.00","8,174"
"20-Jun-2025","EQ","525.50","564.50","525.50","532.00","558.00","557.00","543.69","6,188.00","523.50","1,31,790","7,16,53,193.00","9,913"
"19-Jun-2025","EQ","546.00","553.50","523.50","548.50","523.50","532.00","540.17","6,188.00","523.50","95,795","5,17,45,753.50","7,287"
"18-Jun-2025","EQ","555.00","563.00","545.00","553.00","546.00","548.50","551.53","6,188.00","542.50","85,674","4,72,51,865.00","6,560"
"17-Jun-2025","EQ","588.00","593.00","542.50","588.00","551.00","553.00","559.42","6,188.00","542.50","3,64,781","20,40,65,927.50","23,916"
"16-Jun-2025","EQ","592.00","597.00","571.50","594.50","583.50","588.00","585.13","6,188.00","555.00","1,34,554","7,87,31,500.00","8,968"
"13-Jun-2025","EQ","555.00","598.00","555.00","572.00","594.00","594.50","585.92","6,188.00","555.00","2,62,368","15,37,27,755.00","12,795"
"12-Jun-2025","EQ","599.00","601.50","570.00","603.00","571.00","572.00","579.48","6,188.00","570.00","2,16,556","12,54,90,394.50","12,297"
"11-Jun-2025","EQ","606.50","615.00","596.00","619.00","600.00","603.00","606.52","6,188.00","596.00","2,02,716","12,29,50,349.50","11,003"
"10-Jun-2025","EQ","596.00","646.00","596.00","5,898.50","617.00","619.00","625.12","6,188.00","596.00","8,87,973","55,50,86,238.50","36,010"
"09-Jun-2025","EQ","6,097.00","6,145.00","5,878.00","6,027.50","5,899.00","5,898.50","5,940.87","6,188.00","3,561.30","29,926","17,77,86,370.50","7,068"
"06-Jun-2025","EQ","6,155.00","6,165.00","5,980.50","6,129.00","6,050.00","6,027.50","6,067.76","6,188.00","3,561.30","17,549","10,64,83,199.50","4,999"
"05-Jun-2025","EQ","6,074.50","6,160.00","6,040.50","6,058.50","6,154.50","6,129.00","6,113.16","6,188.00","3,561.30","14,829","9,06,51,993.50","3,294"
"04-Jun-2025","EQ","5,939.00","6,098.00","5,902.00","5,922.50","6,070.00","6,058.50","6,005.02","6,188.00","3,561.30","17,994","10,80,54,337.50","4,624"
"03-Jun-2025","EQ","6,090.50","6,115.00","5,905.00","6,043.00","5,931.50","5,922.50","6,007.56","6,188.00","3,561.30","14,165","8,50,97,056.50","3,898"
"02-Jun-2025","EQ","5,998.00","6,188.00","5,961.00","5,931.40","6,060.00","6,043.00","6,089.16","6,188.00","3,561.30","37,738","22,97,92,842.50","10,530"
"30-May-2025","EQ","5,570.00","6,030.00","5,570.00","5,611.20","5,900.10","5,931.40","5,908.22","6,030.00","3,561.30","92,076","54,40,05,540.20","17,518"
"29-May-2025","EQ","5,685.00","5,699.00","5,570.00","5,646.90","5,618.70","5,611.20","5,618.51","5,999.00","3,561.30","5,115","2,87,38,690.40","1,831"
"28-May-2025","EQ","5,720.00","5,755.00","5,613.50","5,703.00","5,665.00","5,646.90","5,673.13","5,999.00","3,561.30","10,876","6,17,00,986.60","3,200"
"27-May-2025","EQ","5,720.00","5,750.00","5,620.00","5,616.10","5,720.00","5,703.00","5,703.57","5,999.00","3,561.30","22,168","12,64,36,775.60","4,789"
"26-May-2025","EQ","5,417.00","5,633.30","5,413.20","5,370.30","5,585.00","5,616.10","5,565.46","5,999.00","3,561.30","17,640","9,81,74,766.00","4,637"
"23-May-2025","EQ","5,474.90","5,482.00","5,351.20","5,448.00","5,381.50","5,370.30","5,418.76","5,999.00","3,561.30","5,720","3,09,95,306.40","1,872"
"22-May-2025","EQ","5,490.00","5,503.80","5,425.00","5,451.40","5,460.00","5,448.00","5,456.95","5,999.00","3,561.30","4,482","2,44,58,030.00","1,668"
"21-May-2025","EQ","5,477.00","5,532.70","5,379.40","5,423.50","5,465.90","5,451.40","5,455.80","5,999.00","3,561.30","12,699","6,92,83,194.10","3,497"
"20-May-2025","EQ","5,600.00","5,684.00","5,401.10","5,558.80","5,468.80","5,423.50","5,550.97","5,999.00","3,561.30","26,237","14,56,40,677.60","6,151"
"19-May-2025","EQ","5,363.50","5,600.00","5,363.50","5,363.40","5,557.00","5,558.80","5,521.74","5,999.00","3,561.30","26,528","14,64,80,639.00","6,694"
"16-May-2025","EQ","5,265.90","5,400.00","5,265.80","5,233.40","5,379.00","5,363.40","5,344.65","5,999.00","3,561.30","19,563","10,45,57,387.30","5,363"
"15-May-2025","EQ","5,140.70","5,293.10","5,140.70","5,140.70","5,223.20","5,233.40","5,234.71","5,999.00","3,561.30","15,571","8,15,09,607.80","4,825"
"14-May-2025","EQ","5,010.00","5,210.00","5,009.60","5,009.60","5,134.90","5,140.70","5,142.53","5,999.00","3,561.30","18,225","9,37,22,621.00","4,298"
"13-May-2025","EQ","4,889.70","5,052.00","4,877.80","4,914.20","5,011.00","5,009.60","4,983.54","5,999.00","3,561.30","11,540","5,75,10,014.90","2,905"
"12-May-2025","EQ","4,880.00","4,949.90","4,879.90","4,800.20","4,935.00","4,914.20","4,914.81","5,999.00","3,561.30","9,999","4,91,43,191.20","3,084"
"09-May-2025","EQ","4,693.60","4,850.00","4,633.00","4,893.60","4,798.70","4,800.20","4,713.76","5,999.00","3,561.30","27,339","12,88,69,449.50","10,240"
"08-May-2025","EQ","4,882.00","5,018.60","4,802.20","4,886.70","4,867.00","4,893.60","4,943.16","5,999.00","3,561.30","20,258","10,01,38,602.10","5,047"
"07-May-2025","EQ","4,760.00","4,894.40","4,718.00","4,810.70","4,885.00","4,886.70","4,825.69","5,999.00","3,561.30","9,177","4,42,85,402.10","3,886"
"06-May-2025","EQ","4,915.00","5,056.00","4,764.40","4,885.10","4,804.00","4,810.70","4,910.89","5,999.00","3,561.30","24,014","11,79,30,089.40","8,002"
"05-May-2025","EQ","4,652.00","4,900.00","4,622.80","4,598.40","4,889.90","4,885.10","4,822.40","5,999.00","3,561.30","27,255","13,14,34,588.90","8,961"
"02-May-2025","EQ","4,616.10","4,700.90","4,496.00","4,642.90","4,611.00","4,598.40","4,605.48","5,999.00","3,561.30","13,971","6,43,43,155.80","3,309"
"30-Apr-2025","EQ","4,641.00","4,676.20","4,587.00","4,704.00","4,640.80","4,642.90","4,639.81","5,999.00","3,561.30","10,520","4,88,10,780.40","2,857"
"29-Apr-2025","EQ","4,705.00","4,720.00","4,668.10","4,667.60","4,688.00","4,704.00","4,698.91","5,999.00","3,561.30","3,608","1,69,53,658.60","1,205"
"28-Apr-2025","EQ","4,621.60","4,708.80","4,621.60","4,655.40","4,657.30","4,667.60","4,660.65","5,999.00","3,561.30","6,889","3,21,07,183.90","2,501"
"25-Apr-2025","EQ","4,697.00","4,740.00","4,587.60","4,671.20","4,645.20","4,655.40","4,654.30","5,999.00","3,561.30","15,236","7,09,12,866.90","5,196"
"24-Apr-2025","EQ","4,710.00","4,750.00","4,593.10","4,694.00","4,677.00","4,671.20","4,692.70","5,999.00","3,561.30","10,118","4,74,80,690.40","3,422"
"23-Apr-2025","EQ","4,638.00","4,737.20","4,601.00","4,630.70","4,696.80","4,694.00","4,675.60","5,999.00","3,561.30","10,251","4,79,29,587.90","3,262"
"22-Apr-2025","EQ","4,634.00","4,717.90","4,600.10","4,607.10","4,645.00","4,630.70","4,647.38","5,999.00","3,561.30","11,626","5,40,30,444.30","3,801"
"21-Apr-2025","EQ","4,610.00","4,651.80","4,560.30","4,583.30","4,644.40","4,607.10","4,617.68","5,999.00","3,561.30","8,145","3,76,11,039.50","2,611"
