ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","365.00","365.00","355.35","362.85","360.00","359.45","359.17","577.45","300.00","1,35,390","4,86,27,529.55","9,485"
"11-Aug-2025","EQ","351.00","366.00","348.55","352.40","361.30","362.85","357.60","577.45","300.00","1,22,838","4,39,26,425.75","6,184"
"08-Aug-2025","EQ","359.50","360.25","350.10","359.20","350.60","352.40","355.93","577.45","300.00","1,05,790","3,76,54,254.00","7,095"
"07-Aug-2025","EQ","360.00","363.65","357.00","365.90","359.30","359.20","359.12","577.45","300.00","1,09,877","3,94,58,865.70","7,290"
"06-Aug-2025","EQ","368.50","370.35","362.45","370.50","367.45","365.90","365.28","577.45","300.00","1,34,343","4,90,72,333.25","8,021"
"05-Aug-2025","EQ","368.35","373.90","363.30","370.45","368.20","370.50","367.76","577.45","300.00","1,96,205","7,21,56,859.90","12,920"
"04-Aug-2025","EQ","380.65","380.65","361.20","376.65","370.05","370.45","367.76","577.45","300.00","3,26,557","12,00,96,165.70","17,686"
"01-Aug-2025","EQ","380.15","383.50","371.00","382.05","383.00","376.65","375.97","577.45","300.00","1,57,391","5,91,74,808.80","8,534"
"31-Jul-2025","EQ","381.50","384.00","376.80","389.20","382.55","382.05","380.72","577.45","300.00","2,26,363","8,61,80,243.35","9,311"
"30-Jul-2025","EQ","380.80","393.70","380.05","384.80","388.50","389.20","390.36","577.45","300.00","4,89,706","19,11,60,625.15","15,752"
"29-Jul-2025","EQ","388.20","392.70","371.10","387.05","380.60","384.80","381.72","577.45","300.00","10,19,063","38,90,00,459.90","39,497"
"28-Jul-2025","EQ","403.05","405.20","385.15","402.05","386.20","387.05","393.10","577.45","300.00","1,63,312","6,41,98,707.50","10,123"
"25-Jul-2025","EQ","403.25","403.90","396.00","401.90","402.00","402.05","400.95","577.45","300.00","1,67,025","6,69,69,181.60","6,498"
"24-Jul-2025","EQ","408.70","409.75","400.20","405.55","401.10","401.90","405.25","577.45","300.00","2,75,419","11,16,12,616.10","12,704"
