ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","414.70","422.00","411.30","414.80","412.25","412.95","416.70","589.75","248.35","2,20,059","9,16,98,373.35","9,879"
"11-Aug-2025","EQ","425.95","425.95","403.15","425.95","415.50","414.80","411.52","589.75","248.35","5,96,777","24,55,87,480.25","22,860"
"08-Aug-2025","EQ","440.00","442.95","420.10","450.10","426.00","425.95","430.04","589.75","248.35","10,47,340","45,03,97,282.40","35,115"
"07-Aug-2025","EQ","431.55","456.20","424.30","441.40","449.50","450.10","445.60","589.75","248.35","7,31,580","32,59,91,862.50","27,532"
"06-Aug-2025","EQ","446.30","449.35","438.30","446.35","444.00","441.40","443.22","589.75","248.35","1,97,710","8,76,29,104.85","8,609"
"05-Aug-2025","EQ","461.95","463.20","443.70","464.00","444.40","446.35","452.19","589.75","248.35","1,89,347","8,56,21,443.05","9,191"
"04-Aug-2025","EQ","452.55","466.00","440.65","448.60","462.60","464.00","452.35","589.75","248.35","4,03,446","18,24,98,452.25","14,055"
"01-Aug-2025","EQ","448.25","462.00","445.15","448.25","446.90","448.60","455.42","589.75","248.35","2,13,824","9,73,80,633.85","11,334"
"31-Jul-2025","EQ","455.00","461.70","446.10","463.35","447.65","448.25","454.45","589.75","248.35","1,89,463","8,61,01,028.00","8,888"
"30-Jul-2025","EQ","462.00","472.90","454.10","460.85","462.00","463.35","463.42","589.75","248.35","5,21,963","24,18,88,563.85","17,776"
"29-Jul-2025","EQ","438.30","462.95","438.30","444.95","462.95","460.85","454.15","589.75","248.35","4,17,263","18,95,00,088.10","14,016"
"28-Jul-2025","EQ","441.00","450.80","437.80","449.35","443.25","444.95","442.02","589.75","248.35","6,84,555","30,25,85,012.10","20,473"
"25-Jul-2025","EQ","451.00","452.45","442.05","451.30","450.05","449.35","449.50","589.75","248.35","5,95,318","26,75,93,748.00","9,461"
"24-Jul-2025","EQ","461.20","465.75","450.05","460.05","450.70","451.30","455.03","589.75","248.35","2,12,599","9,67,38,656.55","7,939"
"23-Jul-2025","EQ","454.95","462.90","452.55","455.55","462.35","460.05","457.48","589.75","248.35","2,68,467","12,28,18,519.20","18,117"
"22-Jul-2025","EQ","462.30","464.90","452.60","460.00","457.50","455.55","458.56","589.75","248.35","4,10,042","18,80,29,521.10","11,506"
"21-Jul-2025","EQ","470.05","470.20","457.70","469.95","462.00","460.00","460.99","589.75","248.35","4,65,937","21,47,93,480.10","15,478"
"18-Jul-2025","EQ","476.90","478.75","466.15","474.65","470.05","469.95","470.34","589.75","248.35","8,43,843","39,68,91,748.85","18,918"
"17-Jul-2025","EQ","483.00","483.20","472.10","480.20","475.10","474.65","477.38","589.75","248.35","10,36,965","49,50,27,286.30","20,897"
