ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","8,060.00","8,097.00","7,947.50","8,091.00","7,991.00","7,981.00","7,994.42","14,800.00","6,051.00","15,715","12,56,32,346.50","5,974"
"11-Aug-2025","EQ","7,970.00","8,125.00","7,880.00","7,982.50","8,070.00","8,091.00","8,016.41","14,800.00","6,051.00","21,885","17,54,39,106.50","7,942"
"08-Aug-2025","EQ","8,111.00","8,191.00","7,925.00","8,033.00","7,944.00","7,982.50","8,050.35","14,800.00","6,051.00","20,910","16,83,32,767.00","8,297"
"07-Aug-2025","EQ","8,212.00","8,228.00","7,854.50","8,203.00","8,050.00","8,033.00","7,980.56","14,800.00","6,051.00","83,452","66,59,93,532.00","20,906"
"06-Aug-2025","EQ","8,569.50","8,569.50","8,180.00","8,479.50","8,190.00","8,203.00","8,264.74","14,800.00","6,051.00","36,286","29,98,94,429.50","11,489"
"05-Aug-2025","EQ","8,599.00","8,720.00","8,450.00","8,569.00","8,498.00","8,479.50","8,543.81","14,800.00","6,051.00","27,006","23,07,34,155.50","9,291"
"04-Aug-2025","EQ","8,534.50","8,686.00","8,476.00","8,522.00","8,575.00","8,569.00","8,594.63","14,800.00","6,051.00","27,279","23,44,52,924.00","10,937"
"01-Aug-2025","EQ","8,805.50","8,832.00","8,501.00","8,836.00","8,515.00","8,522.00","8,639.47","14,800.00","6,051.00","37,168","32,11,11,876.50","12,145"
"31-Jul-2025","EQ","8,801.50","9,048.50","8,690.00","8,892.00","8,804.00","8,836.00","8,873.38","14,800.00","6,051.00","25,160","22,32,54,193.00","8,739"
"30-Jul-2025","EQ","9,275.00","9,275.00","8,829.00","9,285.00","8,880.00","8,892.00","8,987.07","14,800.00","6,051.00","52,239","46,94,75,662.00","15,298"
"29-Jul-2025","EQ","8,634.50","9,442.00","8,510.00","8,609.00","9,222.00","9,285.00","9,026.23","14,800.00","6,051.00","1,47,657","1,33,27,86,345.00","40,322"
"28-Jul-2025","EQ","8,715.50","8,825.00","8,527.00","8,840.00","8,593.00","8,609.00","8,647.54","14,800.00","6,051.00","32,896","28,44,69,321.50","11,538"
"25-Jul-2025","EQ","9,099.00","9,108.50","8,797.00","9,136.50","8,840.00","8,840.00","8,922.54","14,800.00","6,051.00","25,194","22,47,94,446.50","8,610"
"24-Jul-2025","EQ","9,308.50","9,308.50","9,120.50","9,309.00","9,135.00","9,136.50","9,189.56","14,800.00","6,051.00","17,376","15,96,77,765.50","6,073"
"23-Jul-2025","EQ","9,465.00","9,500.50","9,272.50","9,436.50","9,301.00","9,309.00","9,348.25","14,800.00","6,051.00","17,158","16,03,97,200.00","5,014"
"22-Jul-2025","EQ","9,500.00","9,555.00","9,413.50","9,543.00","9,414.00","9,436.50","9,466.85","14,800.00","6,051.00","17,063","16,15,32,866.00","5,253"
"21-Jul-2025","EQ","9,584.00","9,584.00","9,456.50","9,548.00","9,517.00","9,543.00","9,524.19","14,800.00","6,051.00","20,556","19,57,79,183.50","6,006"
"18-Jul-2025","EQ","9,676.00","9,735.00","9,491.00","9,615.00","9,530.00","9,548.00","9,581.14","14,800.00","6,051.00","19,716","18,89,01,719.50","5,951"
