ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","399.65","408.95","392.10","399.65","400.80","400.15","397.58","563.95","361.10","1,00,067","3,97,84,140.35","5,367"
"12-Aug-2025","EQ","390.25","402.80","389.25","390.25","399.65","399.65","398.48","563.95","361.10","1,80,249","7,18,25,220.35","9,587"
"11-Aug-2025","EQ","395.00","395.00","383.70","393.05","388.25","390.25","387.12","563.95","361.10","1,32,452","5,12,75,409.25","8,285"
"08-Aug-2025","EQ","397.00","404.95","391.60","396.80","392.00","393.05","396.16","569.75","361.10","1,48,773","5,89,38,632.70","8,050"
"07-Aug-2025","EQ","399.00","414.80","390.55","408.20","404.60","396.80","397.08","569.75","361.10","3,63,415","14,43,05,921.45","16,739"
"06-Aug-2025","EQ","419.00","421.20","405.80","418.05","406.15","408.20","408.83","569.75","361.10","3,40,219","13,90,93,304.20","15,963"
"05-Aug-2025","EQ","418.90","427.80","415.35","416.90","416.80","418.05","418.91","569.75","361.10","1,44,688","6,06,11,244.40","9,033"
"04-Aug-2025","EQ","420.75","423.45","415.20","420.75","419.90","416.90","418.13","569.75","361.10","1,64,695","6,88,63,270.35","9,437"
"01-Aug-2025","EQ","436.90","449.00","416.00","436.90","416.90","420.75","425.41","592.00","361.10","2,17,768","9,26,40,763.80","11,988"
"31-Jul-2025","EQ","445.05","450.00","431.10","458.35","435.40","436.90","441.07","592.00","361.10","3,43,616","15,15,59,217.65","14,341"
"30-Jul-2025","EQ","460.00","465.55","456.35","460.00","459.95","458.35","459.89","592.00","361.10","72,088","3,31,52,468.85","4,693"
"29-Jul-2025","EQ","457.00","464.20","456.10","459.55","462.50","460.00","459.79","592.00","361.10","1,06,173","4,88,17,205.95","6,719"
"28-Jul-2025","EQ","473.65","476.95","458.20","473.65","459.40","459.55","467.89","592.00","361.10","1,53,129","7,16,47,481.45","7,392"
