ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","3,117.70","3,190.90","3,075.00","3,112.10","3,093.00","3,084.80","3,142.12","3,743.00","1,863.00","14,35,395","4,51,01,82,507.60","73,402"
"11-Aug-2025","EQ","3,078.00","3,126.00","3,055.00","3,061.00","3,112.00","3,112.10","3,104.08","3,743.00","1,863.00","11,11,429","3,44,99,63,228.00","48,748"
"08-Aug-2025","EQ","3,180.00","3,190.00","3,052.10","3,162.90","3,069.90","3,061.00","3,105.57","3,743.00","1,863.00","18,10,562","5,62,28,26,981.90","83,777"
"07-Aug-2025","EQ","3,180.00","3,206.70","3,102.10","3,218.40","3,170.00","3,162.90","3,160.59","3,743.00","1,863.00","24,60,163","7,77,55,76,233.40","1,07,557"
"06-Aug-2025","EQ","3,060.90","3,247.30","3,059.20","3,056.10","3,210.00","3,218.40","3,184.53","3,743.00","1,863.00","52,84,056","16,82,72,49,840.10","2,29,758"
"05-Aug-2025","EQ","3,092.00","3,136.80","3,036.10","3,088.60","3,044.00","3,056.10","3,072.38","3,743.00","1,863.00","14,22,446","4,37,02,91,849.50","86,588"
"04-Aug-2025","EQ","3,119.50","3,138.00","3,069.30","3,104.00","3,089.90","3,088.60","3,100.22","3,743.00","1,863.00","11,28,593","3,49,88,87,162.20","58,083"
"01-Aug-2025","EQ","3,024.90","3,163.90","3,010.00","2,992.40","3,103.20","3,104.00","3,100.26","3,743.00","1,863.00","34,36,467","10,65,39,42,631.50","1,46,807"
"31-Jul-2025","EQ","3,050.00","3,099.80","2,955.00","3,143.50","2,990.90","2,992.40","3,004.03","3,743.00","1,863.00","38,21,179","11,47,89,40,941.30","1,78,019"
"30-Jul-2025","EQ","3,184.00","3,242.40","3,122.20","3,172.60","3,154.00","3,143.50","3,180.18","3,743.00","1,863.00","26,22,145","8,33,88,83,192.60","1,12,790"
"29-Jul-2025","EQ","3,188.00","3,291.00","3,158.00","3,111.80","3,168.00","3,172.60","3,222.52","3,743.00","1,863.00","94,16,768","30,34,57,51,479.00","4,05,343"
"28-Jul-2025","EQ","3,250.00","3,250.80","3,075.00","3,198.20","3,097.40","3,111.80","3,144.93","3,743.00","1,863.00","15,89,412","4,99,85,95,155.90","75,371"
"25-Jul-2025","EQ","3,242.90","3,285.00","3,171.10","3,242.50","3,190.10","3,198.20","3,220.90","3,743.00","1,863.00","16,09,208","5,18,30,92,431.60","69,958"
"24-Jul-2025","EQ","3,192.00","3,266.30","3,166.20","3,188.90","3,246.20","3,242.50","3,227.77","3,743.00","1,863.00","17,98,963","5,80,66,37,178.50","79,527"
"23-Jul-2025","EQ","3,113.00","3,196.90","3,071.00","3,100.90","3,189.00","3,188.90","3,148.93","3,743.00","1,863.00","16,36,851","5,15,43,27,540.00","72,613"
"22-Jul-2025","EQ","3,096.20","3,139.90","3,086.10","3,086.10","3,107.90","3,100.90","3,111.72","3,743.00","1,863.00","8,64,520","2,69,01,40,035.50","44,905"
"21-Jul-2025","EQ","3,159.00","3,198.40","3,054.80","3,122.00","3,093.00","3,086.10","3,104.56","3,743.00","1,863.00","17,12,613","5,31,69,06,287.00","85,956"
"18-Jul-2025","EQ","3,206.00","3,272.50","3,107.10","3,206.00","3,112.50","3,122.00","3,180.96","3,743.00","1,863.00","17,43,338","5,54,54,90,424.10","94,444"
"17-Jul-2025","EQ","3,289.00","3,302.10","3,198.10","3,290.50","3,208.00","3,206.00","3,236.14","3,743.00","1,863.00","15,82,220","5,12,02,84,903.00","83,005"
"16-Jul-2025","EQ","3,224.00","3,342.00","3,207.30","3,221.30","3,284.00","3,290.50","3,291.88","3,743.00","1,863.00","32,72,552","10,77,28,53,019.00","1,41,755"
"15-Jul-2025","EQ","3,200.00","3,280.00","3,190.90","3,197.00","3,218.90","3,221.30","3,231.23","3,743.00","1,863.00","19,01,572","6,14,44,08,589.90","1,03,003"
"14-Jul-2025","EQ","3,114.80","3,234.00","3,078.50","3,112.10","3,189.00","3,197.00","3,180.79","3,743.00","1,863.00","24,12,818","7,67,46,75,593.20","1,20,111"
"11-Jul-2025","EQ","3,175.60","3,192.00","3,070.10","3,170.60","3,108.80","3,112.10","3,124.57","3,743.00","1,863.00","15,04,507","4,70,09,32,497.20","76,704"
"10-Jul-2025","EQ","3,130.00","3,181.00","3,125.00","3,119.50","3,168.00","3,170.60","3,159.54","3,743.00","1,863.00","24,86,098","7,85,49,36,620.50","1,06,797"
"09-Jul-2025","EQ","3,057.00","3,159.10","3,046.00","3,068.60","3,124.00","3,119.50","3,123.54","3,743.00","1,863.00","41,25,224","12,88,53,16,747.00","1,66,467"
