ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,541.90","1,568.50","1,513.50","1,534.40","1,524.60","1,523.60","1,540.35","1,944.00","1,114.00","3,96,083","61,01,07,544.40","28,697"
"12-Aug-2025","EQ","1,534.90","1,548.50","1,520.20","1,527.90","1,548.00","1,534.40","1,530.00","1,944.00","1,114.00","1,56,117","23,88,59,511.10","10,938"
"11-Aug-2025","EQ","1,518.60","1,534.50","1,501.00","1,518.70","1,522.00","1,527.90","1,516.94","1,944.00","1,114.00","1,46,898","22,28,35,926.20","11,899"
"08-Aug-2025","EQ","1,514.70","1,564.90","1,502.30","1,511.10","1,518.90","1,518.70","1,538.91","1,944.00","1,114.00","2,96,885","45,68,79,276.00","22,387"
"07-Aug-2025","EQ","1,504.00","1,521.00","1,483.00","1,509.60","1,521.00","1,511.10","1,500.44","1,944.00","1,114.00","1,90,666","28,60,83,348.20","15,664"
"06-Aug-2025","EQ","1,538.00","1,550.70","1,505.80","1,541.30","1,506.60","1,509.60","1,518.71","1,944.00","1,114.00","1,36,968","20,80,15,070.60","11,299"
"05-Aug-2025","EQ","1,561.80","1,573.40","1,530.50","1,558.30","1,535.00","1,541.30","1,547.02","1,944.00","1,114.00","1,56,481","24,20,79,881.70","15,885"
"04-Aug-2025","EQ","1,579.00","1,579.00","1,548.80","1,574.70","1,561.70","1,558.30","1,558.44","1,944.00","1,114.00","1,57,341","24,52,07,213.60","14,107"
"01-Aug-2025","EQ","1,576.00","1,587.00","1,550.00","1,585.70","1,579.00","1,574.70","1,566.83","1,944.00","1,114.00","2,76,900","43,38,55,325.30","20,268"
"31-Jul-2025","EQ","1,600.00","1,609.80","1,575.80","1,616.80","1,581.80","1,585.70","1,591.73","1,944.00","1,114.00","2,00,376","31,89,44,904.60","16,212"
"30-Jul-2025","EQ","1,603.50","1,631.70","1,590.00","1,600.60","1,617.30","1,616.80","1,610.43","1,944.00","1,114.00","2,21,335","35,64,43,723.30","18,909"
"29-Jul-2025","EQ","1,573.00","1,604.70","1,561.10","1,580.40","1,604.00","1,600.60","1,588.96","1,944.00","1,114.00","2,13,786","33,96,97,303.70","16,729"
"28-Jul-2025","EQ","1,635.00","1,638.00","1,569.00","1,624.10","1,580.00","1,580.40","1,602.52","1,944.00","1,114.00","4,91,027","78,68,83,022.50","33,618"
"25-Jul-2025","EQ","1,642.00","1,654.70","1,610.00","1,640.00","1,621.00","1,624.10","1,630.35","1,944.00","1,114.00","5,31,552","86,66,13,739.90","33,570"
"24-Jul-2025","EQ","1,638.00","1,672.10","1,590.20","1,593.00","1,635.00","1,640.00","1,631.07","1,944.00","1,114.00","15,29,801","2,49,52,14,073.30","74,504"
"23-Jul-2025","EQ","1,590.00","1,605.00","1,561.10","1,584.30","1,587.00","1,593.00","1,589.13","1,944.00","1,114.00","5,25,541","83,51,54,989.10","33,900"
"22-Jul-2025","EQ","1,527.00","1,588.00","1,520.00","1,517.80","1,582.00","1,584.30","1,562.20","1,944.00","1,114.00","8,99,771","1,40,56,22,971.40","60,679"
"21-Jul-2025","EQ","1,482.00","1,524.90","1,462.00","1,485.90","1,517.00","1,517.80","1,508.16","1,944.00","1,114.00","6,11,178","92,17,52,509.90","33,256"
"18-Jul-2025","EQ","1,505.00","1,508.80","1,475.00","1,498.60","1,483.20","1,485.90","1,489.05","1,944.00","1,114.00","4,82,239","71,80,77,733.50","27,113"
"17-Jul-2025","EQ","1,462.00","1,510.80","1,438.90","1,462.00","1,507.50","1,498.60","1,477.85","1,944.00","1,114.00","4,28,793","63,36,93,784.60","23,457"
"16-Jul-2025","EQ","1,468.00","1,472.10","1,456.00","1,469.50","1,461.00","1,462.00","1,463.58","1,944.00","1,114.00","1,04,684","15,32,13,412.90","8,695"
"15-Jul-2025","EQ","1,455.00","1,474.00","1,453.30","1,453.20","1,469.00","1,469.50","1,460.84","1,944.00","1,114.00","1,17,222","17,12,42,615.70","10,676"
"14-Jul-2025","EQ","1,481.10","1,482.00","1,446.20","1,482.50","1,449.50","1,453.20","1,459.37","1,944.00","1,114.00","2,11,597","30,87,98,171.80","16,787"
"11-Jul-2025","EQ","1,489.80","1,496.00","1,473.00","1,489.80","1,481.50","1,482.50","1,483.84","1,944.00","1,114.00","1,12,669","16,71,82,678.50","9,897"
"10-Jul-2025","EQ","1,483.90","1,494.00","1,468.90","1,483.90","1,490.00","1,489.80","1,483.08","1,944.00","1,114.00","1,26,521","18,76,40,267.00","13,201"
"09-Jul-2025","EQ","1,493.00","1,494.10","1,480.10","1,490.90","1,481.00","1,483.90","1,485.37","1,944.00","1,114.00","1,25,975","18,71,19,972.40","11,175"
"08-Jul-2025","EQ","1,499.70","1,499.70","1,470.00","1,488.30","1,492.00","1,490.90","1,484.49","1,944.00","1,114.00","2,43,149","36,09,51,773.80","19,137"
"07-Jul-2025","EQ","1,469.40","1,519.30","1,467.10","1,463.90","1,489.50","1,488.30","1,495.70","1,944.00","1,114.00","5,95,647","89,09,10,724.70","38,355"
"04-Jul-2025","EQ","1,422.10","1,472.00","1,422.10","1,422.10","1,463.60","1,463.90","1,453.40","1,944.00","1,114.00","3,72,421","54,12,76,430.60","27,043"
"03-Jul-2025","EQ","1,419.80","1,435.00","1,408.10","1,409.80","1,420.50","1,422.10","1,421.29","1,944.00","1,114.00","2,01,933","28,70,05,928.80","16,300"
"02-Jul-2025","EQ","1,424.80","1,444.90","1,398.80","1,420.80","1,413.00","1,409.80","1,415.70","1,944.00","1,114.00","4,49,417","63,62,39,940.50","32,102"
"01-Jul-2025","EQ","1,484.20","1,486.80","1,404.30","1,481.40","1,422.00","1,420.80","1,429.62","1,944.00","1,114.00","6,41,072","91,64,88,357.50","43,464"
"30-Jun-2025","EQ","1,498.00","1,498.90","1,475.00","1,488.50","1,481.80","1,481.40","1,483.05","1,944.00","1,114.00","2,01,254","29,84,70,567.40","18,809"
"27-Jun-2025","EQ","1,498.00","1,511.70","1,484.60","1,491.50","1,489.40","1,488.50","1,494.95","1,944.00","1,114.00","2,00,828","30,02,27,886.70","15,976"
"26-Jun-2025","EQ","1,504.70","1,517.30","1,487.10","1,494.20","1,490.00","1,491.50","1,496.56","1,944.00","1,114.00","2,03,719","30,48,78,216.60","18,247"
"25-Jun-2025","EQ","1,503.80","1,509.30","1,471.20","1,489.80","1,500.00","1,494.20","1,492.77","1,944.00","1,114.00","2,60,206","38,84,28,295.50","22,468"
"24-Jun-2025","EQ","1,501.00","1,509.00","1,483.50","1,481.90","1,491.00","1,489.80","1,495.39","1,944.00","1,114.00","2,21,984","33,19,53,459.00","16,214"
"23-Jun-2025","EQ","1,468.00","1,489.40","1,460.00","1,474.10","1,480.20","1,481.90","1,476.00","1,944.00","1,114.00","2,23,627","33,00,74,413.50","16,752"
"20-Jun-2025","EQ","1,482.00","1,515.90","1,464.10","1,484.10","1,468.00","1,474.10","1,480.95","1,944.00","1,107.00","4,86,957","72,11,60,599.40","34,449"
"19-Jun-2025","EQ","1,527.00","1,541.30","1,475.00","1,523.50","1,482.00","1,484.10","1,505.96","1,944.00","1,107.00","2,37,361","35,74,55,305.80","19,789"
"18-Jun-2025","EQ","1,544.00","1,562.00","1,514.90","1,546.10","1,525.20","1,523.50","1,542.86","1,944.00","1,107.00","2,87,913","44,42,08,515.20","17,763"
"17-Jun-2025","EQ","1,558.80","1,581.20","1,535.90","1,558.80","1,540.10","1,546.10","1,556.22","1,944.00","1,107.00","1,97,306","30,70,51,683.20","16,314"
"16-Jun-2025","EQ","1,554.90","1,566.70","1,522.80","1,554.90","1,561.00","1,558.80","1,544.88","1,944.00","1,107.00","2,08,473","32,20,65,962.70","17,701"
"13-Jun-2025","EQ","1,520.00","1,569.50","1,494.00","1,573.90","1,556.50","1,554.90","1,539.93","1,944.00","1,087.60","3,75,359","57,80,25,167.90","29,682"
"12-Jun-2025","EQ","1,585.00","1,638.00","1,565.30","1,579.40","1,570.00","1,573.90","1,602.41","1,944.00","1,087.60","4,96,287","79,52,55,513.60","38,751"
"11-Jun-2025","EQ","1,582.20","1,589.80","1,556.00","1,582.20","1,574.90","1,579.40","1,572.12","1,944.00","1,087.60","2,24,697","35,32,51,431.00","20,024"
"10-Jun-2025","EQ","1,599.00","1,605.00","1,580.00","1,591.00","1,582.60","1,582.20","1,589.07","1,944.00","1,087.60","1,74,009","27,65,12,792.60","13,052"
"09-Jun-2025","EQ","1,586.00","1,607.60","1,563.40","1,586.00","1,591.00","1,591.00","1,585.60","1,944.00","1,087.60","2,67,870","42,47,34,357.10","21,364"
"06-Jun-2025","EQ","1,613.70","1,616.20","1,575.90","1,611.00","1,584.80","1,586.00","1,586.83","1,944.00","825.00","2,98,388","47,34,90,428.80","20,391"
"05-Jun-2025","EQ","1,621.40","1,640.00","1,603.00","1,621.40","1,608.80","1,611.00","1,613.44","1,944.00","825.00","2,48,399","40,07,76,665.70","17,237"
"04-Jun-2025","EQ","1,604.80","1,643.70","1,603.90","1,604.70","1,623.00","1,621.40","1,625.12","1,944.00","825.00","3,25,655","52,92,29,499.90","20,668"
"03-Jun-2025","EQ","1,655.00","1,658.30","1,595.10","1,648.70","1,600.00","1,604.70","1,625.32","1,944.00","825.00","3,06,841","49,87,14,315.30","27,124"
"02-Jun-2025","EQ","1,624.80","1,658.70","1,589.30","1,628.50","1,648.50","1,648.70","1,634.82","1,944.00","825.00","3,66,409","59,90,13,548.80","25,981"
"30-May-2025","EQ","1,640.00","1,648.70","1,615.00","1,635.40","1,618.20","1,628.50","1,628.59","1,944.00","825.00","3,13,825","51,10,92,772.10","20,649"
"29-May-2025","EQ","1,630.00","1,664.20","1,614.40","1,638.20","1,634.00","1,635.40","1,638.19","1,944.00","825.00","3,93,041","64,38,74,446.40","28,230"
"28-May-2025","EQ","1,579.00","1,680.00","1,579.00","1,575.50","1,638.80","1,638.20","1,647.50","1,944.00","825.00","12,26,279","2,02,02,96,939.20","65,709"
"27-May-2025","EQ","1,570.00","1,608.00","1,564.10","1,568.20","1,578.80","1,575.50","1,582.34","1,944.00","825.00","4,30,934","68,18,82,794.00","30,361"
"26-May-2025","EQ","1,554.20","1,584.00","1,523.40","1,552.00","1,570.50","1,568.20","1,560.35","1,944.00","825.00","4,12,917","64,42,94,977.80","27,115"
"23-May-2025","EQ","1,543.30","1,596.80","1,533.80","1,526.20","1,550.00","1,552.00","1,565.78","1,944.00","825.00","10,21,683","1,59,97,30,052.80","50,868"
"22-May-2025","EQ","1,489.00","1,557.00","1,470.00","1,409.20","1,528.20","1,526.20","1,518.55","1,944.00","825.00","36,23,458","5,50,23,91,103.00","1,46,139"
"21-May-2025","EQ","1,396.10","1,420.00","1,365.10","1,396.10","1,418.00","1,409.20","1,389.47","1,944.00","825.00","4,16,270","57,83,95,660.60","29,685"
"20-May-2025","EQ","1,444.80","1,470.00","1,390.00","1,440.10","1,400.00","1,396.10","1,420.93","1,944.00","825.00","2,92,973","41,62,95,392.50","26,693"
"19-May-2025","EQ","1,426.90","1,463.70","1,425.10","1,426.90","1,440.00","1,440.10","1,443.06","1,944.00","825.00","2,53,052","36,51,69,601.50","18,905"
"16-May-2025","EQ","1,428.40","1,431.00","1,406.00","1,419.40","1,425.00","1,426.90","1,420.48","1,944.00","825.00","2,09,278","29,72,75,992.50","18,223"
"15-May-2025","EQ","1,386.10","1,434.80","1,383.20","1,386.10","1,418.00","1,419.40","1,413.64","1,944.00","825.00","3,03,030","42,83,74,100.00","24,045"
"14-May-2025","EQ","1,362.00","1,407.20","1,362.00","1,363.90","1,390.00","1,386.10","1,385.99","1,944.00","825.00","2,25,086","31,19,67,067.20","21,105"
"13-May-2025","EQ","1,344.40","1,387.20","1,344.20","1,361.70","1,368.50","1,363.90","1,370.97","1,944.00","825.00","1,56,944","21,51,65,810.20","15,080"
"12-May-2025","EQ","1,324.00","1,372.10","1,324.00","1,273.20","1,363.00","1,361.70","1,356.70","1,944.00","825.00","3,19,255","43,31,31,980.80","27,872"
"09-May-2025","EQ","1,250.00","1,282.00","1,250.00","1,292.90","1,281.00","1,273.20","1,266.29","1,944.00","825.00","3,03,775","38,46,68,693.60","34,068"
"08-May-2025","EQ","1,313.00","1,347.00","1,285.00","1,313.00","1,298.00","1,292.90","1,321.31","1,944.00","825.00","1,61,586","21,35,05,922.20","18,648"
"07-May-2025","EQ","1,252.00","1,325.30","1,250.00","1,282.60","1,305.00","1,313.00","1,299.87","1,944.00","825.00","2,85,181","37,06,98,549.20","28,285"
"06-May-2025","EQ","1,322.00","1,338.50","1,275.40","1,322.00","1,284.00","1,282.60","1,296.33","1,944.00","825.00","2,70,244","35,03,26,224.80","29,109"
"05-May-2025","EQ","1,312.00","1,326.60","1,295.00","1,310.40","1,322.90","1,322.00","1,314.72","1,944.00","825.00","1,61,139","21,18,52,321.30","17,137"
"02-May-2025","EQ","1,290.00","1,317.80","1,263.30","1,285.10","1,312.00","1,310.40","1,297.75","1,944.00","825.00","3,58,137","46,47,73,593.80","31,826"
"30-Apr-2025","EQ","1,334.80","1,340.70","1,282.00","1,334.80","1,288.70","1,285.10","1,306.54","1,944.00","825.00","3,95,468","51,66,95,783.70","44,570"
"29-Apr-2025","EQ","1,372.50","1,373.50","1,326.10","1,347.90","1,337.00","1,334.80","1,348.19","1,944.00","825.00","3,50,010","47,18,80,817.00","29,615"
"28-Apr-2025","EQ","1,340.00","1,388.80","1,329.60","1,368.60","1,350.00","1,347.90","1,357.27","1,944.00","825.00","4,44,186","60,28,81,642.70","44,256"
"25-Apr-2025","EQ","1,431.30","1,435.00","1,350.00","1,436.90","1,362.00","1,368.60","1,376.60","1,944.00","825.00","4,79,910","66,06,41,722.30","56,438"
"24-Apr-2025","EQ","1,441.60","1,450.00","1,410.50","1,439.50","1,445.50","1,436.90","1,431.61","1,944.00","825.00","3,89,300","55,73,25,316.50","33,866"
"23-Apr-2025","EQ","1,435.00","1,456.40","1,408.60","1,426.60","1,444.00","1,439.50","1,432.83","1,944.00","825.00","2,43,155","34,83,99,639.30","23,140"
"22-Apr-2025","EQ","1,462.60","1,477.70","1,419.00","1,462.60","1,430.00","1,426.60","1,443.20","1,944.00","825.00","3,78,919","54,68,54,661.30","28,612"
"21-Apr-2025","EQ","1,454.00","1,468.50","1,434.00","1,433.50","1,465.00","1,462.60","1,453.68","1,944.00","825.00","2,67,509","38,88,73,578.90","27,788"
"17-Apr-2025","EQ","1,449.00","1,456.30","1,420.00","1,444.50","1,430.90","1,433.50","1,432.66","1,944.00","765.50","2,70,323","38,72,81,482.30","27,751"
"16-Apr-2025","EQ","1,452.00","1,457.70","1,430.10","1,442.00","1,440.00","1,444.50","1,446.18","1,944.00","765.50","1,77,945","25,73,41,246.80","17,683"
"15-Apr-2025","EQ","1,430.00","1,460.00","1,409.00","1,401.60","1,443.00","1,442.00","1,434.82","1,944.00","765.50","2,75,143","39,47,80,658.80","26,407"
"11-Apr-2025","EQ","1,373.60","1,408.00","1,336.85","1,309.45","1,404.00","1,401.60","1,376.95","1,944.00","765.50","4,37,793","60,28,18,355.10","35,307"
"09-Apr-2025","EQ","1,340.00","1,342.95","1,304.20","1,342.90","1,308.95","1,309.45","1,315.12","1,944.00","765.50","1,91,606","25,19,85,391.30","16,234"
"08-Apr-2025","EQ","1,369.00","1,379.90","1,325.00","1,324.75","1,350.20","1,342.90","1,348.60","1,944.00","765.50","2,56,118","34,53,99,998.85","25,375"
"07-Apr-2025","EQ","1,140.05","1,339.00","1,140.05","1,384.35","1,330.00","1,324.75","1,278.54","1,944.00","765.50","6,68,369","85,45,33,977.90","58,087"
"04-Apr-2025","EQ","1,439.80","1,439.80","1,376.00","1,439.80","1,389.00","1,384.35","1,395.47","1,944.00","765.50","2,47,444","34,53,00,632.40","23,871"
"03-Apr-2025","EQ","1,418.30","1,457.35","1,417.10","1,435.90","1,450.00","1,439.80","1,440.06","1,944.00","765.50","2,33,225","33,58,57,369.95","20,019"
"02-Apr-2025","EQ","1,416.15","1,442.15","1,381.85","1,408.15","1,441.90","1,435.90","1,410.39","1,944.00","765.50","3,17,063","44,71,83,317.05","27,242"
"01-Apr-2025","EQ","1,440.00","1,463.15","1,404.00","1,454.65","1,419.00","1,408.15","1,423.75","1,944.00","765.50","3,33,213","47,44,13,102.25","32,678"
"28-Mar-2025","EQ","1,482.00","1,514.85","1,443.65","1,472.55","1,448.20","1,454.65","1,470.37","1,944.00","709.80","3,58,406","52,69,88,179.75","31,303"
"27-Mar-2025","EQ","1,467.60","1,484.15","1,405.30","1,467.10","1,479.00","1,472.55","1,444.77","1,944.00","709.80","5,73,462","82,85,21,486.75","49,256"
"26-Mar-2025","EQ","1,491.00","1,514.00","1,460.00","1,490.60","1,471.00","1,467.10","1,486.55","1,944.00","709.80","4,03,273","59,94,86,027.30","30,425"
"25-Mar-2025","EQ","1,574.45","1,576.65","1,476.00","1,565.40","1,480.00","1,490.60","1,505.34","1,944.00","709.80","8,11,153","1,22,10,62,076.50","58,964"
"24-Mar-2025","EQ","1,537.00","1,615.00","1,537.00","1,513.25","1,566.05","1,565.40","1,577.97","1,944.00","709.80","8,17,958","1,29,07,12,692.45","61,615"
"21-Mar-2025","EQ","1,398.95","1,533.00","1,391.90","1,383.90","1,514.70","1,513.25","1,487.44","1,944.00","678.00","17,30,630","2,57,42,09,382.55","1,06,948"
"20-Mar-2025","EQ","1,416.00","1,433.35","1,377.00","1,394.20","1,380.10","1,383.90","1,397.21","1,944.00","678.00","2,57,355","35,95,78,225.75","35,005"
"19-Mar-2025","EQ","1,401.00","1,419.85","1,386.85","1,390.35","1,394.65","1,394.20","1,403.65","1,944.00","678.00","3,54,291","49,72,99,479.80","33,388"
"18-Mar-2025","EQ","1,347.00","1,399.00","1,335.45","1,335.35","1,395.00","1,390.35","1,375.87","1,944.00","678.00","3,61,835","49,78,36,978.00","31,310"
"17-Mar-2025","EQ","1,337.00","1,349.90","1,325.00","1,327.30","1,335.50","1,335.35","1,335.99","1,944.00","678.00","2,23,344","29,83,84,829.45","21,647"
"13-Mar-2025","EQ","1,350.00","1,356.00","1,324.00","1,324.15","1,327.00","1,327.30","1,335.25","1,944.00","651.80","2,82,659","37,74,19,268.20","28,741"
"12-Mar-2025","EQ","1,357.70","1,370.45","1,318.20","1,350.35","1,322.00","1,324.15","1,342.88","1,944.00","651.80","2,77,990","37,33,08,162.05","27,593"
"11-Mar-2025","EQ","1,335.00","1,372.50","1,319.00","1,353.90","1,351.40","1,350.35","1,346.35","1,944.00","651.80","3,28,518","44,22,98,737.50","38,543"
"10-Mar-2025","EQ","1,379.75","1,437.90","1,344.40","1,370.85","1,349.95","1,353.90","1,399.39","1,944.00","651.80","5,56,801","77,91,79,855.50","52,385"
"07-Mar-2025","EQ","1,351.00","1,384.95","1,345.00","1,350.20","1,372.50","1,370.85","1,363.84","1,944.00","651.80","2,39,754","32,69,85,005.20","26,104"
"06-Mar-2025","EQ","1,370.00","1,402.00","1,342.00","1,356.05","1,348.00","1,350.20","1,367.58","1,944.00","651.80","3,80,086","51,97,98,502.25","33,798"
"05-Mar-2025","EQ","1,311.20","1,361.45","1,305.05","1,298.90","1,358.00","1,356.05","1,341.09","1,944.00","651.80","3,14,244","42,14,30,803.50","30,368"
"04-Mar-2025","EQ","1,259.05","1,306.25","1,239.90","1,268.15","1,298.00","1,298.90","1,279.58","1,944.00","651.80","3,51,584","44,98,79,359.80","39,977"
"03-Mar-2025","EQ","1,315.95","1,332.95","1,218.00","1,303.50","1,265.40","1,268.15","1,256.95","1,944.00","651.80","5,77,715","72,61,56,773.75","67,000"
"28-Feb-2025","EQ","1,322.50","1,322.50","1,259.70","1,344.25","1,308.00","1,303.50","1,290.85","1,944.00","651.80","4,93,449","63,69,67,188.00","46,069"
"27-Feb-2025","EQ","1,388.00","1,394.00","1,330.10","1,382.90","1,352.70","1,344.25","1,351.99","1,944.00","651.80","2,97,792","40,26,12,818.70","33,211"
"25-Feb-2025","EQ","1,411.40","1,451.00","1,376.00","1,403.15","1,379.75","1,382.90","1,412.51","1,944.00","651.80","2,95,757","41,77,59,417.85","28,487"
"24-Feb-2025","EQ","1,409.95","1,447.00","1,386.10","1,434.10","1,406.00","1,403.15","1,416.85","1,944.00","651.80","3,67,686","52,09,56,289.60","36,803"
"21-Feb-2025","EQ","1,410.00","1,455.80","1,403.50","1,400.70","1,435.00","1,434.10","1,439.22","1,944.00","651.80","6,58,928","94,83,44,208.20","56,695"
"20-Feb-2025","EQ","1,335.00","1,415.00","1,333.00","1,346.55","1,410.75","1,400.70","1,393.42","1,944.00","651.80","5,15,074","71,77,13,355.15","36,106"
"19-Feb-2025","EQ","1,280.00","1,356.90","1,268.30","1,298.60","1,346.35","1,346.55","1,335.01","1,944.00","651.80","5,83,277","77,86,78,767.40","55,954"
"18-Feb-2025","EQ","1,306.45","1,310.95","1,244.75","1,304.75","1,293.00","1,298.60","1,275.57","1,944.00","651.80","6,67,203","85,10,63,577.40","68,655"
"17-Feb-2025","EQ","1,373.80","1,386.00","1,300.00","1,385.25","1,306.60","1,304.75","1,326.18","1,944.00","651.80","7,65,866","1,01,56,74,577.00","79,601"
"14-Feb-2025","EQ","1,489.95","1,497.80","1,370.10","1,487.85","1,376.00","1,385.25","1,403.93","1,944.00","651.80","8,66,595","1,21,66,40,793.00","71,684"
