ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,539.90","1,573.00","1,401.60","1,448.30","1,419.70","1,422.60","1,491.32","1,865.00","769.50","10,12,557","1,51,00,50,782.20","45,581"
"11-Aug-2025","EQ","1,355.00","1,448.30","1,308.30","1,316.70","1,448.30","1,448.30","1,389.25","1,865.00","769.50","4,26,310","59,22,49,373.00","18,039"
"08-Aug-2025","EQ","1,262.90","1,345.00","1,250.00","1,244.80","1,310.90","1,316.70","1,302.11","1,865.00","636.30","2,95,319","38,45,38,584.30","18,047"
"07-Aug-2025","EQ","1,219.90","1,264.90","1,205.10","1,228.40","1,260.00","1,244.80","1,229.83","1,865.00","636.30","2,10,434","25,87,98,444.30","12,657"
"06-Aug-2025","EQ","1,259.80","1,278.00","1,222.20","1,259.80","1,230.40","1,228.40","1,241.87","1,865.00","636.30","1,25,273","15,55,73,052.50","8,518"
"05-Aug-2025","EQ","1,237.90","1,298.90","1,237.90","1,265.10","1,264.50","1,259.80","1,273.86","1,865.00","636.30","1,00,371","12,78,59,011.30","6,416"
"04-Aug-2025","EQ","1,253.00","1,289.80","1,210.20","1,269.10","1,272.00","1,265.10","1,266.05","1,865.00","636.30","1,68,282","21,30,52,886.90","10,590"
"01-Aug-2025","EQ","1,340.00","1,356.00","1,269.10","1,335.90","1,269.10","1,269.10","1,286.84","1,865.00","580.00","2,92,672","37,66,22,415.00","13,981"
"31-Jul-2025","EQ","1,341.50","1,369.10","1,326.00","1,375.80","1,337.50","1,335.90","1,347.57","1,865.00","580.00","1,41,318","19,04,35,778.60","11,684"
"30-Jul-2025","EQ","1,403.80","1,403.80","1,355.00","1,387.80","1,375.00","1,375.80","1,375.58","1,865.00","580.00","1,01,830","14,00,75,795.80","5,809"
"29-Jul-2025","EQ","1,344.90","1,408.90","1,340.00","1,341.90","1,383.00","1,387.80","1,381.16","1,865.00","580.00","1,60,149","22,11,91,310.00","7,943"
"28-Jul-2025","EQ","1,381.90","1,399.90","1,332.40","1,380.40","1,342.40","1,341.90","1,365.68","1,865.00","580.00","1,11,117","15,17,50,317.40","6,846"
"25-Jul-2025","EQ","1,402.00","1,416.90","1,365.00","1,407.10","1,388.40","1,380.40","1,383.24","1,865.00","524.00","1,37,304","18,99,23,849.90","7,568"
"24-Jul-2025","EQ","1,424.00","1,434.10","1,395.20","1,424.00","1,404.00","1,407.10","1,411.58","1,865.00","524.00","89,857","12,68,40,581.00","6,084"
"23-Jul-2025","EQ","1,429.00","1,438.00","1,393.90","1,422.10","1,426.30","1,424.00","1,416.60","1,865.00","524.00","1,96,321","27,81,07,497.00","10,530"
"22-Jul-2025","EQ","1,435.00","1,465.60","1,413.60","1,422.60","1,429.00","1,422.10","1,435.71","1,865.00","524.00","3,00,883","43,19,81,181.10","14,401"
"21-Jul-2025","EQ","1,362.00","1,429.80","1,346.30","1,361.80","1,429.80","1,422.60","1,399.81","1,865.00","524.00","2,82,088","39,48,68,194.40","13,926"
"18-Jul-2025","EQ","1,376.00","1,400.00","1,350.00","1,381.00","1,352.00","1,361.80","1,382.22","1,865.00","524.00","1,90,191","26,28,85,438.30","9,867"
"17-Jul-2025","EQ","1,396.80","1,413.00","1,370.30","1,386.50","1,374.60","1,381.00","1,389.55","1,865.00","524.00","1,28,496","17,85,52,113.70","7,413"
"16-Jul-2025","EQ","1,389.00","1,417.00","1,357.10","1,373.80","1,385.00","1,386.50","1,390.87","1,865.00","524.00","3,11,597","43,33,90,142.90","14,522"
"15-Jul-2025","EQ","1,317.40","1,373.80","1,310.40","1,308.40","1,373.80","1,373.80","1,366.44","1,865.00","524.00","4,00,189","54,68,36,150.50","8,006"
"14-Jul-2025","EQ","1,310.90","1,326.70","1,287.10","1,290.40","1,301.20","1,308.40","1,310.60","1,865.00","524.00","1,76,292","23,10,48,402.40","9,075"
"11-Jul-2025","EQ","1,321.90","1,324.80","1,282.20","1,321.90","1,291.00","1,290.40","1,296.45","1,865.00","524.00","1,04,674","13,57,04,828.00","6,532"
"10-Jul-2025","EQ","1,305.00","1,342.80","1,299.00","1,295.70","1,324.00","1,321.90","1,322.37","1,865.00","524.00","1,60,541","21,22,94,324.50","8,501"
"09-Jul-2025","EQ","1,300.00","1,309.50","1,292.10","1,290.80","1,295.10","1,295.70","1,299.31","1,865.00","524.00","76,334","9,91,81,285.50","4,191"
"08-Jul-2025","EQ","1,277.50","1,314.50","1,268.20","1,283.70","1,300.00","1,290.80","1,286.25","1,865.00","524.00","1,07,621","13,84,27,069.20","8,093"
"07-Jul-2025","EQ","1,323.00","1,329.80","1,274.20","1,323.10","1,288.00","1,283.70","1,291.99","1,865.00","524.00","1,21,806","15,73,72,113.00","9,388"
"04-Jul-2025","EQ","1,321.50","1,332.00","1,310.00","1,318.90","1,326.00","1,323.10","1,320.28","1,865.00","524.00","79,258","10,46,42,657.20","4,401"
