ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","113.90","116.70","113.65","113.73","114.70","114.39","114.69","212.95","104.80","18,41,971","21,12,50,002.49","14,698"
"12-Aug-2025","EQ","114.44","115.70","113.35","113.57","113.70","113.73","114.32","212.95","104.80","23,26,999","26,60,27,851.27","18,907"
"11-Aug-2025","EQ","117.19","117.54","113.10","117.54","113.70","113.57","114.51","212.95","104.80","16,98,286","19,44,64,505.68","20,801"
"08-Aug-2025","EQ","119.75","119.75","117.00","118.77","117.60","117.54","118.17","212.95","104.80","24,48,502","28,93,44,949.54","24,941"
"07-Aug-2025","EQ","112.86","119.75","111.40","115.86","118.99","118.77","114.96","212.95","104.80","55,61,835","63,93,79,574.22","42,338"
"06-Aug-2025","EQ","121.90","122.88","115.30","121.99","115.75","115.86","118.39","212.95","104.80","32,60,517","38,60,14,194.88","33,266"
"05-Aug-2025","EQ","125.65","126.70","120.90","126.74","121.80","121.99","122.65","212.95","104.80","38,75,771","47,53,70,919.91","34,849"
"04-Aug-2025","EQ","121.09","127.25","120.20","121.09","126.89","126.74","124.43","212.95","104.80","21,69,447","26,99,45,829.05","20,704"
"01-Aug-2025","EQ","125.75","125.75","120.52","126.08","120.67","121.09","123.47","212.95","104.80","25,61,807","31,63,11,778.76","21,653"
"31-Jul-2025","EQ","125.00","128.00","124.25","132.83","127.50","126.08","125.67","212.95","104.80","72,03,500","90,52,53,658.10","57,153"
"30-Jul-2025","EQ","136.05","139.00","131.01","136.26","131.30","132.83","134.48","212.95","104.80","42,94,989","57,75,87,127.51","31,488"
"29-Jul-2025","EQ","133.10","136.80","132.56","134.32","136.46","136.26","135.29","212.95","104.80","10,45,405","14,14,30,586.69","12,004"
"28-Jul-2025","EQ","136.88","137.91","133.49","136.90","134.20","134.32","135.74","212.95","104.80","17,56,616","23,84,40,453.82","21,964"
"25-Jul-2025","EQ","141.20","142.49","135.90","141.00","136.60","136.90","138.87","212.95","104.80","36,20,434","50,27,67,226.66","31,603"
"24-Jul-2025","EQ","138.50","142.40","138.01","137.56","141.90","141.00","140.00","212.95","104.80","34,30,763","48,03,12,053.72","23,857"
"23-Jul-2025","EQ","139.95","140.84","137.10","139.95","137.99","137.56","138.38","212.95","104.80","17,42,057","24,10,61,081.81","14,282"
"22-Jul-2025","EQ","142.75","143.23","139.33","142.40","140.01","139.95","140.57","212.95","104.80","21,28,475","29,91,89,700.26","15,676"
"21-Jul-2025","EQ","143.55","143.99","141.25","142.85","142.36","142.40","142.26","212.95","104.80","19,36,163","27,54,32,801.28","17,930"
"18-Jul-2025","EQ","139.19","144.56","139.19","139.19","143.50","142.85","142.30","212.95","104.80","86,14,005","1,22,57,80,201.82","58,180"
"17-Jul-2025","EQ","140.09","141.50","139.00","139.72","139.35","139.19","139.89","212.95","104.80","17,68,554","24,74,05,408.17","15,491"
"16-Jul-2025","EQ","139.85","141.35","138.76","138.76","139.90","139.72","140.22","212.95","104.80","19,83,674","27,81,43,641.42","19,604"
"15-Jul-2025","EQ","138.29","140.78","138.29","138.29","138.77","138.76","139.38","212.95","104.80","16,54,558","23,06,16,237.16","13,531"
"14-Jul-2025","EQ","139.51","139.51","136.40","140.41","138.60","138.29","137.83","212.95","104.80","34,84,905","48,03,21,733.49","27,615"
"11-Jul-2025","EQ","142.10","143.41","139.40","143.11","139.90","140.41","141.16","212.95","104.80","15,20,646","21,46,52,218.99","14,641"
