ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","376.50","380.50","371.30","375.70","373.00","372.25","375.38","591.90","298.65","1,87,320","7,03,16,428.15","8,157"
"11-Aug-2025","EQ","380.00","380.00","366.45","378.80","375.85","375.70","373.45","591.90","298.65","3,77,905","14,11,26,935.40","14,318"
"08-Aug-2025","EQ","389.40","390.95","375.15","384.30","380.00","378.80","383.90","591.90","298.65","2,38,623","9,16,06,205.70","11,164"
"07-Aug-2025","EQ","360.10","387.50","356.60","362.85","386.00","384.30","378.97","591.90","298.65","7,71,936","29,25,38,034.35","27,319"
"06-Aug-2025","EQ","377.00","377.00","359.10","375.35","360.00","362.85","364.69","591.90","298.65","3,41,871","12,46,75,616.40","9,026"
"05-Aug-2025","EQ","376.00","382.00","369.20","374.60","372.55","375.35","375.05","591.90","298.65","1,82,215","6,83,39,980.40","5,586"
"04-Aug-2025","EQ","377.85","377.90","370.05","376.05","375.00","374.60","373.59","591.90","298.65","2,00,718","7,49,85,332.15","8,690"
"01-Aug-2025","EQ","378.60","384.30","375.00","379.15","376.50","376.05","378.88","591.90","298.65","2,51,344","9,52,28,607.55","6,719"
"31-Jul-2025","EQ","385.00","385.40","378.25","387.90","380.35","379.15","381.12","591.90","298.65","2,34,334","8,93,10,239.90","6,676"
"30-Jul-2025","EQ","396.05","397.65","386.00","394.30","386.35","387.90","390.39","591.90","298.65","2,43,185","9,49,36,288.90","7,134"
"29-Jul-2025","EQ","362.05","398.70","362.05","369.10","398.00","394.30","384.73","591.90","298.65","6,57,028","25,27,77,811.95","16,722"
"28-Jul-2025","EQ","378.80","379.55","365.05","383.05","369.90","369.10","371.28","591.90","298.65","5,62,617","20,88,86,382.95","15,423"
"25-Jul-2025","EQ","406.00","406.50","380.35","406.15","384.00","383.05","390.57","591.90","280.95","9,50,862","37,13,74,171.85","19,660"
"24-Jul-2025","EQ","411.05","413.05","404.40","410.35","406.60","406.15","407.61","591.90","280.95","1,82,173","7,42,55,200.95","4,343"
"23-Jul-2025","EQ","414.75","418.20","408.80","412.60","410.25","410.35","412.76","591.90","280.95","2,48,118","10,24,12,947.45","6,884"
"22-Jul-2025","EQ","404.95","414.95","403.00","404.95","413.30","412.60","409.05","591.90","280.95","3,20,335","13,10,32,340.05","8,912"
"21-Jul-2025","EQ","414.20","414.20","404.00","414.70","404.75","404.95","407.77","591.90","280.95","3,12,219","12,73,15,078.45","8,773"
"18-Jul-2025","EQ","424.40","426.45","412.85","423.30","414.20","414.70","416.98","591.90","280.95","3,01,655","12,57,84,003.35","9,446"
