ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","809.00","811.10","795.05","808.80","802.10","801.15","799.16","984.95","535.85","3,06,980","24,53,25,813.80","24,796"
"12-Aug-2025","EQ","791.55","823.80","788.00","791.55","808.80","808.80","811.82","984.95","535.85","6,40,034","51,95,93,456.55","41,681"
"11-Aug-2025","EQ","785.60","796.00","779.00","785.65","793.00","791.55","790.60","984.95","535.85","2,02,620","16,01,92,228.30","23,435"
"08-Aug-2025","EQ","790.00","791.95","779.00","790.00","785.50","785.65","784.81","984.95","535.85","1,68,463","13,22,11,923.95","15,153"
"07-Aug-2025","EQ","777.00","794.50","771.10","785.35","791.30","790.00","784.36","984.95","535.85","2,19,263","17,19,80,878.15","15,898"
"06-Aug-2025","EQ","801.65","805.00","776.20","801.65","786.00","785.35","786.02","984.95","535.85","3,75,898","29,54,61,751.30","29,364"
"05-Aug-2025","EQ","800.65","811.00","795.15","800.65","802.00","801.65","801.42","984.95","535.85","2,77,357","22,22,79,627.80","16,056"
"04-Aug-2025","EQ","789.00","804.80","775.20","792.20","801.50","800.65","790.13","984.95","535.85","4,09,403","32,34,82,793.00","29,806"
"01-Aug-2025","EQ","803.00","805.30","785.75","806.15","790.15","792.20","797.98","984.95","535.85","3,57,788","28,55,08,765.35","20,330"
"31-Jul-2025","EQ","795.00","810.00","790.00","810.05","810.00","806.15","801.77","984.95","535.85","4,33,993","34,79,61,616.40","20,039"
"30-Jul-2025","EQ","809.00","812.45","796.15","808.45","811.00","810.05","807.53","984.95","535.85","2,73,881","22,11,68,384.10","15,953"
"29-Jul-2025","EQ","796.75","815.00","786.60","800.10","811.90","808.45","805.80","984.95","535.85","3,13,732","25,28,05,903.95","22,558"
"28-Jul-2025","EQ","782.60","803.00","770.70","796.65","800.00","800.10","784.64","984.95","535.85","8,41,520","66,02,93,038.80","51,334"
"25-Jul-2025","EQ","824.75","824.75","790.00","824.90","794.00","796.65","804.03","984.95","535.85","3,84,947","30,95,09,904.60","34,432"
"24-Jul-2025","EQ","826.00","830.50","808.05","816.10","824.75","824.90","822.33","984.95","535.85","6,80,763","55,98,13,200.35","28,863"
"23-Jul-2025","EQ","820.00","822.70","787.20","811.30","816.00","816.10","803.85","984.95","535.85","19,19,591","1,54,30,54,148.25","75,753"
"22-Jul-2025","EQ","846.00","857.30","808.55","845.45","812.85","811.30","831.84","984.95","535.85","9,87,183","82,11,75,240.80","40,088"
"21-Jul-2025","EQ","826.50","850.50","819.00","826.40","847.70","845.45","835.09","984.95","535.85","11,16,440","93,23,31,657.85","50,518"
"18-Jul-2025","EQ","834.35","834.35","817.15","830.80","826.30","826.40","824.82","984.95","535.85","4,69,873","38,75,62,394.60","20,732"
"17-Jul-2025","EQ","833.95","834.95","819.00","829.85","831.75","830.80","827.61","984.95","535.85","5,68,313","47,03,39,937.35","30,675"
"16-Jul-2025","EQ","811.60","854.00","811.50","810.50","828.25","829.85","839.46","984.95","535.85","25,54,189","2,14,41,42,613.75","86,588"
"15-Jul-2025","EQ","808.70","818.55","801.60","808.65","811.00","810.50","810.56","984.95","535.85","4,34,211","35,19,55,610.65","27,324"
"14-Jul-2025","EQ","819.00","819.95","804.00","818.70","808.50","808.65","811.96","984.95","535.85","3,25,171","26,40,25,669.15","18,742"
"11-Jul-2025","EQ","834.00","840.85","815.00","846.50","818.00","818.70","824.38","984.95","535.85","5,34,173","44,03,59,523.70","25,701"
"10-Jul-2025","EQ","856.55","856.55","844.05","849.25","846.10","846.50","848.90","984.95","535.85","4,93,235","41,87,06,831.25","27,469"
"09-Jul-2025","EQ","844.80","855.90","840.30","844.95","850.00","849.25","848.31","984.95","535.85","4,11,233","34,88,51,071.10","22,190"
"08-Jul-2025","EQ","854.60","856.25","835.75","854.65","845.00","844.95","844.45","984.95","535.85","6,25,953","52,85,84,388.25","30,650"
"07-Jul-2025","EQ","852.65","861.75","841.25","852.65","852.55","854.65","851.42","984.95","535.85","3,77,115","32,10,84,546.90","21,871"
"04-Jul-2025","EQ","855.10","855.70","843.00","852.40","850.95","852.65","850.24","984.95","535.85","3,06,482","26,05,82,056.05","14,018"
"03-Jul-2025","EQ","850.80","866.20","849.00","852.20","852.00","852.40","857.32","984.95","535.85","4,11,566","35,28,43,357.65","21,559"
"02-Jul-2025","EQ","848.00","881.00","846.15","840.65","848.00","852.20","862.98","984.95","535.85","22,43,723","1,93,62,93,257.60","66,771"
"01-Jul-2025","EQ","844.95","845.65","835.00","842.55","841.00","840.65","839.60","984.95","535.85","2,17,453","18,25,74,320.45","13,406"
"30-Jun-2025","EQ","849.00","856.95","840.10","844.75","842.95","842.55","845.69","984.95","535.85","3,70,385","31,32,29,134.40","21,018"
"27-Jun-2025","EQ","849.95","853.00","839.00","846.30","844.00","844.75","845.66","984.95","535.85","4,13,609","34,97,74,114.85","23,666"
"26-Jun-2025","EQ","854.85","856.00","842.00","852.45","846.00","846.30","846.52","984.95","535.85","2,12,135","17,95,77,406.15","14,452"
"25-Jun-2025","EQ","842.00","868.80","837.35","834.55","851.30","852.45","858.77","984.95","535.85","8,15,368","70,02,11,689.05","31,377"
"24-Jun-2025","EQ","853.30","853.30","831.00","836.70","832.70","834.55","839.13","984.95","535.85","3,18,919","26,76,16,039.75","15,357"
"23-Jun-2025","EQ","839.00","849.00","831.90","846.85","836.00","836.70","838.61","984.95","535.85","2,88,309","24,17,79,341.25","19,870"
"20-Jun-2025","EQ","845.70","852.90","835.80","845.70","846.00","846.85","844.89","984.95","535.85","3,18,637","26,92,13,354.85","19,330"
"19-Jun-2025","EQ","861.80","867.70","840.20","867.05","842.10","845.70","848.58","984.95","535.85","4,11,031","34,87,93,223.30","19,109"
"18-Jun-2025","EQ","879.95","889.40","857.35","875.60","866.00","867.05","873.89","984.95","535.85","6,26,028","54,70,80,228.90","27,987"
"17-Jun-2025","EQ","880.10","886.05","869.05","879.45","872.00","875.60","877.99","984.95","535.85","6,00,201","52,69,67,488.25","26,082"
"16-Jun-2025","EQ","860.00","883.90","852.00","867.35","878.95","879.45","872.80","984.95","535.85","7,42,724","64,82,49,326.00","32,611"
"13-Jun-2025","EQ","840.00","872.65","825.60","861.50","867.40","867.35","851.64","984.95","535.85","10,48,825","89,32,19,261.50","45,191"
"12-Jun-2025","EQ","853.00","880.65","849.00","846.55","858.95","861.50","867.73","984.95","535.85","17,69,980","1,53,58,62,879.50","55,104"
"11-Jun-2025","EQ","870.00","870.05","845.00","866.95","849.00","846.55","853.31","984.95","535.85","6,51,490","55,59,19,735.65","22,792"
"10-Jun-2025","EQ","860.00","894.00","848.15","854.45","865.00","866.95","875.56","984.95","535.85","23,60,797","2,06,70,28,849.05","69,010"
"09-Jun-2025","EQ","829.90","861.95","825.50","822.70","854.90","854.45","847.95","984.95","535.85","12,78,898","1,08,44,44,438.80","40,261"
"06-Jun-2025","EQ","833.00","837.95","821.05","831.50","824.35","822.70","824.84","984.95","530.25","2,05,963","16,98,85,676.50","10,970"
"05-Jun-2025","EQ","825.00","835.20","823.95","821.95","833.50","831.50","831.24","984.95","530.25","2,88,944","24,01,82,573.25","13,442"
"04-Jun-2025","EQ","822.35","840.00","816.20","822.30","822.40","821.95","828.96","984.95","530.25","4,11,667","34,12,54,133.70","17,005"
"03-Jun-2025","EQ","827.00","837.00","815.10","825.60","820.70","822.30","824.10","984.95","530.25","2,93,943","24,22,37,331.75","15,835"
"02-Jun-2025","EQ","832.15","833.00","819.00","833.05","825.30","825.60","824.64","984.95","530.25","2,28,697","18,85,93,725.50","15,976"
