ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,941.60","1,961.60","1,927.00","1,941.50","1,930.00","1,941.40","1,947.24","2,335.05","1,493.20","17,797","3,46,55,115.10","3,689"
"11-Aug-2025","EQ","1,949.90","1,955.20","1,919.00","1,936.50","1,945.00","1,941.50","1,938.48","2,335.05","1,493.20","26,663","5,16,85,794.00","5,074"
"08-Aug-2025","EQ","1,931.70","1,969.60","1,917.70","1,931.70","1,944.10","1,936.50","1,942.55","2,360.00","1,493.20","23,344","4,53,46,934.00","5,263"
"07-Aug-2025","EQ","1,940.70","1,958.00","1,925.00","1,958.40","1,931.70","1,931.70","1,935.76","2,360.00","1,493.20","25,160","4,87,03,653.60","5,025"
"06-Aug-2025","EQ","1,994.50","2,009.40","1,950.00","1,982.90","1,962.00","1,958.40","1,970.07","2,360.00","1,493.20","37,207","7,33,00,473.30","7,357"
"05-Aug-2025","EQ","2,056.70","2,056.70","1,976.70","2,056.70","1,981.00","1,982.90","1,999.81","2,360.00","1,493.20","39,404","7,88,00,630.70","8,368"
"04-Aug-2025","EQ","2,080.00","2,080.00","2,022.00","2,063.80","2,051.00","2,056.70","2,059.51","2,360.00","1,493.20","31,531","6,49,38,390.70","7,342"
"01-Aug-2025","EQ","2,025.00","2,111.20","2,008.50","2,029.10","2,065.00","2,063.80","2,069.42","2,484.00","1,493.20","79,603","16,47,32,175.90","12,718"
"31-Jul-2025","EQ","2,025.00","2,045.00","1,979.70","2,054.70","2,022.20","2,029.10","2,026.17","2,484.00","1,493.20","30,082","6,09,51,288.70","5,362"
"30-Jul-2025","EQ","2,023.10","2,079.90","1,940.00","2,012.50","2,039.00","2,054.70","2,014.36","2,484.00","1,493.20","2,30,531","46,43,71,922.80","28,156"
"29-Jul-2025","EQ","2,018.00","2,042.50","2,002.00","2,031.80","2,010.00","2,012.50","2,015.34","2,484.00","1,493.20","24,306","4,89,84,763.50","5,840"
"28-Jul-2025","EQ","2,102.60","2,149.00","2,018.10","2,102.60","2,029.10","2,031.80","2,060.85","2,484.00","1,493.20","31,085","6,40,61,459.80","6,793"
"25-Jul-2025","EQ","2,149.40","2,157.40","2,092.90","2,138.10","2,093.40","2,102.60","2,113.73","2,484.00","1,493.20","44,772","9,46,35,788.20","8,027"
"24-Jul-2025","EQ","2,088.70","2,156.00","2,088.70","2,088.70","2,138.00","2,138.10","2,133.82","2,484.00","1,493.20","1,12,706","24,04,94,372.10","15,657"
"23-Jul-2025","EQ","2,065.00","2,096.60","2,040.00","2,054.20","2,082.50","2,088.70","2,084.40","2,484.00","1,493.20","53,440","11,13,90,263.90","8,283"
"22-Jul-2025","EQ","2,104.40","2,106.80","2,050.00","2,093.40","2,054.00","2,054.20","2,078.78","2,484.00","1,493.20","48,794","10,14,31,812.80","7,620"
"21-Jul-2025","EQ","2,100.10","2,114.30","2,077.60","2,094.00","2,092.00","2,093.40","2,094.33","2,484.00","1,493.20","79,415","16,63,20,961.20","8,505"
"18-Jul-2025","EQ","2,106.30","2,119.00","2,080.20","2,102.10","2,096.40","2,094.00","2,098.27","2,484.00","1,493.20","81,082","17,01,32,153.00","12,649"
"17-Jul-2025","EQ","2,009.90","2,116.00","2,006.90","2,004.70","2,095.40","2,102.10","2,074.49","2,484.00","1,493.20","89,016","18,46,63,027.00","12,459"
"16-Jul-2025","EQ","2,025.00","2,035.00","2,000.50","2,021.80","2,009.00","2,004.70","2,013.86","2,484.00","1,493.20","60,768","12,23,78,453.10","11,049"
"15-Jul-2025","EQ","2,018.00","2,050.70","2,011.40","2,011.40","2,042.80","2,021.80","2,027.17","2,484.00","1,493.20","31,737","6,43,36,298.70","6,128"
"14-Jul-2025","EQ","2,029.50","2,043.80","1,982.40","2,019.10","2,013.00","2,011.40","2,014.43","2,484.00","1,493.20","79,639","16,04,26,940.10","20,399"
"11-Jul-2025","EQ","2,019.00","2,054.10","2,012.00","2,013.60","2,019.10","2,019.10","2,030.59","2,484.00","1,493.20","44,407","9,01,72,192.40","7,465"
"10-Jul-2025","EQ","2,050.00","2,058.00","2,004.00","2,038.20","2,007.00","2,013.60","2,022.48","2,484.00","1,493.20","30,669","6,20,27,386.60","5,694"
